Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
0	-457.5093	-459.3395	1.830207	0.5119996	0.5119996	0.5119996	0.5119996	0.5119996	0.5119996	0.01
10	-420.424	-421.2223	0.7982734	0.9566894	0.9566894	0.9566894	0.9566894	0.9566894	0.9566894	0.02681986
20	-420.7731	-421.4782	0.7050618	1.070102	1.070102	1.070102	1.070102	1.070102	1.070102	0.02475551
30	-422.9841	-421.529	-1.455067	2.139837	2.139837	2.139837	2.139837	2.139837	2.139837	0.02408222
40	-420.4527	-420.9316	0.4788544	1.139669	1.139669	1.139669	1.139669	1.139669	1.139669	0.02754378
50	-420.6771	-421.6363	0.959279	0.8809798	0.8809798	0.8809798	0.8809798	0.8809798	0.8809798	0.02511858
60	-420.4835	-420.9232	0.4397132	1.183479	1.183479	1.183479	1.183479	1.183479	1.183479	0.02646348
70	-422.7789	-423.9646	1.185711	0.8067075	0.8067075	0.8067075	0.8067075	0.8067075	0.8067075	0.02152315
80	-420.5462	-421.0671	0.520904	1.098625	1.098625	1.098625	1.098625	1.098625	1.098625	0.02836721
90	-421.9026	-422.79	0.8873437	0.6547768	0.6547768	0.6547768	0.6547768	0.6547768	0.6547768	0.03039054
100	-420.871	-421.1311	0.2600854	1.220944	1.220944	1.220944	1.220944	1.220944	1.220944	0.02953868
110	-420.6963	-421.7241	1.02778	0.7335449	0.7335449	0.7335449	0.7335449	0.7335449	0.7335449	0.02630891
120	-420.5544	-420.9559	0.4015032	1.212609	1.212609	1.212609	1.212609	1.212609	1.212609	0.02604783
130	-423.997	-423.4019	-0.5950286	0.2809683	0.2809683	0.2809683	0.2809683	0.2809683	0.2809683	0.02713683
140	-424.9916	-423.6306	-1.360944	0.2310367	0.2310367	0.2310367	0.2310367	0.2310367	0.2310367	0.02684654
150	-423.1852	-421.6278	-1.557419	2.049495	2.049495	2.049495	2.049495	2.049495	2.049495	0.03233244
160	-421.6702	-421.1858	-0.4843784	1.568381	1.568381	1.568381	1.568381	1.568381	1.568381	0.0308506
170	-420.5054	-420.9005	0.3950777	1.178599	1.178599	1.178599	1.178599	1.178599	1.178599	0.02792015
180	-423.9225	-421.3014	-2.621098	2.574185	2.574185	2.574185	2.574185	2.574185	2.574185	0.0311762
190	-422.6165	-421.2007	-1.415804	1.997628	1.997628	1.997628	1.997628	1.997628	1.997628	0.03134852
200	-422.0047	-421.1028	-0.9019325	1.867548	1.867548	1.867548	1.867548	1.867548	1.867548	0.02476915
210	-422.5886	-420.8377	-1.750877	2.17236	2.17236	2.17236	2.17236	2.17236	2.17236	0.03021393
220	-421.6642	-421.7753	0.1111577	1.410421	1.410421	1.410421	1.410421	1.410421	1.410421	0.02360393
230	-422.096	-421.0261	-1.069857	1.844142	1.844142	1.844142	1.844142	1.844142	1.844142	0.03080368
240	-420.5446	-421.445	0.9003602	0.8506179	0.8506179	0.8506179	0.8506179	0.8506179	0.8506179	0.02751955
250	-420.5974	-421.5939	0.9964782	0.8111033	0.8111033	0.8111033	0.8111033	0.8111033	0.8111033	0.02591496
260	-421.1872	-421.388	0.2008438	1.350035	1.350035	1.350035	1.350035	1.350035	1.350035	0.02437907
270	-420.681	-421.5148	0.8338294	0.9815122	0.9815122	0.9815122	0.9815122	0.9815122	0.9815122	0.02498779
280	-421.0071	-421.4168	0.4096811	1.241043	1.241043	1.241043	1.241043	1.241043	1.241043	0.02448455
290	-421.5817	-420.4779	-1.103837	1.913029	1.913029	1.913029	1.913029	1.913029	1.913029	0.0274986
300	-422.8965	-423.7754	0.8788637	0.4640537	0.4640537	0.4640537	0.4640537	0.4640537	0.4640537	0.02261911
310	-420.7431	-421.76	1.016958	0.8276238	0.8276238	0.8276238	0.8276238	0.8276238	0.8276238	0.02503233
320	-420.9942	-421.5929	0.5986531	1.0184	1.0184	1.0184	1.0184	1.0184	1.0184	0.02991183
330	-421.5276	-422.534	1.006476	0.5524101	0.5524101	0.5524101	0.5524101	0.5524101	0.5524101	0.02463683
340	-423.7726	-423.4018	-0.3708738	1.683881	1.683881	1.683881	1.683881	1.683881	1.683881	0.02156458
350	-422.5833	-420.5969	-1.986349	2.311618	2.311618	2.311618	2.311618	2.311618	2.311618	0.02850379
360	-420.8658	-421.0326	0.1667568	1.348828	1.348828	1.348828	1.348828	1.348828	1.348828	0.02528537
370	-423.3844	-421.4595	-1.924914	2.228295	2.228295	2.228295	2.228295	2.228295	2.228295	0.03194517
380	-421.7692	-422.0296	0.2604596	1.183256	1.183256	1.183256	1.183256	1.183256	1.183256	0.03167183
390	-422.8423	-421.7125	-1.129839	1.995084	1.995084	1.995084	1.995084	1.995084	1.995084	0.02368012
400	-420.4635	-420.875	0.4114727	1.180243	1.180243	1.180243	1.180243	1.180243	1.180243	0.02738354
410	-421.0582	-421.8259	0.7676989	0.898475	0.898475	0.898475	0.898475	0.898475	0.898475	0.02981124
420	-421.2674	-422.2079	0.9405724	0.6513674	0.6513674	0.6513674	0.6513674	0.6513674	0.6513674	0.02878448
430	-423.1643	-423.6888	0.5244541	0.4481302	0.4481302	0.4481302	0.4481302	0.4481302	0.4481302	0.0304447
440	-421.4771	-422.3404	0.8632963	0.5270244	0.5270244	0.5270244	0.5270244	0.5270244	0.5270244	0.02716383
450	-422.9209	-421.4555	-1.46543	2.142089	2.142089	2.142089	2.142089	2.142089	2.142089	0.02421709
460	-422.1387	-423.0316	0.892949	1.019128	1.019128	1.019128	1.019128	1.019128	1.019128	0.02226094
470	-420.7457	-420.7814	0.03568371	1.397227	1.397227	1.397227	1.397227	1.397227	1.397227	0.02614709
480	-424.2485	-421.6775	-2.570966	2.534199	2.534199	2.534199	2.534199	2.534199	2.534199	0.03219228
490	-421.4502	-421.9504	0.5002128	1.057761	1.057761	1.057761	1.057761	1.057761	1.057761	0.03100569
500	-421.7422	-421.5843	-0.1578382	1.402088	1.402088	1.402088	1.402088	1.402088	1.402088	0.03141795
510	-421.0442	-421.715	0.6708529	0.9686479	0.9686479	0.9686479	0.9686479	0.9686479	0.9686479	0.02995873
520	-420.5471	-421.3829	0.8358661	0.8962903	0.8962903	0.8962903	0.8962903	0.8962903	0.8962903	0.02791923
530	-423.4739	-420.8402	-2.63378	2.613426	2.613426	2.613426	2.613426	2.613426	2.613426	0.02913575
540	-420.9727	-421.7645	0.7917826	0.8858024	0.8858024	0.8858024	0.8858024	0.8858024	0.8858024	0.02953638
550	-420.832	-421.9002	1.068168	0.7190698	0.7190698	0.7190698	0.7190698	0.7190698	0.7190698	0.02537887
560	-422.6284	-420.6896	-1.938807	2.274234	2.274234	2.274234	2.274234	2.274234	2.274234	0.02940214
570	-421.6378	-421.0584	-0.5793178	1.617289	1.617289	1.617289	1.617289	1.617289	1.617289	0.03059603
580	-421.5828	-422.6956	1.112864	0.616457	0.616457	0.616457	0.616457	0.616457	0.616457	0.0237991
590	-422.0528	-420.5072	-1.545683	2.108479	2.108479	2.108479	2.108479	2.108479	2.108479	0.02818309
600	-420.6788	-420.6937	0.01493565	1.396164	1.396164	1.396164	1.396164	1.396164	1.396164	0.02675294
610	-420.8993	-421.5023	0.6029954	1.021205	1.021205	1.021205	1.021205	1.021205	1.021205	0.02965322
620	-426.9345	-425.6074	-1.327146	2.169019	2.169019	2.169019	2.169019	2.169019	2.169019	0.01991858
630	-425.5564	-423.5063	-2.050104	2.470528	2.470528	2.470528	2.470528	2.470528	2.470528	0.02181032
640	-420.9843	-420.6621	-0.3221696	1.566891	1.566891	1.566891	1.566891	1.566891	1.566891	0.02631348
650	-421.9148	-422.3319	0.417071	1.090586	1.090586	1.090586	1.090586	1.090586	1.090586	0.03190427
660	-424.1819	-423.6086	-0.5733314	1.782724	1.782724	1.782724	1.782724	1.782724	1.782724	0.02138182
670	-420.4336	-421.0156	0.5819888	1.080751	1.080751	1.080751	1.080751	1.080751	1.080751	0.02750555
680	-421.9396	-420.6951	-1.244523	2.004238	2.004238	2.004238	2.004238	2.004238	2.004238	0.02604342
690	-422.3289	-420.634	-1.694896	2.204909	2.204909	2.204909	2.204909	2.204909	2.204909	0.02666679
700	-422.4214	-423.0395	0.618082	0.9474071	0.9474071	0.9474071	0.9474071	0.9474071	0.9474071	0.03252607
710	-422.2899	-420.8432	-1.44678	2.028087	2.028087	2.028087	2.028087	2.028087	2.028087	0.03029856
720	-420.9709	-420.8436	-0.1273069	1.485694	1.485694	1.485694	1.485694	1.485694	1.485694	0.02566069
730	-422.3533	-421.0066	-1.34667	1.973309	1.973309	1.973309	1.973309	1.973309	1.973309	0.03081522
740	-421.4692	-420.7811	-0.6881349	1.751479	1.751479	1.751479	1.751479	1.751479	1.751479	0.0256395
750	-420.5244	-420.8896	0.3652111	1.193007	1.193007	1.193007	1.193007	1.193007	1.193007	0.0280141
760	-420.9452	-421.8783	0.9331577	0.7521139	0.7521139	0.7521139	0.7521139	0.7521139	0.7521139	0.02869625
