Iteration	Posterior	Likelihood	Prior	extirpation_rate	rate_bg
0	-274.7406	-277.5781	2.837494	0.6927614	0.01
10	-222.6563	-223.9591	1.302725	0.6548342	0.04619165
20	-222.9095	-224.0405	1.130928	0.4892588	0.04373993
30	-223.0539	-224.1998	1.145863	0.9244844	0.04553766
40	-224.7949	-224.0018	-0.7931355	0.249042	0.04805506
50	-224.4171	-225.8674	1.450353	0.825212	0.03744816
60	-222.9327	-224.2428	1.310187	0.802218	0.04391251
70	-223.5879	-224.3121	0.7242196	1.135854	0.04995906
80	-222.7295	-223.9065	1.177037	0.5443297	0.04720044
90	-222.7156	-223.9714	1.2558	0.6721177	0.04858952
100	-222.7215	-224.0413	1.319851	0.7235481	0.04537982
110	-222.7591	-224.0007	1.241577	0.7692262	0.04809874
120	-225.7587	-225.8751	0.1164239	1.35476	0.06050457
130	-223.1627	-224.3416	1.17883	0.4883772	0.04159174
140	-222.6945	-223.9327	1.23816	0.6053604	0.04793383
150	-223.5053	-224.2946	0.7893246	1.125181	0.04769817
160	-228.5903	-227.4625	-1.127803	1.905134	0.06595895
170	-222.9971	-224.0115	1.014425	0.4918819	0.04950018
180	-223.9478	-224.0132	0.06543476	0.3067134	0.04350095
190	-222.9029	-224.0655	1.162641	0.8722907	0.04765202
200	-222.9846	-224.0695	1.084911	0.528073	0.05021971
210	-223.1544	-224.173	1.018569	0.505915	0.05110537
220	-224.3877	-224.6134	0.225678	1.409385	0.04857157
230	-223.9625	-224.4601	0.4976249	1.278381	0.04805304
240	-222.7068	-224.0116	1.304716	0.6018742	0.04471311
250	-224.5017	-225.9278	1.426076	0.8524186	0.03738992
260	-223.7108	-224.3961	0.6852848	1.140318	0.05153316
270	-223.8841	-225.1979	1.313767	0.899082	0.03973075
280	-222.7272	-224.0059	1.278755	0.7582823	0.04662438
290	-223.0785	-224.1349	1.056447	0.9581524	0.04760676
300	-223.1484	-224.5621	1.413727	0.7129049	0.04142149
310	-223.273	-224.6862	1.413204	0.7456818	0.04100532
320	-222.8821	-224.0551	1.172936	0.8591436	0.04782983
330	-225.502	-225.0686	-0.4333736	1.684683	0.05276648
340	-224.167	-225.5632	1.396185	0.8557953	0.03839225
350	-222.6674	-223.945	1.277634	0.5994557	0.04584098
360	-223.6179	-224.3615	0.7435921	1.108571	0.05139325
370	-224.535	-225.3376	0.8026704	0.3783925	0.03752991
380	-223.3063	-224.006	0.6997356	0.4077069	0.04915946
390	-223.6695	-224.8111	1.141575	0.9901501	0.04176385
400	-222.9458	-224.0986	1.152845	0.8360783	0.04992655
410	-223.7559	-224.1354	0.3795364	0.3588426	0.05019937
420	-222.6939	-223.9172	1.223329	0.560673	0.04624508
430	-223.0222	-224.1378	1.115621	0.929154	0.04665385
440	-223.2131	-224.624	1.410904	0.6178587	0.04071587
450	-222.8162	-224.0615	1.245319	0.8177021	0.04627084
460	-222.9094	-224.222	1.312651	0.5663587	0.04263379
470	-222.8314	-224.2014	1.369932	0.6752745	0.04336491
480	-222.7953	-224.094	1.298661	0.7772949	0.04520708
490	-225.6711	-225.1479	-0.523195	1.723004	0.0531981
500	-222.9733	-224.2266	1.253367	0.8517329	0.0444694
510	-224.2215	-225.7059	1.484317	0.771424	0.03768322
520	-222.7559	-224.0344	1.278482	0.775611	0.04617741
530	-225.083	-225.0597	-0.0232748	1.466698	0.0553851
540	-223.316	-224.2059	0.8899082	0.4150241	0.04215781
550	-222.8101	-224.0938	1.283668	0.7935221	0.04538684
560	-224.6613	-225.6267	0.965427	0.544446	0.05833557
570	-224.9088	-225.3559	0.4470959	1.373697	0.04184533
580	-222.9884	-224.3741	1.385776	0.6265201	0.041984
590	-223.2978	-224.4771	1.179323	0.9383972	0.0432466
600	-222.8939	-224.1713	1.277476	0.5472429	0.04290061
610	-224.6648	-224.7266	0.06175159	1.45826	0.05176484
620	-226.0449	-227.0516	1.006664	1.162447	0.03591602
630	-222.6916	-223.9508	1.259147	0.6491663	0.04816073
640	-226.4189	-224.0875	-2.331346	0.1799354	0.04840036
650	-224.1084	-224.8567	0.7483402	1.056924	0.05578137
660	-225.428	-225.4639	0.03591886	1.561825	0.04280607
670	-223.2889	-224.4065	1.117552	0.9706516	0.04400526
680	-222.9382	-223.8977	0.9595329	0.4513868	0.04593134
690	-224.7592	-225.6585	0.8992796	1.169213	0.03949997
700	-223.9017	-224.4025	0.5007544	0.3828529	0.05218294
710	-225.2879	-225.7014	0.4135568	1.206877	0.05989711
720	-223.6748	-224.7704	1.095636	0.5997205	0.05500464
730	-224.4776	-224.7265	0.2489048	0.3504245	0.05372072
740	-226.3858	-226.3194	-0.06642943	1.642518	0.0399868
750	-223.898	-224.5245	0.6264963	1.158592	0.05289511
760	-222.8869	-224.0726	1.185618	0.8023016	0.04973476
770	-222.8087	-223.8987	1.089976	0.4951659	0.0463046
780	-223.2613	-224.1926	0.9313134	1.031562	0.04838059
790	-223.5352	-224.9863	1.451083	0.7286971	0.03973676
800	-225.969	-225.5451	-0.4239459	1.638386	0.05767543
810	-223.0619	-224.2045	1.142619	0.8143181	0.05142167
820	-222.6626	-223.9247	1.262114	0.6005807	0.04660541
830	-222.999	-224.1771	1.178016	0.6165843	0.05134758
840	-222.6813	-223.9566	1.275256	0.6869848	0.04770077
850	-222.6757	-223.9468	1.271032	0.5892712	0.04568735
860	-224.0305	-224.4748	0.4443196	1.299889	0.04860065
870	-223.5855	-224.3603	0.774794	1.088056	0.05159001
880	-223.0872	-224.4235	1.336315	0.8054296	0.04267307
890	-223.0959	-224.2839	1.188046	0.9097277	0.04447476
900	-226.4729	-225.9058	-0.5671344	1.84195	0.04310496
