"species","elev","pollinator"
"Carapichea_urniformis",233.794766081405,NA
"Palicourea_acanthacea",613.663780755802,NA
"Palicourea_acetosoides",536.2153512697,NA
"Palicourea_acuminata",617.36664267806,NA
"Palicourea_aeneofusca",218.087380224316,NA
"Palicourea_aetantha",185.819939726607,NA
"Palicourea_albaniana",260.407570097535,NA
"Palicourea_albiflora",981.122080933658,NA
"Palicourea_albocaerulea",280.30477049101,NA
"Palicourea_allenii",516.744657794078,NA
"Palicourea_amapaensis",104.705434358168,NA
"Palicourea_amethystina",845.573176412965,NA
"Palicourea_amorimii",40.3230050571892,NA
"Palicourea_amplissima",796.901466437133,NA
"Palicourea_anceps",563.05209996044,NA
"Palicourea_andaluciana",777.005821260617,NA
"Palicourea_anderssoniana",744.641467990345,NA
"Palicourea_andina",555.293936651706,NA
"Palicourea_andrei",578.20741587081,NA
"Palicourea_angustifolia",767.792537224739,NA
"Palicourea_antioquiana",625.635712164016,NA
"Palicourea_antisanana",372.632763549568,NA
"Palicourea_apicata",720.815734232312,NA
"Palicourea_aschersoniana",620.03155676928,NA
"Palicourea_atlantica",163.343388841002,NA
"Palicourea_azulina",621.759450012017,NA
"Palicourea_bangii",659.60963955972,NA
"Palicourea_beachiana",321.722819539539,NA
"Palicourea_bella",623.759180829842,NA
"Palicourea_berteroana",482.941267258622,NA
"Palicourea_boqueronensis",208.199331380402,NA
"Palicourea_boraginoides",165.809568189613,NA
"Palicourea_botryocephala",151.292252241267,NA
"Palicourea_brachiata",357.643615484506,NA
"Palicourea_brachypoda",248.440126909858,NA
"Palicourea_bracteocardia",235.703099378709,NA
"Palicourea_breedlovei",401.605065690012,NA
"Palicourea_brevicollis",254.641228840334,NA
"Palicourea_caerulea",443.224097401382,NA
"Palicourea_calidicola",292.787631216507,NA
"Palicourea_callithrix",109.812587759235,NA
"Palicourea_calophylla",139.294236871207,NA
"Palicourea_calothyrsus",763.571783044491,NA
"Palicourea_canarina",413.286109224142,NA
"Palicourea_candida",428.972310196101,NA
"Palicourea_caprifoliacea",550.455714382423,NA
"Palicourea_cenepensis",368.650579274784,NA
"Palicourea_chignul",859.18260005886,NA
"Palicourea_colorata",347.959418546322,NA
"Palicourea_conephoroides",621.524681026792,NA
"Palicourea_coriacea",256.882886723972,NA
"Palicourea_correae",319.607591213348,NA
"Palicourea_corymbifera",214.521959773484,NA
"Palicourea_crocea",321.490367141515,NA
"Palicourea_croceoides",479.172313547681,NA
"Palicourea_cyanococca",412.399170828916,NA
"Palicourea_deflexa",353.883205456319,NA
"Palicourea_demissa",741.976844819188,NA
"Palicourea_dichotoma",307.767402048012,NA
"Palicourea_didymocarpos",391.475382894877,NA
"Palicourea_diminuta",229.890030348512,NA
"Palicourea_divaricata",250.621685163018,NA
"Palicourea_domingensis",270.304371293342,NA
"Palicourea_egensis",163.689597713806,NA
"Palicourea_elata",455.731883661782,NA
"Palicourea_ernestii",436.674052960275,NA
"Palicourea_eurycarpa",373.052232609058,NA
"Palicourea_fanshawei",310.462401179423,NA
"Palicourea_flavescens",625.715279920794,NA
"Palicourea_flaviflora",491.572284895891,NA
"Palicourea_flavifolia",635.474261723819,NA
"Palicourea_frontinoensis",615.100958700228,NA
"Palicourea_fuchsioides",656.478605896643,NA
"Palicourea_fulgens",284.689587767712,NA
"Palicourea_garciae",588.111797223554,NA
"Palicourea_gardenioides",253.896433118047,NA
"Palicourea_gemmiflora",538.623710780432,NA
"Palicourea_glabra",246.914186178653,NA
"Palicourea_glomerulata",251.796714227408,NA
"Palicourea_gracilenta",527.311675297848,NA
"Palicourea_graciliflora",632.500890196082,NA
"Palicourea_grandiceps",493.506277688554,NA
"Palicourea_grandiflora",509.061690295894,NA
"Palicourea_grandifructa",88.8060088706753,NA
"Palicourea_grandistipula",523.726483450173,NA
"Palicourea_guianensis",454.433972712355,NA
"Palicourea_harlingii",548.619714291321,NA
"Palicourea_hazenii",573.93915579136,NA
"Palicourea_heterochroma",661.685681086115,NA
"Palicourea_huampamiensis",287.323000304648,NA
"Palicourea_hypochlorina",33.6132814832919,NA
"Palicourea_jambosioides",205.842616209511,NA
"Palicourea_jelskii",744.936090710458,NA
"Palicourea_justiciifolia",318.188534895361,NA
"Palicourea_lachnantha",129.812773879545,NA
"Palicourea_lasiantha",463.089088633069,NA
"Palicourea_lasiorrhachis",538.82893622805,NA
"Palicourea_lehmannii",500.932535987386,NA
"Palicourea_lineata",877.169322762565,NA
"Palicourea_lobbii",400.92954143949,NA
"Palicourea_locuples",629.858928741145,NA
"Palicourea_longiflora",257.879368861237,NA
"Palicourea_loxensis",405.450679298,NA
"Palicourea_luteonivea",521.266981125027,NA
"Palicourea_macarthurorum",570.570463855773,NA
"Palicourea_macbridei",713.672093345561,NA
"Palicourea_macrobotrys",568.009733611063,NA
"Palicourea_mansoana",458.942410601358,NA
"Palicourea_marcgravii",350.97460777301,NA
"Palicourea_mediocris",607.669231356041,NA
"Palicourea_minutiflora",200.542588467567,NA
"Palicourea_nigricans",390.911046520932,NA
"Palicourea_nitidella",175.078709237911,NA
"Palicourea_officinalis",238.535574669499,NA
"Palicourea_ostreophora",485.729747010309,NA
"Palicourea_padifolia",348.339894293148,NA
"Palicourea_palenquensis",732.165619491592,NA
"Palicourea_perquadrangularis",793.819834858415,NA
"Palicourea_persearum",357.626581057208,NA
"Palicourea_petiolaris",849.491765058607,NA
"Palicourea_polycephala",195.86442442925,NA
"Palicourea_prunifolia",380.29918476131,NA
"Palicourea_pubescens",398.469807599004,NA
"Palicourea_pyramidalis",367.190748480209,NA
"Palicourea_quadrifolia",120.233699909983,NA
"Palicourea_quinquepyrena",404.986941859763,NA
"Palicourea_racemosa",237.086273218813,NA
"Palicourea_reticulata",884.440617658244,NA
"Palicourea_rhodothamna",419.12991983883,NA
"Palicourea_rigida",397.722292229729,NA
"Palicourea_rigidifolia",702.361622788373,NA
"Palicourea_salicifolia",454.714677481996,NA
"Palicourea_seemannii",745.933793327949,NA
"Palicourea_sessilis",361.24648823626,NA
"Palicourea_skotakii",410.731749869519,NA
"Palicourea_sodiroi",598.901154318471,NA
"Palicourea_solitudinum",413.502540381721,NA
"Palicourea_sopkinii",834.342295863434,NA
"Palicourea_spathacea",426.196870646676,NA
"Palicourea_standleyana",326.212863781565,NA
"Palicourea_stenosepala",756.448169599803,NA
"Palicourea_stenostachya",324.812949003646,NA
"Palicourea_stipularis",471.482397037285,NA
"Palicourea_subfusca",530.756585368247,NA
"Palicourea_subspicata",375.73110216075,NA
"Palicourea_sucllii",484.548034327713,NA
"Palicourea_suerrensis",266.833496304655,NA
"Palicourea_sulphurea",953.771041666363,NA
"Palicourea_tetragona",253.635000538213,NA
"Palicourea_thermydri",497.751573196601,NA
"Palicourea_thyrsiflora",650.439249166109,NA
"Palicourea_timbiquensis",346.752069409332,NA
"Palicourea_tinctoria",546.824697780806,NA
"Palicourea_tomentosa",524.445024860306,NA
"Palicourea_topoensis",412.324501094585,NA
"Palicourea_trianae",699.690117962713,NA
"Palicourea_triphylla",447.608738524242,NA
"Palicourea_ulloana",603.829218757853,NA
"Palicourea_umbelliformis",367.365044343068,NA
"Palicourea_valerioana",292.044311799368,NA
"Palicourea_winkleri",518.475437533659,NA
"Palicourea_woronovii",415.092920481707,NA
"Palicourea_yneziae",208.991789566749,NA
"Psychotria_bertieroides",450.638521613644,NA
"Psychotria_bolivarensis",598.436420031674,NA
"Psychotria_bremekampiana",150.15761899188,NA
"Psychotria_everardii",546.090633873674,NA
"Psychotria_hebeclada",468.146072032919,NA
"Psychotria_hemicephaelis",476.487431476789,NA
"Psychotria_limitanea",101.154735408849,NA
"Psychotria_lindenii",315.727403435684,NA
"Psychotria_luxurians",579.529315415869,NA
"Psychotria_muscosa",235.297601541966,NA
"Psychotria_oblonga",988.379030647055,NA
"Psychotria_oinochrophylla",479.822973932103,NA
"Psychotria_paniculata",1255.79647376613,NA
"Psychotria_patentinervia",270.172256405206,NA
"Psychotria_phyllocalymma",242.645346721742,NA
"Psychotria_prancei",83.4735045089002,NA
"Psychotria_pseudinundata",178.261545030491,NA
"Psychotria_rhombibractea",37.1333654665219,NA
"Psychotria_rhytidocarpa",315.285731068033,NA
"Psychotria_rosea",337.537518536736,NA
"Psychotria_ruelliifolia",303.523061059909,NA
"Psychotria_spathicalyx",401.928494235933,NA
"Psychotria_stachyoides",419.210026944382,NA
"Psychotria_stipulosa",187.875024611944,NA
"Psychotria_suterella",359.896260570783,NA
"Psychotria_ulviformis",204.63316769495,NA
"Psychotria_urceolata",73.7182307411447,NA
"Psychotria_variegata",198.773166373978,NA
"Psychotria_venulosa",536.815515922296,NA
