,spp1,spp2
1,Palicourea_suerrensis,Palicourea_suerrensis
2,Palicourea_justiciifolia,Palicourea_suerrensis
3,Palicourea_ostreophora,Palicourea_suerrensis
4,Palicourea_quadrifolia,Palicourea_suerrensis
5,Palicourea_corymbifera,Palicourea_suerrensis
6,Palicourea_winkleri,Palicourea_suerrensis
7,Palicourea_dichotoma,Palicourea_suerrensis
8,Palicourea_gracilenta,Palicourea_suerrensis
9,Palicourea_obliquinervia,Palicourea_suerrensis
10,Palicourea_prunifolia,Palicourea_suerrensis
11,Palicourea_callithrix,Palicourea_suerrensis
12,Palicourea_glabra,Palicourea_suerrensis
13,Palicourea_acuminata,Palicourea_suerrensis
14,Palicourea_andina,Palicourea_suerrensis
15,Palicourea_didymocarpos,Palicourea_suerrensis
16,Palicourea_rhodothamna,Palicourea_suerrensis
17,Palicourea_triphylla,Palicourea_suerrensis
18,Palicourea_croceoides,Palicourea_suerrensis
19,Palicourea_crocea,Palicourea_suerrensis
20,Palicourea_lasiantha,Palicourea_suerrensis
21,Palicourea_nitidella,Palicourea_suerrensis
22,Palicourea_macrobotrys,Palicourea_suerrensis
23,Palicourea_guianensis,Palicourea_suerrensis
24,Palicourea_marcgravii,Palicourea_suerrensis
25,Palicourea_grandiflora,Palicourea_suerrensis
26,Palicourea_rigida,Palicourea_suerrensis
27,Palicourea_egensis,Palicourea_suerrensis
28,Palicourea_polycephala,Palicourea_suerrensis
29,Palicourea_deflexa,Palicourea_suerrensis
30,Palicourea_woronovii,Palicourea_suerrensis
31,Palicourea_bangii,Palicourea_suerrensis
32,Palicourea_flavifolia,Palicourea_suerrensis
33,Palicourea_reticulata,Palicourea_suerrensis
34,Palicourea_stipularis,Palicourea_suerrensis
35,Palicourea_flavescens,Palicourea_suerrensis
36,Palicourea_stenosepala,Palicourea_suerrensis
37,Palicourea_lineata,Palicourea_suerrensis
38,Palicourea_padifolia,Palicourea_suerrensis
39,Palicourea_lehmannii,Palicourea_suerrensis
40,Palicourea_thyrsiflora,Palicourea_suerrensis
41,Palicourea_demissa,Palicourea_suerrensis
42,Palicourea_amethystina,Palicourea_suerrensis
43,Palicourea_standleyana,Palicourea_suerrensis
44,Palicourea_seemannii,Palicourea_suerrensis
45,Palicourea_pyramidalis,Palicourea_suerrensis
46,Palicourea_luteonivea,Palicourea_suerrensis
47,Palicourea_sulphurea,Palicourea_suerrensis
48,Palicourea_apicata,Palicourea_suerrensis
49,Palicourea_loxensis,Palicourea_suerrensis
50,Palicourea_angustifolia,Palicourea_suerrensis
51,Palicourea_tetragona,Palicourea_suerrensis
52,Palicourea_domingensis,Palicourea_suerrensis
53,Palicourea_pubescens,Palicourea_suerrensis
54,Palicourea_correae,Palicourea_suerrensis
55,Palicourea_elata,Palicourea_suerrensis
56,Palicourea_berteroana,Palicourea_suerrensis
57,Palicourea_petiolaris,Palicourea_suerrensis
58,Palicourea_timbiquensis,Palicourea_suerrensis
59,Palicourea_acanthacea,Palicourea_suerrensis
60,Palicourea_brachiata,Palicourea_suerrensis
61,Palicourea_glomerulata,Palicourea_suerrensis
62,Palicourea_conephoroides,Palicourea_suerrensis
63,Palicourea_tinctoria,Palicourea_suerrensis
64,Palicourea_jelskii,Palicourea_suerrensis
65,Palicourea_allenii,Palicourea_suerrensis
66,Palicourea_cyanococca,Palicourea_suerrensis
67,Palicourea_hazenii,Palicourea_suerrensis
68,Palicourea_tomentosa,Palicourea_suerrensis
69,Psychotria_rosea,Palicourea_suerrensis
70,Psychotria_suterella,Palicourea_suerrensis
71,Palicourea_brachypoda,Palicourea_suerrensis
72,Palicourea_sessilis,Palicourea_suerrensis
73,Palicourea_divaricata,Palicourea_suerrensis
74,Palicourea_racemosa,Palicourea_suerrensis
75,Palicourea_subfusca,Palicourea_suerrensis
76,Palicourea_topoensis,Palicourea_suerrensis
77,Palicourea_brevicollis,Palicourea_suerrensis
78,Palicourea_justiciifolia,Palicourea_justiciifolia
79,Palicourea_ostreophora,Palicourea_justiciifolia
