species,PC1,PC2,elev,Area,Infl_prp_poll
Carapichea_urniformis,-0.319375856,-0.228171862,1037,extra_Andean,Insect
Palicourea_acanthacea,0.804482571,1.118318242,229,extra_Andean,Insect
Palicourea_acetosoides,-1.676135278,0.95105256,1903,Andean,Hummingbird
Palicourea_acuminata,1.388818915,0.308062107,239,extra_Andean,Insect
Palicourea_aeneofusca,0.615997087,-1.779213054,468,extra_Andean,Hummingbird
Palicourea_aetantha,1.090343517,0.023330434,286,extra_Andean,Insect
Palicourea_albaniana,-1.350144062,-0.415938739,1561,Andean,Hummingbird
Palicourea_albiflora,-3.683165012,1.015516351,2661,Andean,Hummingbird
Palicourea_albocaerulea,-0.089232373,0.2346192,1343,Andean,Hummingbird
Palicourea_amapaensis,1.329263185,0.434727545,119,extra_Andean,Hummingbird
Palicourea_amethystina,-3.284368467,-0.2665371,2749,Andean,Hummingbird
Palicourea_amorimii,0.599855672,-1.833903706,377,extra_Andean,Insect
Palicourea_amplissima,0.381563633,1.005058803,819,Andean,Insect
Palicourea_anceps,-2.963761228,-0.028113045,2551,Andean,Hummingbird
Palicourea_andaluciana,-4.268195938,0.890728998,2836,Andean,Insect
Palicourea_anderssoniana,-2.156335944,1.040190423,1987,Andean,Hummingbird
Palicourea_andina,-1.095280047,0.977048215,1674,extra_Andean,Insect
Palicourea_andrei,-1.735106374,0.656389414,1993,Andean,Insect
Palicourea_antioquiana,0.648509579,1.395581388,783,Andean,Hummingbird
Palicourea_antisanana,-1.476195937,1.263493083,1935,extra_Andean,Insect
Palicourea_apicata,-3.61974631,0.020949003,2741,Andean,Hummingbird
Palicourea_aschersoniana,-2.18889194,0.609973251,2098,extra_Andean,Hummingbird
Palicourea_atlantica,1.135512147,-1.241335973,131,extra_Andean,Hummingbird
Palicourea_azulina,-2.298796208,-1.381480625,2358,Andean,Hummingbird
Palicourea_bangii,-1.634727453,-1.820669432,2176,Andean,Insect
Palicourea_beachiana,1.696195379,0.601456979,274,extra_Andean,Insect
Palicourea_bella,-0.916101822,0.797003708,1764,Andean,Hummingbird
Palicourea_boqueronensis,-3.53041711,-0.164256945,2758,extra_Andean,Insect
Palicourea_boraginoides,1.085803399,0.383738477,332,extra_Andean,Insect
Palicourea_botryocephala,-0.792331761,-1.715145557,952,extra_Andean,Insect
Palicourea_brachiata,1.434697096,0.204176272,298,extra_Andean,Insect
Palicourea_bracteocardia,1.195566482,-1.185086351,118,extra_Andean,Insect
Palicourea_breedlovei,0.15891838,-1.008850042,1534,extra_Andean,Insect
Palicourea_brevicollis,1.555942323,-2.853466934,287,extra_Andean,Insect
Palicourea_calidicola,1.818324932,0.567171863,182,extra_Andean,Insect
Palicourea_callithrix,1.391999027,0.599305147,202,extra_Andean,Insect
Palicourea_calophylla,1.439699265,0.584288438,119.5,extra_Andean,Hummingbird
Palicourea_calothyrsus,-2.868500155,0.217268416,2157,Andean,Hummingbird
Palicourea_canarina,-1.83045799,-0.309360559,1840,Andean,Hummingbird
Palicourea_candida,-1.295454026,0.823210366,1807,Andean,Hummingbird
Palicourea_caprifoliacea,-2.904574637,-0.085198589,2413,Andean,Hummingbird
Palicourea_cenepensis,0.373733846,1.198893379,987,extra_Andean,Insect
Palicourea_chignul,-0.984679511,1.237685766,1343,Andean,Hummingbird
Palicourea_colorata,0.895496629,0.177977133,493,extra_Andean,Insect
Palicourea_conephoroides,-0.660010421,-1.380618251,1460,extra_Andean,Insect
Palicourea_coriacea,0.529660574,-1.668730179,767,extra_Andean,Hummingbird
Palicourea_correae,0.554154371,0.396964754,763,extra_Andean,Insect
Palicourea_corymbifera,1.300366496,0.37545455,133,extra_Andean,Hummingbird
Palicourea_crocea,1.312139792,-1.060498109,216,extra_Andean,Hummingbird
Palicourea_croceoides,1.167988877,-0.36416103,252,extra_Andean,Hummingbird
Palicourea_cyanococca,1.560283683,0.574555199,293,extra_Andean,Insect
Palicourea_deflexa,1.101311948,-0.474397381,401,extra_Andean,Insect
Palicourea_demissa,-2.339249986,0.420318018,1992,Andean,Hummingbird
Palicourea_dichotoma,1.117179283,-0.618450472,248,extra_Andean,Insect
Palicourea_didymocarpos,1.115516792,-0.463650487,241,extra_Andean,Insect
Palicourea_diminuta,0.991832648,-0.15161824,262,extra_Andean,Insect
Palicourea_divaricata,0.61874535,-2.039708602,321,extra_Andean,Hummingbird
Palicourea_domingensis,1.626821728,-1.571451958,341,extra_Andean,Insect
Palicourea_egensis,1.524688306,0.438337531,196,extra_Andean,Insect
Palicourea_elata,0.13649884,0.311510732,1197,extra_Andean,Insect
Palicourea_ernestii,-0.13305191,0.039853612,1037,extra_Andean,Insect
Palicourea_eurycarpa,0.514222109,0.248912065,890,extra_Andean,Insect
Palicourea_fanshawei,0.257416198,0.081175814,769,extra_Andean,Insect
Palicourea_flavescens,-3.821886462,0.258103419,3007.5,Andean,Hummingbird
Palicourea_flaviflora,0.640514588,0.43214862,626,extra_Andean,Insect
Palicourea_flavifolia,-1.02578369,-2.022371556,1758,Andean,Hummingbird
Palicourea_frontinoensis,0.630084496,1.444538555,783,Andean,Hummingbird
Palicourea_fuchsioides,-4.22977876,0.088713094,2741,Andean,Insect
Palicourea_fulgens,1.010058442,-2.552744152,193,extra_Andean,Hummingbird
Palicourea_garciae,-1.786361833,1.125700119,1923,Andean,Insect
Palicourea_gardenioides,2.052911848,-1.802388617,118,extra_Andean,Insect
Palicourea_gemmiflora,-1.070317515,-0.154905378,1392,Andean,Hummingbird
Palicourea_glabra,1.553114766,0.890646466,108,extra_Andean,Insect
Palicourea_glomerulata,1.858136508,0.513783023,94,extra_Andean,Insect
Palicourea_gracilenta,1.181408123,0.714905358,392,extra_Andean,Insect
Palicourea_graciliflora,-1.296864808,0.949437293,1640,Andean,Hummingbird
Palicourea_grandiceps,0.440688632,1.789295433,986,extra_Andean,Insect
Palicourea_grandiflora,1.248601451,0.179541617,222,extra_Andean,Hummingbird
Palicourea_grandifructa,1.840766969,0.44683155,182,extra_Andean,Insect
Palicourea_grandistipula,1.934052743,3.089924051,97,Andean,Insect
Palicourea_guianensis,1.327983544,0.336478597,218,extra_Andean,Hummingbird
Palicourea_harlingii,-1.115115017,0.534700555,1519,Andean,Hummingbird
Palicourea_hazenii,-0.741566265,0.39918342,1485,extra_Andean,Insect
Palicourea_heterochroma,-2.337707365,1.023402588,2297,Andean,Hummingbird
Palicourea_huampamiensis,1.427768464,0.767274637,238,extra_Andean,Insect
Palicourea_hypochlorina,1.371442651,0.627855426,146,extra_Andean,Insect
Palicourea_jambosioides,1.258158463,-1.474323588,50,extra_Andean,Hummingbird
Palicourea_jelskii,-3.129496622,-1.597924198,2877,extra_Andean,Insect
Palicourea_lachnantha,1.401839868,0.79599995,132,extra_Andean,Hummingbird
Palicourea_lasiantha,1.0674197,0.509876317,281,extra_Andean,Hummingbird
Palicourea_lasiorrhachis,-0.757651987,0.516541675,1721,Andean,Hummingbird
Palicourea_lehmannii,-1.152504553,0.880782554,1446,Andean,Hummingbird
Palicourea_lineata,-2.647812245,-0.842576251,2296,Andean,Hummingbird
Palicourea_lobbii,-3.07267109,-0.712054778,2506,Andean,Hummingbird
Palicourea_locuples,-1.504165605,1.042067302,1739,extra_Andean,Hummingbird
Palicourea_longiflora,1.332066651,0.391530992,123,extra_Andean,Insect
Palicourea_loxensis,-2.156801365,-0.366850343,2056,Andean,Insect
Palicourea_lupulina,1.511785085,-0.291638589,171,extra_Andean,Hummingbird
Palicourea_luteonivea,-0.825457494,0.126321357,1365,Andean,Hummingbird
Palicourea_macarthurorum,1.213388798,1.10250224,281,extra_Andean,Hummingbird
Palicourea_macbridei,-2.652024664,-1.515041442,2441,Andean,Hummingbird
Palicourea_macrobotrys,0.97002346,-1.848759179,440.5,extra_Andean,Hummingbird
Palicourea_mansoana,0.801410942,0.406474403,477,extra_Andean,Hummingbird
Palicourea_marcgravii,0.239825074,-2.00347111,723,extra_Andean,Hummingbird
Palicourea_mediocris,1.849221047,-0.589977275,333,extra_Andean,Insect
Palicourea_minutiflora,0.448434055,-2.092764766,377,extra_Andean,Insect
Palicourea_nigricans,1.225277936,0.696694942,244,extra_Andean,Hummingbird
Palicourea_nitidella,1.48678986,0.246621524,100,extra_Andean,Hummingbird
Palicourea_officinalis,0.031989876,-1.588451126,1066,extra_Andean,Hummingbird
Palicourea_ostreophora,0.699701001,1.004663128,773.5,extra_Andean,Insect
Palicourea_padifolia,-0.231476569,-1.466388734,1399,extra_Andean,Hummingbird
Palicourea_palenquensis,0.539616237,0.176636382,365,extra_Andean,Insect
Palicourea_perquadrangularis,-0.650406379,0.628747863,1456,Andean,Hummingbird
Palicourea_persearum,-0.118280259,-1.992863932,1133,extra_Andean,Insect
Palicourea_petiolaris,-0.920180813,-1.093894839,1249,extra_Andean,Insect
Palicourea_polycephala,1.235536443,-0.026039224,121,extra_Andean,Insect
Palicourea_prunifolia,0.841959482,-1.421950722,572,extra_Andean,Insect
Palicourea_pubescens,1.00615307,-0.890718684,450,extra_Andean,Insect
Palicourea_pyramidalis,-2.420308994,0.566712216,1923,Andean,Hummingbird
Palicourea_quadrifolia,1.35657244,0.476187437,119,extra_Andean,Hummingbird
Palicourea_quinquepyrena,-1.236049583,-0.093532195,1472,Andean,Hummingbird
Palicourea_racemosa,1.524595138,0.26856757,183,extra_Andean,Insect
Palicourea_reticulata,-2.064377826,-1.774673367,2321,Andean,Hummingbird
Palicourea_rhodothamna,1.37304102,0.816688294,132,extra_Andean,Insect
Palicourea_rigida,0.361234346,-1.687680452,753,extra_Andean,Hummingbird
Palicourea_rigidifolia,-0.245226674,0.994265822,1300,Andean,Hummingbird
Palicourea_salicifolia,-1.595201763,0.617822748,2109,Andean,Insect
Palicourea_seemannii,-0.050939095,1.14930032,833,Andean,Hummingbird
Palicourea_sessilis,0.36088468,-2.417558597,790,extra_Andean,Insect
Palicourea_skotakii,-2.700944785,0.561753218,2507,Andean,Insect
Palicourea_sodiroi,-1.495093358,0.861309379,1507,Andean,Hummingbird
Palicourea_solitudinum,1.840766969,0.44683155,182,extra_Andean,Insect
Palicourea_sopkinii,-0.497992933,1.694875727,1210,Andean,Hummingbird
Palicourea_spathacea,-1.048098995,0.957647197,1942,Andean,Hummingbird
Palicourea_standleyana,-2.420308994,0.566712216,1923,Andean,Hummingbird
Palicourea_stenosepala,-2.262781989,-0.093046782,2056,Andean,Hummingbird
Palicourea_stenostachya,0.972156537,0.636688268,389,extra_Andean,Hummingbird
Palicourea_stipularis,-2.420308994,0.566712216,1923,Andean,Hummingbird
Palicourea_subfusca,1.094793142,0.449265182,281,extra_Andean,Insect
Palicourea_sucllii,-1.993661847,-1.228301459,2357,Andean,Insect
Palicourea_sulphurea,-2.626860234,-0.34284698,2370.5,Andean,Hummingbird
Palicourea_tetragona,1.914055659,-0.710843458,216.5,extra_Andean,Insect
Palicourea_thermydri,-0.458564577,1.034849552,1475,Andean,Hummingbird
Palicourea_thyrsiflora,-1.387785368,0.541095196,1682,Andean,Hummingbird
Palicourea_timbiquensis,1.253696894,2.255406158,247,extra_Andean,Insect
Palicourea_tinctoria,-1.087228723,-0.724048505,1555,extra_Andean,Insect
Palicourea_tomentosa,1.393621815,0.657607833,262,extra_Andean,Insect
Palicourea_topoensis,-0.321853137,1.681980765,1389,extra_Andean,Insect
Palicourea_trianae,0.555288102,2.032912925,627,Andean,Insect
Palicourea_triphylla,1.376246093,0.191202533,258,extra_Andean,Hummingbird
Palicourea_ulloana,-1.72513445,0.459642219,2056,Andean,Hummingbird
Palicourea_umbelliformis,1.10620578,0.479102332,524,extra_Andean,Insect
Palicourea_valerioana,0.471599018,0.176066557,890,extra_Andean,Insect
Palicourea_winkleri,0.944900903,0.354628885,524,extra_Andean,Insect
Palicourea_woronovii,1.242231784,0.845433873,316,extra_Andean,Insect
Palicourea_yneziae,0.816069022,0.324259911,414,extra_Andean,Insect
Psychotria_berteroana,0.651873584,-0.390453299,610,extra_Andean,Insect
Psychotria_bertieroides,1.139763447,0.973093752,401,extra_Andean,Insect
Psychotria_bolivarensis,1.208930536,1.069424436,251.5,extra_Andean,Insect
Psychotria_brachypoda,1.218761669,-2.554422191,238,extra_Andean,Insect
