bin_id,elev_bin,bin_start,bin_end,n_species,n_hummingbird_species,prop_hummingbird
0,0-50,0,50,110,37,0.33636363636363636
1,51-100,51,100,125,39,0.312
2,101-150,101,150,122,34,0.2786885245901639
3,151-200,151,200,141,48,0.3404255319148936
4,201-250,201,250,139,53,0.381294964028777
5,251-300,251,300,115,36,0.3130434782608696
6,301-350,301,350,114,33,0.2894736842105263
7,351-400,351,400,118,40,0.3389830508474576
8,401-450,401,450,103,34,0.3300970873786408
9,451-500,451,500,107,39,0.3644859813084112
10,501-550,501,550,104,32,0.3076923076923077
11,551-600,551,600,101,32,0.31683168316831684
12,601-650,601,650,103,36,0.34951456310679613
13,651-700,651,700,93,33,0.3548387096774194
14,701-750,701,750,93,33,0.3548387096774194
15,751-800,751,800,111,40,0.36036036036036034
16,801-850,801,850,100,42,0.42
17,851-900,851,900,100,38,0.38
18,901-950,901,950,103,42,0.4077669902912621
19,951-1000,951,1000,90,34,0.37777777777777777
20,1001-1050,1001,1050,109,43,0.3944954128440367
21,1051-1100,1051,1100,93,40,0.43010752688172044
22,1101-1150,1101,1150,85,38,0.4470588235294118
23,1151-1200,1151,1200,83,33,0.39759036144578314
24,1201-1250,1201,1250,94,44,0.46808510638297873
25,1251-1300,1251,1300,94,45,0.4787234042553192
26,1301-1350,1301,1350,92,40,0.43478260869565216
27,1351-1400,1351,1400,94,48,0.5106382978723404
28,1401-1450,1401,1450,66,32,0.48484848484848486
29,1451-1500,1451,1500,82,40,0.4878048780487805
30,1501-1550,1501,1550,55,31,0.5636363636363636
31,1551-1600,1551,1600,51,28,0.5490196078431373
32,1601-1650,1601,1650,82,45,0.5487804878048781
33,1651-1700,1651,1700,65,36,0.5538461538461539
34,1701-1750,1701,1750,65,36,0.5538461538461539
35,1751-1800,1751,1800,59,35,0.5932203389830508
36,1801-1850,1801,1850,45,30,0.6666666666666666
37,1851-1900,1851,1900,55,38,0.6909090909090909
38,1901-1950,1901,1950,67,41,0.6119402985074627
39,1951-2000,1951,2000,58,36,0.6206896551724138
40,2001-2050,2001,2050,48,28,0.5833333333333334
41,2051-2100,2051,2100,57,39,0.6842105263157895
42,2101-2150,2101,2150,53,33,0.6226415094339622
43,2151-2200,2151,2200,48,33,0.6875
44,2201-2250,2201,2250,36,24,0.6666666666666666
45,2251-2300,2251,2300,42,29,0.6904761904761905
46,2301-2350,2301,2350,43,26,0.6046511627906976
47,2351-2400,2351,2400,59,38,0.6440677966101694
48,2401-2450,2401,2450,50,31,0.62
49,2451-2500,2451,2500,36,25,0.6944444444444444
50,2501-2550,2501,2550,48,33,0.6875
51,2551-2600,2551,2600,35,21,0.6
52,2601-2650,2601,2650,40,24,0.6
53,2651-2700,2651,2700,36,24,0.6666666666666666
54,2701-2750,2701,2750,33,22,0.6666666666666666
55,2751-2800,2751,2800,24,18,0.75
56,2801-2850,2801,2850,32,23,0.71875
57,2851-2900,2851,2900,21,16,0.7619047619047619
58,2901-2950,2901,2950,22,14,0.6363636363636364
59,2951-3000,2951,3000,29,20,0.6896551724137931
60,3001-3050,3001,3050,24,18,0.75
61,3051-3100,3051,3100,22,15,0.6818181818181818
62,3101-3150,3101,3150,14,11,0.7857142857142857
63,3151-3200,3151,3200,22,14,0.6363636363636364
64,3201-3250,3201,3250,22,16,0.7272727272727273
65,3251-3300,3251,3300,21,16,0.7619047619047619
66,3301-3350,3301,3350,12,10,0.8333333333333334
67,3351-3400,3351,3400,9,8,0.8888888888888888
68,3401-3450,3401,3450,8,7,0.875
69,3451-3500,3451,3500,13,10,0.7692307692307693
70,3501-3550,3501,3550,21,11,0.5238095238095238
71,3551-3600,3551,3600,14,11,0.7857142857142857
72,3601-3650,3601,3650,5,5,1
73,3651-3700,3651,3700,1,1,1
74,3701-3750,3701,3750,3,2,0.6666666666666666
75,3751-3800,3751,3800,3,3,1
76,3801-3850,3801,3850,4,3,0.75
77,3851-3900,3851,3900,2,1,0.5
78,3901-3950,3901,3950,8,6,0.75
79,3951-4000,3951,4000,3,2,0.6666666666666666
80,4001-4050,4001,4050,1,0,0
81,4051-4100,4051,4100,1,0,0
82,4101-4150,4101,4150,1,0,0
83,4151-4200,4151,4200,1,1,1
85,4251-4300,4251,4300,2,2,1
87,4351-4400,4351,4400,2,2,1
93,4651-4700,4651,4700,3,3,1
