old_label,new_label
Car_urniformis,Carapichea_urniformis
Pal_aetantha,Palicourea_aetantha
Pal_fanshawei,Palicourea_fanshawei
Pal_glomerulata,Palicourea_glomerulata
Psy_muscosa,Psychotria_muscosa
Psy_oblonga,Psychotria_oblonga
Psy_hemicephaelis,Psychotria_hemicephaelis
Psy_bolivarensis,Psychotria_bolivarensis
Pal_cenepensis,Palicourea_cenepensis
Pal_flaviflora,Palicourea_flaviflora
Pal_conephoroides,Palicourea_conephoroides
Pal_grandiceps,Palicourea_grandiceps
Pal_yneziae,Palicourea_yneziae
Pal_hypochlorina,Palicourea_hypochlorina
Pal_ernestii,Palicourea_ernestii
Pal_acanthacea,Palicourea_acanthacea
Pal_timbiquensis,Palicourea_timbiquensis
Pal_antisanana,Palicourea_antisanana
Pal_locuples,Palicourea_locuples
Pal_caerulea,Palicourea_caerulea
Pal_brachiata1,Palicourea_brachiata
Pal_solitudinum,Palicourea_solitudinum
Pal_allenii,Palicourea_allenii
Pal_palenquensis,Palicourea_palenquensis
Pal_tinctoria,Palicourea_tinctoria
Pal_jelskii,Palicourea_jelskii
Pal_wolffiae,Palicourea_wolffiae
Pal_botryocephala,Palicourea_botryocephala
Pal_cauligera,Palicourea_cauligera
Pal_cyanococca,Palicourea_cyanococca
Pal_vesiculifera,Palicourea_vesiculifera
Pal_hazenii,Palicourea_hazenii
Pal_bracteocardia,Palicourea_bracteocardia
Pal_tomentosa,Palicourea_tomentosa
Pal_colorata,Palicourea_colorata
Psy_urceolata,Psychotria_urceolata
Pal_alagoana,Palicourea_alagoana
Pal_atlantica,Palicourea_atlantica
Pal_divaricata,Palicourea_divaricata
Pal_jambosioides,Palicourea_jambosioides
Psy_phyllocalymma,Psychotria_phyllocalymma
Pal_fulgens,Palicourea_fulgens
Psy_rhytidocarpa,Psychotria_rhytidocarpa
Pal_sessilis,Palicourea_sessilis
Psy_ruelliifolia,Psychotria_ruelliifolia
Psy_stachyoides,Psychotria_stachyoides
Psy_brachypoda,Psychotria_brachypoda
Psy_patentinervia,Psychotria_patentinervia
Psy_spathicalyx,Psychotria_spathicalyx
Psy_suterella,Psychotria_suterella
Pal_acetosoides,Palicourea_acetosoides
Pal_albocaerulea,Palicourea_albocaerulea
Pal_perquadrangularis,Palicourea_perquadrangularis
Pal_antioquiana,Palicourea_antioquiana
Pal_albiflora,Palicourea_albiflora
Pal_demissa2,Palicourea_demissa2
Pal_flavescens,Palicourea_flavescens
Pal_stipularis,Palicourea_stipularis
Pal_stenosepala,Palicourea_stenosepala
Pal_angustifolia1,Palicourea_angustifolia
Pal_frontinoensis,Palicourea_frontinoensis
Pal_thermydri,Palicourea_thermydri
Pal_demissa1,Palicourea_demissa
Pal_lehmannii,Palicourea_lehmannii
Pal_padifolia,Palicourea_padifolia
Pal_thyrsiflora,Palicourea_thyrsiflora
Pal_amethystina,Palicourea_amethystina
Pal_lineata,Palicourea_lineata
Pal_macbridei,Palicourea_macbridei
Pal_heterochroma,Palicourea_heterochroma
Pal_anceps,Palicourea_anceps
Pal_amplissima,Palicourea_amplissima
Pal_seemannii,Palicourea_seemannii
Pal_grandistipula,Palicourea_grandistipula
Pal_bella,Palicourea_bella
Pal_skotakii,Palicourea_skotakii
Pal_spathacea,Palicourea_spathacea
Pal_trianae,Palicourea_trianae
Pal_sopkinii,Palicourea_sopkinii
Pal_standleyana,Palicourea_standleyana
Pal_andrei,Palicourea_andrei
Pal_candida,Palicourea_candida
Pal_caprifoliacea,Palicourea_caprifoliacea
Pal_sodiroi,Palicourea_sodiroi
Pal_graciliflora,Palicourea_graciliflora
Pal_lasiorrhachis,Palicourea_lasiorrhachis
Pal_chignul,Palicourea_chignul
Pal_pyramidalis,Palicourea_pyramidalis
Pal_anderssoniana,Palicourea_anderssoniana
Pal_calothyrsus,Palicourea_calothyrsus
Pal_canarina,Palicourea_canarina
Pal_lobbii,Palicourea_lobbii
Pal_gemmiflora,Palicourea_gemmiflora
Pal_luteonivea,Palicourea_luteonivea
Pal_harlingii,Palicourea_harlingii
Pal_andaluciana,Palicourea_andaluciana
Pal_garciae,Palicourea_garciae
Pal_salicifolia,Palicourea_salicifolia
Pal_apicata,Palicourea_apicata
Pal_sulphurea,Palicourea_sulphurea
Pal_azulina,Palicourea_azulina
Pal_sucllii,Palicourea_sucllii
Pal_loxensis,Palicourea_loxensis
Pal_angustifolia2,Palicourea_angustifolia2
Pal_rigidifolia,Palicourea_rigidifolia
Pal_quinquepyrena,Palicourea_quinquepyrena
Pal_ulloana,Palicourea_ulloana
Pal_albaniana,Palicourea_albaniana
Pal_fuchsioides,Palicourea_fuchsioides
Pal_beachiana,Palicourea_beachiana
Pal_breedlovei,Palicourea_breedlovei
Pal_calidicola,Palicourea_calidicola
Pal_umbelliformis,Palicourea_umbelliformis
Pal_eurycarpa,Palicourea_eurycarpa
Pal_mediocris,Palicourea_mediocris
Pal_grandifructa,Palicourea_grandifructa
Pal_tetragona,Palicourea_tetragona
Pal_persearum,Palicourea_persearum
Pal_domingensis,Palicourea_domingensis
Pal_gardenioides,Palicourea_gardenioides
