"species","bio1","bio12","bio5","bio6","elev"
"Palicourea_acanthacea",2.39794000867204,3.45757914699576,2.47421626407626,2.30749603791321,223
"Palicourea_acuminata",2.40312052117582,3.44169513564072,2.49692964807321,2.28555730900777,242
"Palicourea_allenii",2.35983548233989,3.41262852054438,2.45788189673399,2.21218760440396,769
"Palicourea_amethystina",2.14301480025409,3.10991586302379,2.31175386105575,1.82607480270083,2655
"Palicourea_andina",2.29446622616159,3.35082927358297,2.41329976408125,2.13987908640124,1560
"Palicourea_angustifolia",2.20682587603185,3.30297993674825,2.33645973384853,2.01703333929878,2194
"Palicourea_apicata",2.16583509526631,3.13986768370525,2.29883114179104,1.89209460269048,2493.5
"Palicourea_bangii",2.23298868414291,3.07260752915206,2.40226053097868,1.88649072517248,2176
"Palicourea_berteroana",2.34439227368511,3.41722071616158,2.45788189673399,2.19033169817029,682
"Palicourea_brachiata",2.39619934709574,3.4437322414016,2.49276038902684,2.27415784926368,299
"Palicourea_brachypoda",2.31597034545692,3.27783833300205,2.46834733041216,2.05307844348342,266
"Palicourea_brevicollis",2.31806333496276,3.19354143195634,2.48287358360875,1.99122607569249,352.5
"Palicourea_callithrix",2.40312052117582,3.38952046584638,2.50379068305718,2.30319605742049,183
"Palicourea_conephoroides",2.31597034545692,3.17143390094301,2.43775056282039,2.10889983997356,1433
"Palicourea_correae",2.36361197989214,3.45530177165708,2.46089784275655,2.26481782300954,763
"Palicourea_corymbifera",2.42160392686983,3.38934316666555,2.51188336097887,2.31597034545692,134.5
"Palicourea_crocea",2.39093510710338,3.25671774597749,2.4983105537896,2.24551266781415,211
"Palicourea_croceoides",2.40654018043396,3.31365634661803,2.50242711998443,2.29003461136252,223
"Palicourea_cyanococca",2.39794000867204,3.48508223572325,2.48784454598882,2.27415784926368,300.5
"Palicourea_deflexa",2.37657695705651,3.26030994579492,2.49066008662955,2.23552844690755,398
"Palicourea_demissa",2.21218760440396,3.24993175663419,2.35024801833416,2.02530586526477,2107
"Palicourea_dichotoma",2.38111414214324,3.28201056286846,2.47421626407626,2.25527250510331,266
"Palicourea_didymocarpos",2.40654018043396,3.29721285068033,2.50379068305718,2.26245108973043,229.5
"Palicourea_divaricata",2.36921585741014,3.12839926871781,2.46239799789896,2.24303804868629,225.5
"Palicourea_domingensis",2.39093510710338,3.29950729870049,2.51587384371168,2.22010808804005,329
"Palicourea_egensis",2.41995574848976,3.44746813094976,2.5092025223311,2.31806333496276,193
"Palicourea_elata",2.3096301674259,3.463594402187,2.44715803134222,2.14921911265538,1088
"Palicourea_flavescens",2.05690485133647,3.12580645813953,2.21218760440396,1.81291335664286,3007
"Palicourea_flavifolia",2.28103336724773,3.07462711220343,2.43296929087441,1.98452148365291,1742.5
"Palicourea_glabra",2.41161970596323,3.46805179145424,2.50379068305718,2.31491878291304,121
"Palicourea_glomerulata",2.40483371661994,3.49858620881752,2.49136169383427,2.29885307640971,122
"Palicourea_gracilenta",2.39794000867204,3.42926766643317,2.4983105537896,2.26362155819404,307
"Palicourea_grandiflora",2.40993312333129,3.39013971337841,2.5092025223311,2.26951294421792,208
"Palicourea_guianensis",2.40312052117582,3.41979058610636,2.49692964807321,2.29003461136252,217.5
"Palicourea_hazenii",2.27989348410028,3.37593780901867,2.40140054078154,2.12385164096709,1497
