species,area,wc2.1_5m_bio_2,wc2.1_5m_bio_5,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_18,wc2.1_5m_bio_19,elev
Carapichea_urniformis,E2,0.942504118,1.433097474,1.031852618,1.331373321,1.318876889,2.496929648,1.568201724,1.837673403,2.530199698,2.152288344,1037
Palicourea_acetosoides,A,0.945985325,1.354262141,0.996993013,1.240066647,1.245681407,2.46834733,1.954242509,1.520172691,2.756636108,2.825100318,1903
Palicourea_acuminata,E,0.966616737,1.49347198,1.04637812,1.403028954,1.405443131,2.561101384,1.770852012,1.682490766,2.721810615,2.887335839,239
Palicourea_aeneofusca,E,0.926342474,1.46431067,1.075765848,1.367951981,1.367430488,2.374748346,1.380211242,1.807372197,2.463892989,2.640481437,468
Palicourea_aetantha,E2,0.911907386,1.486331276,1.008259391,1.408095731,1.392016549,2.553883027,1.944482672,1.701556286,2.636487896,2.511883361,286
Palicourea_albaniana,A,1.047248887,1.424554975,1.114644336,1.303847378,1.29185334,2.167317335,1.806179974,1.425893791,2.531478917,2.359835482,1561
Palicourea_albiflora,A,0.922372322,1.245611362,0.983842737,1.098557225,1.103752412,2.37471355,1.857332496,1.545265088,2.641474111,2.745855195,2661
Palicourea_amapaensis,E,0.925127251,1.50374983,1.037047773,1.407130183,1.423319607,2.525044807,1.851258349,1.696429158,2.509202522,2.931966115,119
Palicourea_amethystina,A,0.968342828,1.288226876,1.032497864,1.132366441,1.119983336,2.271841607,1.716003344,1.550750395,2.597695186,2.472756449,2749
Palicourea_amorimii,E,0.84514975,1.442994612,1.049644296,1.360747981,1.32882453,2.173186268,1.995635195,1.109390305,2.583198774,2.579783597,377
Palicourea_anceps,A,0.983032062,1.301941054,1.063408408,1.164437112,1.155513176,2.274157849,1.857332496,1.459590603,2.540329475,2.499687083,2551
Palicourea_andaluciana,A,0.946636457,1.201041898,0.980503312,1.05456839,1.064963111,2.390935107,1.857332496,1.555728166,2.666517981,2.73479983,2836
Palicourea_anderssoniana,A,0.936492811,1.327358934,0.992597711,1.218867944,1.213238774,2.491361694,1.568201724,1.765404222,2.909020854,2.599883072,1987
Palicourea_andrei,A,0.981890301,1.36520709,1.057361752,1.23451308,1.236239062,2.371067862,1.973127854,1.452603322,2.633468456,2.785329835,1993
Palicourea_antioquiana,A,0.978070154,1.471086259,1.042181613,1.380862183,1.381340747,2.550228353,2.068185862,1.463312477,2.731588765,2.945960704,783
Palicourea_apicata,A,0.934881221,1.248586253,1.030275846,1.110561667,1.113759579,2.322219295,1.62324929,1.6581683,2.586587305,2.589949601,2741
Palicourea_atlantica,F,0.792725126,1.457881908,0.999739323,1.385999293,1.357855478,2.315970345,2.071882007,1.246255299,2.697229343,2.7084209,131
Palicourea_azulina,A,1.096904248,1.376230115,1.193986778,1.225231745,1.199233933,2.214843848,1.414973348,1.754104248,2.517195898,1.954242509,2358
Palicourea_beachiana,C,0.938667152,1.4920756,1.04265413,1.394990162,1.403083313,2.675778342,2.008600172,1.624842125,2.773786445,3.016197354,274
Psychotria_berteroana,C,0.961737409,1.459377405,1.074011439,1.364438404,1.343539893,2.542825427,1.748188027,1.693607254,2.706717782,2.580924976,610
Palicourea_boqueronensis,out,0.999431421,1.288919623,1.099162478,1.120656187,1.116646497,2.193124598,1.643452676,1.533167561,2.580924976,2.514547753,2758
Palicourea_botryocephala,E2,0.984497337,1.437306527,1.092229215,1.338771821,1.323197067,2.11058971,1.255272505,1.71816974,2.431363764,1.995635195,952
Psychotria_brachypoda,F,0.959013555,1.451448275,1.239324506,1.365327276,1.208203905,2.346352974,1.903089987,1.59448217,2.778874472,2.42975228,238
Palicourea_bracteocardia,E2,0.926342474,1.48873398,1.057818259,1.394168466,1.412502562,2.460897843,1.62324929,1.7760641,2.436162647,2.73479983,118
Palicourea_breedlovei,C,1.053907147,1.443919798,1.218088872,1.313090015,1.285497286,2.552966176,1.740362689,1.834828861,2.765609131,2.386490725,1534
Palicourea_brevicollis,out,1.079316936,1.489888206,1.310225838,1.357226305,1.227076459,2.278753601,1.892094603,1.398949092,2.668385917,2.456366033,287
Palicourea_calidicola,C,0.928225094,1.498719435,1.040997683,1.403060457,1.411333432,2.673020907,2.064457989,1.582676742,2.773786445,3.018700499,182
