"species","area","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_12"
"Carapichea_urniformis","E2",1.331976997,1.720003009,1.433097474,3.245512668
"Palicourea_acetosoides","A",1.247983139,1.484492778,1.354262141,3.341434525
"Palicourea_acuminata","E",1.403719013,1.801541061,1.49347198,3.425697213
"Palicourea_aeneofusca","E",1.356619324,2.120879159,1.46431067,3.16613397
"Palicourea_aetantha","E2",1.406178837,1.790754216,1.486331276,3.355068206
"Palicourea_albaniana","A",1.299864891,1.562038747,1.424554975,3.101059355
"Palicourea_albiflora","A",1.104885256,1.318429811,1.245611362,3.232487866
"Palicourea_amapaensis","E",1.411865111,1.686965733,1.50374983,3.382017043
"Palicourea_amethystina","A",1.130201079,1.613212852,1.288226876,3.144885418
"Palicourea_amorimii","E",1.347800636,2.171920395,1.442994612,3.183839037
"Palicourea_anceps","A",1.160898502,1.578607272,1.301941054,3.1775365
"Palicourea_andaluciana","A",1.061906198,1.330037012,1.201041898,3.205745541
"Palicourea_anderssoniana","A",1.213513309,1.405663486,1.327358934,3.306639441
"Palicourea_andrei","A",1.229768215,1.513645469,1.36520709,3.29666519
"Palicourea_antioquiana","A",1.376922764,1.531591899,1.471086259,3.488127496
"Palicourea_apicata","A",1.115614676,1.561487051,1.248586253,3.169380495
"Palicourea_atlantica","F",1.377284224,2.123110301,1.457881908,3.285557309
"Palicourea_azulina","A",1.223076055,1.802229595,1.376230115,3.033825694
"Palicourea_beachiana","C",1.399877699,1.864293963,1.4920756,3.530071569
"Psychotria_berteroana","C",1.355867982,1.898043835,1.459377405,3.328175661
"Palicourea_boqueronensis","out",1.118266118,1.503917197,1.288919623,3.097604329
"Palicourea_botryocephala","E2",1.336426385,1.824971969,1.437306527,2.986323777
"Psychotria_brachypoda","F",1.291533416,2.47837514,1.451448275,3.222716471
"Palicourea_bracteocardia","E2",1.400270786,2.027547713,1.48873398,3.241297387
"Palicourea_breedlovei","C",1.290714304,2.155034807,1.443919798,3.352512545
"Palicourea_brevicollis","out",1.318256425,2.548349374,1.489888206,3.20709554
"Palicourea_calidicola","C",1.409478046,1.868091712,1.498719435,3.526080692
"Palicourea_callithrix","E",1.404423502,1.703366541,1.502024051,3.428296814
"Palicourea_calophylla","E",1.407414979,1.703096223,1.50138738,3.424881637
"Palicourea_calothyrsus","A",1.180270467,1.399749296,1.318230351,3.120244796
"Palicourea_canarina","A",1.260469924,1.55097598,1.392169151,3.112269768
"Palicourea_candida","A",1.248417746,1.563989187,1.37162194,3.366796383
"Palicourea_caprifoliacea","A",1.18023464,1.490028436,1.327399824,3.112269768
"Palicourea_cenepensis","E2",1.361049103,1.549238854,1.465338237,3.454948029
"Palicourea_colorata","E2",1.403079023,1.715388368,1.495405549,3.341830057
