elev,proportion
50,0.305084746
100,0.25862069
150,0.454882571
200,0.426470588
250,0.426470588
300,0.338983051
350,0.203389831
400,0.465517241
450,0.132075472
500,0.259259259
550,0.058823529
600,0.192307692
650,0.042553191
700,0.063829787
750,0.229166667
800,0.4
850,0.339622642
900,0.254901961
950,0.49122807
1000,0.408163265
1050,0.25
1100,0.5
1150,0.444444444
1200,0.363636364
1250,0.54
1300,0.529411765
1350,0.35
1400,0.557692308
1450,0.523809524
1500,0.565217391
1550,0.741935484
1600,0.633333333
1650,0.609756098
1700,0.527777778
1750,0.794117647
1800,0.806451613
1850,0.6
1900,0.875
1950,0.75
2000,0.551724138
2050,0.851851852
2100,0.555555556
2150,0.5
2200,0.952380952
2250,1
2300,0.782608696
2350,0.08
2400,0.5
2450,0.857142857
2500,0.6
2550,0.534482759
2600,0.707317073
2650,0.625
2700,0.743589744
2750,0.454545455
2800,0.588235294
2850,0.515151515
2900,0.833333333
2950,0.481481481
3000,0.735294118
3050,0.727272727
3100,1
3150,1
3200,0.652173913
3250,0.76
3300,0.666666667
3350,0.533333333
3400,0.7
3450,0.75
3500,0.714285714
3550,0.769230769
3600,1
3650,1
3800,1
3850,0
3950,1
4100,0
