species,bio1,bio12,bio5,bio6,elev,pollination
Palicourea_acanthacea,2.294466226,3.403120521,2.394451681,2.164352856,1370,Insect
Palicourea_acanthacea,2.396199347,3.457579147,2.474216264,2.307496038,229,Insect
Palicourea_acanthacea,2.383815366,3.475525915,2.465382851,2.292256071,346,Insect
Palicourea_acanthacea,2.401400541,3.45377686,2.478566496,2.315970345,161,Insect
Palicourea_acanthacea,2.396199347,3.513617074,2.472756449,2.311753861,223,Insect
Palicourea_acanthacea,2.385606274,3.530455844,2.463892989,2.29666519,338,Insect
Palicourea_acanthacea,2.371067862,3.317854489,2.45484486,2.278753601,422,Insect
Palicourea_acanthacea,2.396199347,3.513617074,2.472756449,2.311753861,223,Insect
Palicourea_acanthacea,2.401400541,3.45377686,2.478566496,2.315970345,161,Insect
Palicourea_acanthacea,2.298853076,3.404320467,2.397940009,2.170261715,1343,Insect
Palicourea_acanthacea,2.340444115,3.494432899,2.428134794,2.235528447,833,Insect
Palicourea_acanthacea,1.897627091,3.06483222,2.11058971,1.477121255,3561,Insect
Palicourea_acanthacea,2.399673721,3.432809005,2.482873584,2.305351369,178,Insect
Palicourea_acanthacea,2.396199347,3.457579147,2.474216264,2.307496038,229,Insect
Palicourea_acanthacea,2.409933123,3.431363764,2.484299839,2.326335861,72,Insect
Palicourea_acanthacea,2.409933123,3.431363764,2.484299839,2.326335861,72,Insect
Palicourea_acanthacea,2.390935107,3.437592032,2.475671188,2.29666519,266,Insect
Palicourea_acanthacea,2.413299764,3.411451342,2.488550717,2.330413773,40,Insect
Palicourea_acanthacea,2.350248018,3.545430829,2.445604203,2.240549248,653,Insect
Palicourea_acanthacea,2.409933123,3.431363764,2.484299839,2.326335861,72,Insect
Palicourea_acanthacea,2.399673721,3.432809005,2.482873584,2.305351369,178,Insect
Palicourea_acanthacea,2.369215857,3.403977964,2.456366033,2.269512944,504,Insect
Palicourea_acanthacea,2.396199347,3.457579147,2.474216264,2.307496038,229,Insect
Palicourea_acanthacea,2.399673721,3.432809005,2.482873584,2.305351369,178,Insect
Palicourea_acanthacea,2.409933123,3.431363764,2.484299839,2.326335861,72,Insect
Palicourea_acanthacea,2.264817823,3.408918021,2.389166084,2.10720997,1640,Insect
Palicourea_acanthacea,2.307496038,3.42078062,2.40654018,2.173186268,1083,Insect
Palicourea_acanthacea,2.396199347,3.457579147,2.474216264,2.307496038,229,Insect
Palicourea_acanthacea,2.212187604,3.186956335,2.372912003,1.949390007,2136,Insect
Palicourea_acanthacea,2.413299764,3.871572936,2.477121255,2.342422681,50,Insect
Palicourea_acanthacea,2.371067862,3.317854489,2.45484486,2.278753601,422,Insect
Palicourea_acanthacea,2.371067862,3.317854489,2.45484486,2.278753601,422,Insect
