"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"bio1",1,0.896007612614477,0.883892442191407,0.130233923463186,0.178221031487088,0.0303476647086813,0.205749206167178,0.159591023313622,0.0393962171339174,-0.11042028260572,0.191952960776485,-0.178647906881958,0.0925592286268961,-0.117475582119173,0.798138055590444,0.789441075174054,-0.121338914919827,0.857875320870074,0.88323812979294
"bio10",0.896007612614477,1,0.591842333153307,-0.190087305364895,-0.151902374114631,-0.121195498059954,0.337463653323404,-0.169254474645803,-0.130741446812159,-0.345060532743074,-0.0179754576094913,0.112687073325837,-0.312310533271421,0.32966558277749,0.960876156476889,0.475087640940945,0.287631483678308,0.896471992339778,0.690711684836019
"bio11",0.883892442191407,0.591842333153307,1,0.443363619292044,0.49380746400423,0.188504064061529,-0.000934942461164819,0.476500154501535,0.215351373584937,0.138352037547398,0.39392542979427,-0.457445286714159,0.49265065217203,-0.565290965475764,0.455211947111602,0.954279126485418,-0.529111904639069,0.606959571145804,0.903896335054493
"bio12",0.130233923463186,-0.190087305364895,0.443363619292044,1,0.905978183133002,0.706371136764355,-0.576101208588634,0.928880066624684,0.747012056213787,0.74595581684801,0.734801027538486,-0.670676980981859,0.691099874872076,-0.712259805590203,-0.328832854348326,0.550438746131837,-0.749043056877916,-0.0983571680759949,0.307534150894827
"bio13",0.178221031487088,-0.151902374114631,0.49380746400423,0.905978183133002,1,0.434938998858971,-0.331472021209167,0.990043891590652,0.472838134923127,0.637297529972736,0.645099756133544,-0.577464405699871,0.626181280677398,-0.732386023479136,-0.260909307554688,0.545216462228429,-0.693301669680448,-0.0803754794106896,0.336559430984368
"bio14",0.0303476647086813,-0.121195498059954,0.188504064061529,0.706371136764355,0.434938998858971,1,-0.598797976573843,0.463690463425741,0.991370678930311,0.595286582709316,0.578468110760386,-0.50629105448594,0.473859216990699,-0.345327931087538,-0.251472027658527,0.329517879557654,-0.489401728510956,-0.066166509148952,0.147240187140462
"bio15",0.205749206167178,0.337463653323404,-0.000934942461164819,-0.576101208588634,-0.331472021209167,-0.598797976573843,1,-0.374623663617639,-0.630095356292011,-0.526621483938603,-0.428891852525698,0.554244621243585,-0.405996246492005,0.344749832891698,0.452567388225636,-0.182854269555495,0.506497311690778,0.314277308976149,0.0416816334222346
"bio16",0.159591023313622,-0.169254474645803,0.476500154501535,0.928880066624684,0.990043891590652,0.463690463425741,-0.374623663617639,1,0.501412191569375,0.658893722678544,0.662114513968359,-0.581879703848395,0.629021013479053,-0.729157872625616,-0.278020674272744,0.531352899249765,-0.693493643605176,-0.0922559366253038,0.320656025736397
"bio17",0.0393962171339174,-0.130741446812159,0.215351373584937,0.747012056213787,0.472838134923127,0.991370678930311,-0.630095356292011,0.501412191569375,1,0.618988990023374,0.611969943010861,-0.543730091111862,0.51389909241492,-0.386649441242312,-0.268525577334664,0.363227580116554,-0.532959228846866,-0.0701781874361699,0.168387191980294
"bio18",-0.11042028260572,-0.345060532743074,0.138352037547398,0.74595581684801,0.637297529972736,0.595286582709316,-0.526621483938603,0.658893722678544,0.618988990023374,1,0.299312444756116,-0.506110777369572,0.486786089638792,-0.509779126761481,-0.465590800957959,0.238901154679869,-0.567412106677583,-0.177379702619587,-0.0204111795499644
"bio19",0.191952960776485,-0.0179754576094913,0.39392542979427,0.734801027538486,0.645099756133544,0.578468110760386,-0.428891852525698,0.662114513968359,0.611969943010861,0.299312444756116,1,-0.540903134537359,0.545123394985145,-0.481149701230537,-0.133383123328841,0.512016853107915,-0.567300521611923,-0.0233417887216156,0.362915026759587
"bio2",-0.178647906881958,0.112687073325837,-0.457445286714159,-0.670676980981859,-0.577464405699871,-0.50629105448594,0.554244621243585,-0.581879703848395,-0.543730091111862,-0.506110777369572,-0.540903134537359,1,-0.56425339905125,0.652552599416678,0.356356821265659,-0.676019996467301,0.884288080974114,0.0476985117978754,-0.381460787950144
"bio3",0.0925592286268961,-0.312310533271421,0.49265065217203,0.691099874872076,0.626181280677398,0.473859216990699,-0.405996246492005,0.629021013479053,0.51389909241492,0.486786089638792,0.545123394985145,-0.56425339905125,1,-0.897207385097852,-0.43213493493472,0.583229471603334,-0.856491060176338,-0.178017748548475,0.322913266366816
"bio4",-0.117475582119173,0.32966558277749,-0.565290965475764,-0.712259805590203,-0.732386023479136,-0.345327931087538,0.344749832891698,-0.729157872625616,-0.386649441242312,-0.509779126761481,-0.481149701230537,0.652552599416678,-0.897207385097852,1,0.449668571417192,-0.632791197843626,0.914873274850787,0.209192530629091,-0.35354543491906
"bio5",0.798138055590444,0.960876156476889,0.455211947111602,-0.328832854348326,-0.260909307554688,-0.251472027658527,0.452567388225636,-0.278020674272744,-0.268525577334664,-0.465590800957959,-0.133383123328841,0.356356821265659,-0.43213493493472,0.449668571417192,1,0.289014060327832,0.486779258170663,0.840384243368844,0.567007802714986
