"","wc2.1_5m_bio_1","wc2.1_5m_bio_2","wc2.1_5m_bio_3","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_6","wc2.1_5m_bio_7","wc2.1_5m_bio_8","wc2.1_5m_bio_9","wc2.1_5m_bio_10","wc2.1_5m_bio_11","wc2.1_5m_bio_12","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15","wc2.1_5m_bio_16","wc2.1_5m_bio_17","wc2.1_5m_bio_18","wc2.1_5m_bio_19"
"wc2.1_5m_bio_1",1,-0.0663976838031821,0.557935797513892,-0.626695618563253,0.75950395678001,0.920892437458819,-0.557002867254786,0.74406154510403,0.838989312575732,0.844037175752379,0.947578949794963,0.258646721937795,0.292984175613201,0.0826026659530661,0.141151769092281,0.28974624442044,0.0950908464702769,0.077687213255499,0.204658762868134
"wc2.1_5m_bio_2",-0.0663976838031821,1,-0.222030950203761,0.346206270464249,0.336245521448094,-0.329448024275615,0.58491380359507,-0.00567718010159818,-0.0872925039798439,0.136547212438512,-0.193376807741378,-0.646977113063584,-0.554389482282643,-0.467499453325028,0.346460118744286,-0.567320825948526,-0.497401481405553,-0.54511493371922,-0.471947181156316
"wc2.1_5m_bio_3",0.557935797513892,-0.222030950203761,1,-0.916284521194265,-0.00807450503142699,0.763948513565381,-0.866867527309515,0.390496848622173,0.462646768729484,0.0827061320945996,0.758533133414237,0.581383961032746,0.487104131335628,0.39041883420407,-0.0610330570107155,0.50698860822894,0.413347645965051,0.350346614340836,0.486683842034838
"wc2.1_5m_bio_4",-0.626695618563253,0.346206270464249,-0.916284521194265,1,-0.00276846206358685,-0.850022067639146,0.957081768632214,-0.424048586303214,-0.519830658287172,-0.114512341032791,-0.841629926704785,-0.596225900771309,-0.575310593514234,-0.289106618681806,-0.0104883901134431,-0.589887616947679,-0.315692407472521,-0.391848083912151,-0.415570880911908
"wc2.1_5m_bio_5",0.75950395678001,0.336245521448094,-0.00807450503142699,-0.00276846206358685,1,0.471531457400051,0.102437598164212,0.556736724000275,0.675529587148497,0.970040533287239,0.529218423694672,-0.216205042406702,-0.14200878714832,-0.195475052862638,0.209192317491215,-0.157846205072321,-0.203245762078455,-0.329238268560401,-0.0987671753207553
"wc2.1_5m_bio_6",0.920892437458819,-0.329448024275615,0.763948513565381,-0.850022067639146,0.471531457400051,1,-0.828907664007209,0.631416043831952,0.804693981233105,0.596888280532278,0.986668705579137,0.490716113716301,0.47525974090333,0.253262538201742,0.00453797699151078,0.48158883992026,0.276374126798058,0.255021421011989,0.392598426201346
"wc2.1_5m_bio_7",-0.557002867254786,0.58491380359507,-0.866867527309515,0.957081768632214,0.102437598164212,-0.828907664007209,1,-0.359090871643057,-0.479196885911489,-0.0579710729476774,-0.777277054289717,-0.690681122522859,-0.626181016758289,-0.409680155591264,0.127578535286534,-0.643366522900099,-0.440679592833833,-0.496514529848906,-0.505508238572138
"wc2.1_5m_bio_8",0.74406154510403,-0.00567718010159818,0.390496848622173,-0.424048586303214,0.556736724000275,0.631416043831952,-0.359090871643057,1,0.319602995437809,0.640414760079949,0.678873506571172,0.207588238984526,0.266925927003466,0.0569239005099298,0.229853691967009,0.256583415013047,0.0649460186263264,0.205858534492759,0.0579896478198345
"wc2.1_5m_bio_9",0.838989312575732,-0.0872925039798439,0.462646768729484,-0.519830658287172,0.675529587148497,0.804693981233105,-0.479196885911489,0.319602995437809,1,0.726561026709584,0.800462162892214,0.176000095320925,0.168773759463308,0.0710567316746404,0.0048784160712416,0.171856532574262,0.0825814321526707,-0.0826283401660212,0.242713330904133
"wc2.1_5m_bio_10",0.844037175752379,0.136547212438512,0.0827061320945996,-0.114512341032791,0.970040533287239,0.596888280532278,-0.0579710729476774,0.640414760079949,0.726561026709584,1,0.632615876138192,-0.0714895229267506,-0.0165184491808433,-0.0845631615838196,0.156375067691643,-0.030708677033377,-0.0864244981331796,-0.181275737834575,-0.00545245998200455
"wc2.1_5m_bio_11",0.947578949794963,-0.193376807741378,0.758533133414237,-0.841629926704785,0.529218423694672,0.986668705579137,-0.777277054289717,0.678873506571172,0.800462162892214,0.632615876138192,1,0.423646723186004,0.437295886399245,0.177516034116114,0.0935532160780189,0.441080850853288,0.197126083304999,0.206899155117806,0.318692780941758
"wc2.1_5m_bio_12",0.258646721937795,-0.646977113063584,0.581383961032746,-0.596225900771309,-0.216205042406702,0.490716113716301,-0.690681122522859,0.207588238984526,0.176000095320925,-0.0714895229267506,0.423646723186004,1,0.887139009974261,0.712761609436833,-0.312678109873228,0.916309696011633,0.745755643954807,0.792379633221501,0.717787774240091
"wc2.1_5m_bio_13",0.292984175613201,-0.554389482282643,0.487104131335628,-0.575310593514234,-0.14200878714832,0.47525974090333,-0.626181016758289,0.266925927003466,0.168773759463308,-0.0165184491808433,0.437295886399245,0.887139009974261,1,0.394226903924562,0.0168182595669699,0.991457853952387,0.426797497752264,0.725490898605993,0.548707818047999
"wc2.1_5m_bio_14",0.0826026659530661,-0.467499453325028,0.39041883420407,-0.289106618681806,-0.195475052862638,0.253262538201742,-0.409680155591264,0.0569239005099298,0.0710567316746404,-0.0845631615838196,0.177516034116114,0.712761609436833,0.394226903924562,1,-0.5654826792552,0.43082868269782,0.993714539491209,0.554032563198158,0.633460510908966
"wc2.1_5m_bio_15",0.141151769092281,0.346460118744286,-0.0610330570107155,-0.0104883901134431,0.209192317491215,0.00453797699151078,0.127578535286534,0.229853691967009,0.0048784160712416,0.156375067691643,0.0935532160780189,-0.312678109873228,0.0168182595669699,-0.5654826792552,1,-0.0296155484884781,-0.578878822091536,-0.2193825555714,-0.364167201495962
"wc2.1_5m_bio_16",0.28974624442044,-0.567320825948526,0.50698860822894,-0.589887616947679,-0.157846205072321,0.48158883992026,-0.643366522900099,0.256583415013047,0.171856532574262,-0.030708677033377,0.441080850853288,0.916309696011633,0.991457853952387,0.43082868269782,-0.0296155484884781,1,0.463717589606155,0.747608903074128,0.576306373228032
"wc2.1_5m_bio_17",0.0950908464702769,-0.497401481405553,0.413347645965051,-0.315692407472521,-0.203245762078455,0.276374126798058,-0.440679592833833,0.0649460186263264,0.0825814321526707,-0.0864244981331796,0.197126083304999,0.745755643954807,0.426797497752264,0.993714539491209,-0.578878822091536,0.463717589606155,1,0.576720226444821,0.659091248652784
"wc2.1_5m_bio_18",0.077687213255499,-0.54511493371922,0.350346614340836,-0.391848083912151,-0.329238268560401,0.255021421011989,-0.496514529848906,0.205858534492759,-0.0826283401660212,-0.181275737834575,0.206899155117806,0.792379633221501,0.725490898605993,0.554032563198158,-0.2193825555714,0.747608903074128,0.576720226444821,1,0.324323120516864
"wc2.1_5m_bio_19",0.204658762868134,-0.471947181156316,0.486683842034838,-0.415570880911908,-0.0987671753207553,0.392598426201346,-0.505508238572138,0.0579896478198345,0.242713330904133,-0.00545245998200455,0.318692780941758,0.717787774240091,0.548707818047999,0.633460510908966,-0.364167201495962,0.576306373228032,0.659091248652784,0.324323120516864,1
