"species","PC1","PC2","elev","Principal_pollinator"
"Carapichea_urniformis",-0.319375856443745,-0.228171861619375,1037,"Insect"
"Palicourea_acanthacea",0.804482571385434,1.11831824240329,229,"Insect"
"Palicourea_acetosoides",-1.67613527790158,0.951052560055411,1903,"Hummingbird"
"Palicourea_acuminata",1.38881891548292,0.308062107310066,239,"Insect"
"Palicourea_aeneofusca",0.615997087300151,-1.7792130543542,468,"Hummingbird"
"Palicourea_aetantha",1.09034351700157,0.0233304336035932,286,"Insect"
"Palicourea_albaniana",-1.35014406198424,-0.415938738727346,1561,"Hummingbird"
"Palicourea_albiflora",-3.68316501198995,1.01551635058465,2661,"Hummingbird"
"Palicourea_albocaerulea",-0.0892323731471685,0.234619199696767,1343,"Hummingbird"
"Palicourea_allenii",-2.42030899394967,0.56671221612795,1923,"Insect"
"Palicourea_amapaensis",1.32926318480637,0.434727545005177,119,"Hummingbird"
"Palicourea_amethystina",-3.28436846730736,-0.26653709975678,2749,"Hummingbird"
"Palicourea_amorimii",0.59985567210655,-1.83390370564756,377,"Insect"
"Palicourea_amplissima",0.381563633201112,1.00505880306329,819,"Insect"
"Palicourea_anceps",-2.96376122796485,-0.0281130453527058,2551,"Hummingbird"
"Palicourea_andaluciana",-4.26819593835508,0.890728998369907,2836,"Insect"
"Palicourea_anderssoniana",-2.15633594396109,1.04019042252014,1987,"Hummingbird"
"Palicourea_andina",-1.09528004697406,0.977048215147967,1674,"Insect"
"Palicourea_andrei",-1.73510637439014,0.656389413593505,1993,"Insect"
"Palicourea_antioquiana",0.648509579197908,1.39558138812994,783,"Hummingbird"
"Palicourea_antisanana",-1.47619593656255,1.26349308343348,1935,"Insect"
"Palicourea_apicata",-3.61974631030422,0.0209490031424478,2741,"Hummingbird"
"Palicourea_aschersoniana",-2.18889194026705,0.609973250791649,2098,"Hummingbird"
"Palicourea_atlantica",1.13551214701012,-1.24133597283434,131,"Hummingbird"
"Palicourea_azulina",-2.29879620839913,-1.38148062480277,2358,"Hummingbird"
"Palicourea_bangii",-1.63472745284606,-1.82066943243055,2176,"Insect"
"Palicourea_beachiana",1.69619537873056,0.601456978815472,274,"Insect"
"Palicourea_bella",-0.91610182237947,0.797003708110556,1764,"Hummingbird"
"Palicourea_boqueronensis",-3.53041711012875,-0.164256945418142,2758,"Insect"
"Palicourea_boraginoides",1.0858033986221,0.383738476971376,332,"Insect"
"Palicourea_botryocephala",-0.792331760676754,-1.71514555731408,952,"Insect"
"Palicourea_brachiata",1.43469709601558,0.204176271551779,298,"Insect"
"Palicourea_bracteocardia",1.19556648174962,-1.18508635052906,118,"Insect"
"Palicourea_breedlovei",0.158918380447222,-1.00885004171879,1534,"Insect"
"Palicourea_brevicollis",1.55594232343303,-2.85346693351196,287,"Insect"
"Palicourea_caerulea",0.354318221249148,0.888647211575641,871,"Insect"
"Palicourea_calidicola",1.81832493172755,0.567171863161895,182,"Insect"
"Palicourea_callithrix",1.39199902664145,0.599305147143025,202,"Insect"
"Palicourea_calophylla",1.43969926484817,0.584288437772314,119.5,"Hummingbird"
"Palicourea_calothyrsus",-2.86850015514337,0.217268415858502,2157,"Hummingbird"
"Palicourea_canarina",-1.8304579901737,-0.309360558874858,1840,"Hummingbird"
"Palicourea_candida",-1.29545402616328,0.82321036640174,1807,"Hummingbird"
"Palicourea_caprifoliacea",-2.90457463653968,-0.0851985885655243,2413,"Hummingbird"
"Palicourea_cenepensis",0.373733845500962,1.19889337899132,987,"Insect"
"Palicourea_chignul",-0.984679510615758,1.23768576618709,1343,"Hummingbird"
"Palicourea_colorata",0.895496628795456,0.177977132784672,493,"Insect"
"Palicourea_conephoroides",-0.660010421197587,-1.38061825066245,1460,"Insect"
"Palicourea_coriacea",0.529660574105476,-1.66873017857023,767,"Hummingbird"
"Palicourea_correae",0.554154370985805,0.396964753504394,763,"Insect"
"Palicourea_corymbifera",1.30036649609901,0.375454549718673,133,"Hummingbird"
"Palicourea_crocea",1.31213979164084,-1.06049810884291,216,"Hummingbird"
"Palicourea_croceoides",1.1679888771536,-0.364161030282837,252,"Hummingbird"
"Palicourea_cyanococca",1.56028368323439,0.574555198799766,293,"Insect"
"Palicourea_deflexa",1.10131194810809,-0.47439738110358,401,"Insect"
"Palicourea_demissa",-2.33924998623753,0.420318018411264,1992,"Hummingbird"
"Palicourea_dichotoma",1.11717928263867,-0.618450471592904,248,"Insect"
"Palicourea_didymocarpos",1.11551679195286,-0.463650486518601,241,"Insect"
"Palicourea_diminuta",0.991832648110522,-0.151618239758953,262,"Insect"
"Palicourea_divaricata",0.618745350452401,-2.03970860163307,321,"Hummingbird"
"Palicourea_domingensis",1.62682172830812,-1.57145195751681,341,"Insect"
"Palicourea_egensis",1.52468830557309,0.438337530734517,196,"Insect"
"Palicourea_elata",0.136498840422574,0.311510732009501,1197,"Insect"
"Palicourea_ernestii",-0.133051910058726,0.0398536118164006,1037,"Insect"
"Palicourea_eurycarpa",0.514222108609714,0.248912064999934,890,"Insect"
"Palicourea_fanshawei",0.257416197805899,0.0811758141827907,769,"Insect"
