species,PC2,elev,Area
Palicourea_acetosoides,1.055009795,1903,Andean
Palicourea_albaniana,-0.290771892,1561,Andean
Palicourea_albiflora,1.255821314,2661,Andean
Palicourea_albocaerulea,0.213781737,1343,Andean
Palicourea_amethystina,-0.066277683,2749,Andean
Palicourea_amplissima,0.995083897,819,Andean
Palicourea_anceps,0.157876978,2551,Andean
Palicourea_andaluciana,1.176685524,2836,Andean
Palicourea_anderssoniana,1.186069529,1987,Andean
Palicourea_andrei,0.756659134,1993,Andean
Palicourea_antioquiana,1.352142151,783,Andean
Palicourea_apicata,0.257644865,2741,Andean
Palicourea_azulina,-1.229767559,2358,Andean
Palicourea_bangii,-1.722957181,2176,Andean
Palicourea_bella,0.814790063,1764,Andean
Palicourea_calothyrsus,0.43460142,2157,Andean
Palicourea_canarina,-0.163883663,1840,Andean
Palicourea_candida,0.890684324,1807,Andean
Palicourea_caprifoliacea,0.113103685,2413,Andean
Palicourea_chignul,1.320832108,1343,Andean
Palicourea_demissa,0.59851878,1992,Andean
Palicourea_flavescens,0.470578046,3007.5,Andean
Palicourea_flavifolia,-1.947389955,1758,Andean
Palicourea_frontinoensis,1.402923575,783,Andean
Palicourea_fuchsioides,0.398772556,2741,Andean
Palicourea_garciae,1.234656499,1923,Andean
Palicourea_gemmiflora,-0.046472092,1392,Andean
Palicourea_graciliflora,1.034607255,1640,Andean
Palicourea_grandistipula,2.949750651,97,Andean
Palicourea_harlingii,0.620699922,1519,Andean
Palicourea_heterochroma,1.156753413,2297,Andean
Palicourea_lasiorrhachis,0.529360846,1721,Andean
Palicourea_lehmannii,0.982164054,1446,Andean
Palicourea_lineata,-0.651511725,2296,Andean
Palicourea_lobbii,-0.500985308,2506,Andean
Palicourea_loxensis,-0.21002863,2056,Andean
Palicourea_luteonivea,0.206875537,1365,Andean
Palicourea_macbridei,-1.328176687,2441,Andean
Palicourea_perquadrangularis,0.667048449,1456,Andean
Palicourea_pyramidalis,0.760776549,1923,Andean
Palicourea_quinquepyrena,0.023518796,1472,Andean
Palicourea_reticulata,-1.644610727,2321,Andean
Palicourea_rigidifolia,1.000665541,1300,Andean
Palicourea_salicifolia,0.67619245,2109,Andean
Palicourea_seemannii,1.18086152,833,Andean
Palicourea_skotakii,0.691842749,2507,Andean
Palicourea_sodiroi,0.990500193,1507,Andean
Palicourea_sopkinii,1.732185,1210,Andean
Palicourea_spathacea,0.965764766,1942,Andean
Palicourea_standleyana,0.760776549,1923,Andean
Palicourea_stenosepala,0.074345653,2056,Andean
Palicourea_stipularis,0.760776549,1923,Andean
Palicourea_sucllii,-1.114336897,2357,Andean
Palicourea_sulphurea,-0.168799175,2370.5,Andean
Palicourea_thermydri,1.046457661,1475,Andean
Palicourea_thyrsiflora,0.641960484,1682,Andean
Palicourea_trianae,2.005365621,627,Andean
Palicourea_ulloana,0.554073848,2056,Andean
Carapichea_urniformis,-0.171708409,1037,extra_Andean
Palicourea_acanthacea,1.119658229,229,extra_Andean
Palicourea_acuminata,0.245731678,239,extra_Andean
Palicourea_aeneofusca,-1.759486659,468,extra_Andean
Palicourea_aetantha,-0.002935495,286,extra_Andean
Palicourea_amapaensis,0.393096829,119,extra_Andean
Palicourea_amorimii,-1.804366591,377,extra_Andean
Palicourea_andina,1.037671228,1674,extra_Andean
Palicourea_antisanana,1.330920306,1935,extra_Andean
Palicourea_aschersoniana,0.756237425,2098,extra_Andean
Palicourea_atlantica,-1.251915879,131,extra_Andean
Palicourea_beachiana,0.493033604,274,extra_Andean
Palicourea_boqueronensis,0.061867263,2758,extra_Andean
Palicourea_boraginoides,0.3477047,332,extra_Andean
Palicourea_botryocephala,-1.574600382,952,extra_Andean
Palicourea_brachiata,0.129126532,298,extra_Andean
Palicourea_bracteocardia,-1.196629,118,extra_Andean
Palicourea_breedlovei,-1.066719971,1534,extra_Andean
Palicourea_brevicollis,-2.932110055,287,extra_Andean
Palicourea_calidicola,0.455736597,182,extra_Andean
Palicourea_callithrix,0.537664097,202,extra_Andean
Palicourea_calophylla,0.526129407,119.5,extra_Andean
Palicourea_cenepensis,1.166703168,987,extra_Andean
Palicourea_colorata,0.152344304,493,extra_Andean
Palicourea_conephoroides,-1.319234522,1460,extra_Andean
Palicourea_coriacea,-1.672817861,767,extra_Andean
Palicourea_correae,0.373685184,763,extra_Andean
Palicourea_corymbifera,0.338334546,133,extra_Andean
Palicourea_crocea,-1.09930652,216,extra_Andean
Palicourea_croceoides,-0.392851613,252,extra_Andean
Palicourea_cyanococca,0.480594315,293,extra_Andean
Palicourea_deflexa,-0.515986898,401,extra_Andean
Palicourea_dichotoma,-0.643406636,248,extra_Andean
Palicourea_didymocarpos,-0.484128624,241,extra_Andean
Palicourea_diminuta,-0.16009762,262,extra_Andean
Palicourea_divaricata,-2.002978998,321,extra_Andean
Palicourea_domingensis,-1.659047902,341,extra_Andean
Palicourea_egensis,0.365510866,196,extra_Andean
Palicourea_elata,0.280805778,1197,extra_Andean
Palicourea_ernestii,0.070260686,1037,extra_Andean
Palicourea_eurycarpa,0.212476506,890,extra_Andean
Palicourea_fanshawei,0.095991296,769,extra_Andean
Palicourea_flaviflora,0.415401973,626,extra_Andean
Palicourea_fulgens,-2.546864346,193,extra_Andean
Palicourea_gardenioides,-1.917904812,118,extra_Andean
Palicourea_glabra,0.817002199,108,extra_Andean
Palicourea_glomerulata,0.407157554,94,extra_Andean
Palicourea_gracilenta,0.656930157,392,extra_Andean
Palicourea_grandiceps,1.735376979,986,extra_Andean
Palicourea_grandiflora,0.138567767,222,extra_Andean
Palicourea_grandifructa,0.333747759,182,extra_Andean
Palicourea_guianensis,0.283961219,218,extra_Andean
Palicourea_hazenii,0.44170901,1485,extra_Andean
Palicourea_huampamiensis,0.696910012,238,extra_Andean
Palicourea_hypochlorina,0.577425539,146,extra_Andean
Palicourea_jambosioides,-1.487747157,50,extra_Andean
Palicourea_jelskii,-1.411806137,2877,extra_Andean
Palicourea_lachnantha,0.741820949,132,extra_Andean
Palicourea_lasiantha,0.480406708,281,extra_Andean
Palicourea_locuples,1.141471878,1739,extra_Andean
Palicourea_longiflora,0.349697261,123,extra_Andean
Palicourea_lupulina,-0.353967807,171,extra_Andean
Palicourea_macarthurorum,1.048870419,281,extra_Andean
Palicourea_macrobotrys,-1.868375028,440.5,extra_Andean
Palicourea_mansoana,0.387293512,477,extra_Andean
Palicourea_marcgravii,-1.969318621,723,extra_Andean
Palicourea_mediocris,-0.711316665,333,extra_Andean
Palicourea_minutiflora,-2.041655809,377,extra_Andean
Palicourea_nigricans,0.649820184,244,extra_Andean
Palicourea_nitidella,0.191877621,100,extra_Andean
Palicourea_officinalis,-1.568881952,1066,extra_Andean
Palicourea_ostreophora,0.955653215,773.5,extra_Andean
Palicourea_padifolia,-1.458468291,1399,extra_Andean
Palicourea_palenquensis,0.200532672,365,extra_Andean
Palicourea_persearum,-1.959610179,1133,extra_Andean
Palicourea_petiolaris,-0.981571527,1249,extra_Andean
Palicourea_polycephala,-0.049164163,121,extra_Andean
Palicourea_prunifolia,-1.441430113,572,extra_Andean
Palicourea_pubescens,-0.919947625,450,extra_Andean
Palicourea_quadrifolia,0.430306997,119,extra_Andean
Palicourea_racemosa,0.195863163,183,extra_Andean
Palicourea_rhodothamna,0.765893953,132,extra_Andean
Palicourea_rigida,-1.674054822,753,extra_Andean
Palicourea_sessilis,-2.414983669,790,extra_Andean
Palicourea_solitudinum,0.33349247,182,extra_Andean
Palicourea_stenostachya,0.60612112,389,extra_Andean
Palicourea_subfusca,0.416685528,281,extra_Andean
Palicourea_tetragona,-0.82759728,216.5,extra_Andean
Palicourea_timbiquensis,2.18720779,247,extra_Andean
Palicourea_tinctoria,-0.629604861,1555,extra_Andean
Palicourea_tomentosa,0.588544425,262,extra_Andean
Palicourea_topoensis,1.6740775,1389,extra_Andean
Palicourea_triphylla,0.13060187,258,extra_Andean
Palicourea_umbelliformis,0.413876409,524,extra_Andean
Palicourea_valerioana,0.14570418,890,extra_Andean
Palicourea_winkleri,0.31253503,524,extra_Andean
Palicourea_woronovii,0.787001325,316,extra_Andean
Palicourea_yneziae,0.316673083,414,extra_Andean
Psychotria_berteroana,-0.403950488,610,extra_Andean
Psychotria_bertieroides,0.916640797,401,extra_Andean
Psychotria_bolivarensis,1.02006694,251.5,extra_Andean
Psychotria_brachypoda,-2.595376907,238,extra_Andean
Psychotria_bremekampiana,0.346747562,108,extra_Andean
Psychotria_everardii,0.191321124,1216,extra_Andean
Psychotria_hebeclada,-0.00612691,201.5,extra_Andean
Psychotria_hemicephaelis,0.19360859,832,extra_Andean
Psychotria_limitanea,0.917517433,107,extra_Andean
Psychotria_lindenii,0.897892705,871,extra_Andean
Psychotria_luxurians,0.563128493,506,extra_Andean
Psychotria_muscosa,-0.009405155,284,extra_Andean
Psychotria_oblonga,0.745341462,140,extra_Andean
Psychotria_oinochrophylla,0.180165084,1059.5,extra_Andean
Psychotria_paniculata,-0.015445925,2393.5,extra_Andean
Psychotria_patentinervia,-1.804030068,321,extra_Andean
Psychotria_phyllocalymma,-1.809812106,321,extra_Andean
Psychotria_prancei,0.325509924,86,extra_Andean
Psychotria_rhombibractea,0.325509924,86,extra_Andean
Psychotria_rhytidocarpa,-2.689870407,607,extra_Andean
Psychotria_ruelliifolia,-2.443971883,787,extra_Andean
Psychotria_spathicalyx,-2.182058708,635.5,extra_Andean
Psychotria_stachyoides,-2.278271175,874,extra_Andean
Psychotria_suterella,-2.58279049,689,extra_Andean
Psychotria_ulviformis,0.454863543,207,extra_Andean
Psychotria_urceolata,0.675093905,166,extra_Andean
Psychotria_variegata,0.517534419,168.5,extra_Andean
Psychotria_venulosa,0.553673975,361,extra_Andean
