,Palicourea_suerrensis,Palicourea_justiciifolia,Palicourea_ostreophora,Palicourea_quadrifolia,Palicourea_corymbifera,Palicourea_winkleri,Palicourea_dichotoma,Palicourea_gracilenta,Palicourea_obliquinervia,Palicourea_prunifolia,Palicourea_callithrix,Palicourea_glabra,Palicourea_acuminata,Palicourea_andina,Palicourea_didymocarpos,Palicourea_rhodothamna,Palicourea_triphylla,Palicourea_croceoides,Palicourea_crocea,Palicourea_lasiantha,Palicourea_nitidella,Palicourea_macrobotrys,Palicourea_guianensis,Palicourea_marcgravii,Palicourea_grandiflora,Palicourea_rigida,Palicourea_egensis,Palicourea_polycephala,Palicourea_deflexa,Palicourea_woronovii,Palicourea_bangii,Palicourea_flavifolia,Palicourea_reticulata,Palicourea_stipularis,Palicourea_flavescens,Palicourea_stenosepala,Palicourea_lineata,Palicourea_padifolia,Palicourea_lehmannii,Palicourea_thyrsiflora,Palicourea_demissa,Palicourea_amethystina,Palicourea_standleyana,Palicourea_seemannii,Palicourea_pyramidalis,Palicourea_luteonivea,Palicourea_sulphurea,Palicourea_apicata,Palicourea_loxensis,Palicourea_angustifolia,Palicourea_tetragona,Palicourea_domingensis,Palicourea_pubescens,Palicourea_correae,Palicourea_elata,Palicourea_berteroana,Palicourea_petiolaris,Palicourea_timbiquensis,Palicourea_acanthacea,Palicourea_brachiata,Palicourea_glomerulata,Palicourea_conephoroides,Palicourea_tinctoria,Palicourea_jelskii,Palicourea_allenii,Palicourea_cyanococca,Palicourea_hazenii,Palicourea_tomentosa,Psychotria_rosea,Psychotria_suterella,Palicourea_brachypoda,Palicourea_sessilis,Palicourea_divaricata,Palicourea_racemosa,Palicourea_subfusca,Palicourea_topoensis,Palicourea_brevicollis
Palicourea_suerrensis,100,19.7016,38.8313,35.8421,41.779,98.0648,23.8073,25.0526,27.6689,5.4977,48.4289,55.598,26.9693,7.1689,18.4934,54.7394,96.1114,13.5405,9.9481,23.9413,32.0706,4.2283,30.4715,1.8475,27.7165,2.9845,69.9229,55.0988,17.7588,71.4778,0.5747,1.0006,0.6116,0.3344,0.5074,2.9467,0.4205,1.5207,29.2062,76.6665,1.8823,0.1364,22.0017,11.7383,10.4694,12.5849,94.0978,0.6192,3.2418,2.1555,87.4943,14.4395,11.0869,49.5234,15.0761,15.0695,1.2543,40.6682,24.063,56.3003,77.2025,5.4275,87.114,0.2028,15.2148,66.5008,4.5907,98.8956,89.4017,1.1471,0.375,0.2625,3.3078,24.1732,9.5454,39.4613,0.5603
Palicourea_justiciifolia,77.4545,100,67.8332,53.5406,98.1117,86.2896,72.7776,73.5195,73.8535,61.702,94.0592,84.4182,62.1679,25.0153,91.3911,31.0591,90.325,76.7433,69.5935,80.8382,52.8363,94.2454,71.6909,69.2708,85.5772,79.1067,98.3669,32.7283,79.3084,26.3401,9.2735,15.2952,62.4722,82.7315,1.7386,34.9083,76.0702,25.5558,3.8484,89.5501,7.8823,2.4169,11.0553,52.5776,11.3681,79.0386,93.4714,3.6488,4.4932,7.2914,59.8528,84.995,77.7847,44.6813,26.033,46.7172,62.9628,4.5525,32.4261,76.2352,73.5179,37.0252,79.1737,7.3329,39.6393,61.7025,13.9304,80.9264,73.3196,7.7486,38.9976,27.8535,72.7434,93.8237,93.0715,2.7999,18.0764
Palicourea_ostreophora,98.2867,55.3465,100,35.3057,86.488,91.3495,63.3022,69.976,68.3555,24.1799,85.4886,91.3547,71.4784,50.6414,63.1382,43.9848,80.01,51.5243,42.3929,70.4362,63.5144,24.3756,76.4708,29.8174,73.2001,41.3597,93.6021,21.8723,58.9088,39.4213,7.9487,10.7927,59.1412,67.7606,6.9389,71.7819,5.359,47.3992,75.5186,82.7315,19.2889,2.7164,35.303,84.2623,52.6472,62.7491,92.5127,7.1393,45.9151,21.4557,50.4148,50.0648,60.7495,96.7585,59.7361,62.3981,44.9957,12.3853,67.8199,94.4353,94.6161,29.9459,83.7116,5.5343,63.0571,93.3109,38.4775,88.2063,56.5081,7.6019,3.9608,17.6965,37.2779,75.5232,91.605,27.7394,5.7368
Palicourea_quadrifolia,70.2194,93.5498,77.8873,100,87.7596,98.4618,31.3086,47.1447,72.0812,47.4788,95.8866,65.7075,37.0599,8.3791,69.7585,44.3712,97.772,42.19,34.025,52.6836,69.5454,20.8256,43.9338,11.5403,56.6169,68.5836,92.1037,87.3379,37.4629,52.8191,0.8539,2.2048,72.1499,79.5822,0.4128,64.7807,1.167,1.25,13.6474,95.379,2.6774,0.3279,20.4985,73.5891,4.7553,15.6982,98.903,1.0779,1.5873,2.7294,76.6444,52.1803,34.3327,35.521,19.5204,24.8256,3.2821,7.0527,12.4547,55.3131,63.2026,10.9556,88.793,0.3655,19.6152,47.1432,6.2302,92.4198,87.5852,0.7708,8.8012,1.6819,4.9435,98.0054,99.8974,8.032,1.526
Palicourea_corymbifera,67.3583,56.973,38.1578,84.8242,100,97.5982,95.3517,98.5152,94.3104,68.0593,87.6411,77.1519,40.1172,8.3273,94.0986,57.1643,99.2586,99.5404,99.8026,95.2277,88.9628,98.1193,99.2548,54.4751,96.6666,74.7099,69.8811,57.2539,97.9806,57.3904,0.7904,45.4054,63.6978,77.0368,9.3331,47.988,77.6828,17.1515,5.8864,93.2834,81.756,0.2745,19.9643,71.4929,22.3076,87.6797,95.5503,0.9829,4.7663,2.4548,86.2854,75.6511,83.2112,38.5796,83.5646,23.3109,46.9823,8.6728,20.1641,60.3357,57.1128,9.6331,87.6765,9.3045,21.9454,63.7098,74.7813,97.819,96.3996,0.7117,9.9662,1.4404,19.4084,99.0542,99.7135,6.7628,0.9707
Palicourea_winkleri,20.9308,53.7922,64.0059,36.2718,33.1235,100,73.3154,92.155,95.8366,83.749,99.468,96.2033,88.9938,65.0889,90.9973,93.0459,93.5735,81.0725,70.819,92.9138,87.6106,58.7035,89.7415,51.9265,92.6027,59.2639,99.3993,96.829,80.683,26.9974,18.4429,21.9714,15.0924,10.7786,5.6461,38.055,9.8985,45.7138,73.3951,24.4119,27.0249,4.6695,66.1219,65.4591,59.1649,71.1246,24.5515,11.0676,33.3344,25.5326,94.0737,84.3429,74.6726,98.7853,87.0602,88.132,29.9206,66.1102,69.9625,98.1421,94.3961,57.9031,67.4944,8.4185,78.8908,97.1,51.7436,93.8745,48.2982,11.5564,81.8383,25.846,41.2587,89.1137,61.8685,88.0086,26.4402
Palicourea_dichotoma,97.2584,81.6776,77.237,87.5998,35.9768,66.5563,100,61.436,50.5609,31.7546,95.5542,39.6372,74.2201,38.8351,52.7067,27.009,74.037,60.7978,59.0082,60.5222,29.8129,82.2917,86.7016,55.2709,62.4736,59.7609,20.1751,22.1323,81.6238,23.1658,8.897,48.9008,58.2604,81.2296,21.1838,44.7382,60.4432,38.9716,8.3509,86.0447,14.2845,2.549,16.9729,54.7247,28.3609,71.9082,83.7626,5.0411,9.6963,14.7436,48.9299,50.6568,67.8597,85.1619,50.8227,56.8812,59.3509,11.4037,56.2563,93.3288,32.8113,34.5108,73.9139,28.8833,53.643,89.6175,69.22,75.6527,58.4817,6.7238,33.2838,33.6419,45.1975,85.2883,73.368,8.1843,12.908
Palicourea_gracilenta,91.6883,79.6218,81.3784,93.4934,53.1243,79.0703,77.5274,100,67.0405,46.1447,94.0834,97.8038,81.9651,47.544,82.4423,36.4824,91.1877,73.3245,63.8605,81.3362,44.2272,83.3029,90.603,41.0945,86.4568,56.7413,99.6265,20.2167,68.6027,36.1422,12.0168,14.3015,64.3102,72.0224,3.2082,58.7945,69.9736,43.2699,4.8861,85.8287,17.53,2.7843,15.6304,64.7245,27.8478,78.5601,91.2929,6.8844,8.9263,16.0305,63.3119,83.2428,72.7599,95.1161,69.5038,70.5326,42.1125,7.7311,63.2158,95.2597,85.1669,40.0192,79.7971,15.5527,69.3406,91.3172,70.1636,83.4664,66.7416,13.1607,78.3495,17.284,28.7215,86.4489,96.4824,9.4583,24.8038
Palicourea_obliquinervia,67.8706,93.1727,46.7223,92.1259,72.0223,48.2137,82.1713,90.4252,100,65.6089,94.8618,76.6935,50.9968,18.3661,78.4437,38.658,95.5237,62.744,54.2442,63.754,81.7921,39.0243,59.7559,30.8603,76.0915,75.0056,96.0997,35.3084,59.5426,40.9947,5.952,9.2569,74.5518,81.5614,1.0813,55.8074,3.235,35.5435,34.6998,93.3038,5.9259,1.1251,14.9746,65.1598,18.8267,27.7458,95.7338,2.5769,4.3483,5.5099,71.1509,73.1404,79.649,47.3285,25.7526,39.9645,52.0665,6.5464,26.1331,67.3185,63.1619,27.4892,82.8958,2.177,31.9702,54.3381,12.1953,85.9221,77.68,9.7091,44.9833,14.5907,23.9361,95.2943,99.131,5.749,16.627
Palicourea_prunifolia,27.3026,82.7217,31.4865,59.9392,43.8495,26.2031,52.5522,83.0275,73.5466,100,54.1345,33.034,24.8569,10.5434,69.4726,16.5368,88.555,52.5011,49.8869,39.9368,67.9104,47.6223,32.6023,40.4788,58.7573,90.7526,56.408,75.5707,44.2485,10.3481,8.4633,14.2296,79.2942,89.2965,0.4139,25.521,4.2075,6.1268,10.5392,92.6883,2.4392,1.7833,1.7229,14.1814,1.0323,15.796,89.4597,1.7947,1.6874,1.9059,54.2476,79.9746,83.2949,11.9339,11.1303,25.632,10.0059,0.394,3.5852,31.8721,24.0877,24.26,78.9565,4.1154,14.0999,20.1691,4.6389,50.6968,52.3704,22.7327,50.3837,37.6717,19.4085,85.3181,94.7869,0.551,28.8444
