"","spp1","spp2","overlap_mean_sp1to2","overlap_mean_sp2to1"
"2","Palicourea_justiciifolia","Palicourea_suerrensis",77.4545,19.7016
"3","Palicourea_ostreophora","Palicourea_suerrensis",98.2867,38.8313
"4","Palicourea_quadrifolia","Palicourea_suerrensis",70.2194,35.8421
"5","Palicourea_corymbifera","Palicourea_suerrensis",67.3583,41.779
"6","Palicourea_winkleri","Palicourea_suerrensis",20.9308,98.0648
"7","Palicourea_dichotoma","Palicourea_suerrensis",97.2584,23.8073
"8","Palicourea_gracilenta","Palicourea_suerrensis",91.6883,25.0526
"9","Palicourea_obliquinervia","Palicourea_suerrensis",67.8706,27.6689
"10","Palicourea_prunifolia","Palicourea_suerrensis",27.3026,5.4977
"11","Palicourea_callithrix","Palicourea_suerrensis",54.7217,48.4289
"12","Palicourea_glabra","Palicourea_suerrensis",87.4616,55.598
"13","Palicourea_acuminata","Palicourea_suerrensis",99.2952,26.9693
"14","Palicourea_andina","Palicourea_suerrensis",94.5852,7.1689
"15","Palicourea_didymocarpos","Palicourea_suerrensis",75.7099,18.4934
"16","Palicourea_rhodothamna","Palicourea_suerrensis",64.1435,54.7394
"17","Palicourea_triphylla","Palicourea_suerrensis",25.4281,96.1114
"18","Palicourea_croceoides","Palicourea_suerrensis",88.078,13.5405
"19","Palicourea_crocea","Palicourea_suerrensis",91.0819,9.9481
"20","Palicourea_lasiantha","Palicourea_suerrensis",96.2816,23.9413
"21","Palicourea_nitidella","Palicourea_suerrensis",54.5336,32.0706
"22","Palicourea_macrobotrys","Palicourea_suerrensis",81.7683,4.2283
"23","Palicourea_guianensis","Palicourea_suerrensis",99.5582,30.4715
"24","Palicourea_marcgravii","Palicourea_suerrensis",18.0929,1.8475
"25","Palicourea_grandiflora","Palicourea_suerrensis",92.4122,27.7165
"26","Palicourea_rigida","Palicourea_suerrensis",36.1135,2.9845
"27","Palicourea_egensis","Palicourea_suerrensis",60.53,69.9229
"28","Palicourea_polycephala","Palicourea_suerrensis",44.6654,55.0988
"29","Palicourea_deflexa","Palicourea_suerrensis",95.1947,17.7588
"30","Palicourea_woronovii","Palicourea_suerrensis",70.8221,71.4778
"31","Palicourea_bangii","Palicourea_suerrensis",22.5197,0.5747
"32","Palicourea_flavifolia","Palicourea_suerrensis",34.7015,1.0006
"33","Palicourea_reticulata","Palicourea_suerrensis",54.1793,0.6116
"34","Palicourea_stipularis","Palicourea_suerrensis",52.9601,0.3344
"35","Palicourea_flavescens","Palicourea_suerrensis",15.2775,0.5074
"36","Palicourea_stenosepala","Palicourea_suerrensis",78.506,2.9467
"37","Palicourea_lineata","Palicourea_suerrensis",51.1594,0.4205
"38","Palicourea_padifolia","Palicourea_suerrensis",27.9987,1.5207
"39","Palicourea_lehmannii","Palicourea_suerrensis",14.0776,29.2062
"40","Palicourea_thyrsiflora","Palicourea_suerrensis",1.0491,76.6665
"41","Palicourea_demissa","Palicourea_suerrensis",86.6547,1.8823
"42","Palicourea_amethystina","Palicourea_suerrensis",42.9671,0.1364
"43","Palicourea_standleyana","Palicourea_suerrensis",59.6059,22.0017
"44","Palicourea_seemannii","Palicourea_suerrensis",93.5006,11.7383
"45","Palicourea_pyramidalis","Palicourea_suerrensis",63.3134,10.4694
"46","Palicourea_luteonivea","Palicourea_suerrensis",87.225,12.5849
"47","Palicourea_sulphurea","Palicourea_suerrensis",1.8236,94.0978
"48","Palicourea_apicata","Palicourea_suerrensis",82.4592,0.6192
"49","Palicourea_loxensis","Palicourea_suerrensis",11.1631,3.2418
"50","Palicourea_angustifolia","Palicourea_suerrensis",78.693,2.1555
"51","Palicourea_tetragona","Palicourea_suerrensis",31.5685,87.4943
"52","Palicourea_domingensis","Palicourea_suerrensis",49.0915,14.4395
"53","Palicourea_pubescens","Palicourea_suerrensis",65.2746,11.0869
"54","Palicourea_correae","Palicourea_suerrensis",57.6889,49.5234
"55","Palicourea_elata","Palicourea_suerrensis",92.0991,15.0761
"56","Palicourea_berteroana","Palicourea_suerrensis",96.4383,15.0695
"57","Palicourea_petiolaris","Palicourea_suerrensis",26.7986,1.2543
"58","Palicourea_timbiquensis","Palicourea_suerrensis",60.2845,40.6682
"59","Palicourea_acanthacea","Palicourea_suerrensis",44.9939,24.063
"60","Palicourea_brachiata","Palicourea_suerrensis",96.649,56.3003
"61","Palicourea_glomerulata","Palicourea_suerrensis",89.7433,77.2025
"62","Palicourea_conephoroides","Palicourea_suerrensis",83.4097,5.4275
"63","Palicourea_tinctoria","Palicourea_suerrensis",6.1379,87.114
"64","Palicourea_jelskii","Palicourea_suerrensis",8.1313,0.2028
"65","Palicourea_allenii","Palicourea_suerrensis",90.8581,15.2148
"66","Palicourea_cyanococca","Palicourea_suerrensis",97.0345,66.5008
"67","Palicourea_hazenii","Palicourea_suerrensis",76.5007,4.5907
"68","Palicourea_tomentosa","Palicourea_suerrensis",36.4546,98.8956
"69","Psychotria_rosea","Palicourea_suerrensis",38.2727,89.4017
"70","Psychotria_suterella","Palicourea_suerrensis",0.1254,1.1471
"71","Palicourea_brachypoda","Palicourea_suerrensis",0.4693,0.375
"72","Palicourea_sessilis","Palicourea_suerrensis",3.2423,0.2625
"73","Palicourea_divaricata","Palicourea_suerrensis",10.4327,3.3078
"74","Palicourea_racemosa","Palicourea_suerrensis",96.2077,24.1732
"75","Palicourea_subfusca","Palicourea_suerrensis",97.9349,9.5454
"76","Palicourea_topoensis","Palicourea_suerrensis",31.9509,39.4613
"77","Palicourea_brevicollis","Palicourea_suerrensis",3.6665,0.5603
"79","Palicourea_ostreophora","Palicourea_justiciifolia",55.3465,67.8332
"80","Palicourea_quadrifolia","Palicourea_justiciifolia",93.5498,53.5406
"81","Palicourea_corymbifera","Palicourea_justiciifolia",56.973,98.1117
"82","Palicourea_winkleri","Palicourea_justiciifolia",53.7922,86.2896
"83","Palicourea_dichotoma","Palicourea_justiciifolia",81.6776,72.7776
"84","Palicourea_gracilenta","Palicourea_justiciifolia",79.6218,73.5195
"85","Palicourea_obliquinervia","Palicourea_justiciifolia",93.1727,73.8535
"86","Palicourea_prunifolia","Palicourea_justiciifolia",82.7217,61.702
"87","Palicourea_callithrix","Palicourea_justiciifolia",29.2724,94.0592
"88","Palicourea_glabra","Palicourea_justiciifolia",44.9427,84.4182
"89","Palicourea_acuminata","Palicourea_justiciifolia",88.0922,62.1679
"90","Palicourea_andina","Palicourea_justiciifolia",78.2147,25.0153
