state	power	likelihood
260	1	-50.764
270	1	-49.7813
280	1	-49.903
290	1	-49.7489
300	1	-49.8813
310	1	-50.2032
320	1	-50.0656
330	1	-49.7922
340	1	-49.8586
350	1	-50.857
360	1	-49.7485
370	1	-49.8359
380	1	-50.2321
390	1	-51.2915
400	1	-49.7445
410	1	-49.7472
420	1	-49.7821
430	1	-49.745
440	1	-50.3365
450	1	-49.749
460	1	-49.89
470	1	-49.7436
480	1	-49.7437
490	1	-49.7931
500	1	-51.5811
510	1	-49.8592
520	1	-49.9747
530	1	-50.6546
540	1	-49.8389
550	1	-49.9632
560	1	-50.3229
570	1	-49.744
580	1	-49.972
590	1	-50.0377
600	1	-49.9131
610	1	-50.0436
620	1	-50.2611
630	1	-50.0756
640	1	-49.7636
650	1	-49.7547
660	1	-50.0612
670	1	-50.5183
680	1	-50.7855
690	1	-49.7434
700	1	-49.9003
710	1	-50.9053
720	1	-49.9338
730	1	-49.8103
740	1	-50.0829
750	1	-49.7697
760	1	-49.8735
770	1	-49.7951
780	1	-49.8072
790	1	-49.7433
800	1	-51.4143
810	1	-50.272
820	1	-51.8114
830	1	-49.8058
840	1	-49.8013
850	1	-49.7469
860	1	-50.8299
870	1	-50.6844
880	1	-50.7268
890	1	-50.6383
900	1	-49.9496
910	1	-50.1369
920	1	-50.6519
930	1	-50.3682
940	1	-49.8405
950	1	-49.7435
960	1	-50.994
970	1	-49.9262
980	1	-50.1045
990	1	-50.2629
1000	1	-49.7432
260	0.923115	-49.7441
270	0.923115	-49.9001
280	0.923115	-49.744
290	0.923115	-50.1253
300	0.923115	-49.8322
310	0.923115	-51.2652
320	0.923115	-50.9018
330	0.923115	-49.7641
340	0.923115	-50.4319
350	0.923115	-50.472
360	0.923115	-50.5733
370	0.923115	-50.8433
380	0.923115	-49.7593
390	0.923115	-51.1599
400	0.923115	-49.7949
410	0.923115	-49.8989
420	0.923115	-50.6085
430	0.923115	-49.8316
440	0.923115	-49.7467
450	0.923115	-50.3546
460	0.923115	-49.7866
470	0.923115	-50.8494
480	0.923115	-51.9022
490	0.923115	-51.1475
500	0.923115	-50.097
510	0.923115	-49.9589
520	0.923115	-50.6319
530	0.923115	-50.2982
540	0.923115	-49.7871
550	0.923115	-49.8303
560	0.923115	-50.5654
570	0.923115	-51.1218
580	0.923115	-54.672
590	0.923115	-50.3543
600	0.923115	-49.9032
610	0.923115	-50.2215
620	0.923115	-49.9162
630	0.923115	-50.9124
640	0.923115	-49.7739
650	0.923115	-50.3543
660	0.923115	-50.72
670	0.923115	-49.9171
680	0.923115	-49.8884
690	0.923115	-50.8266
700	0.923115	-49.8031
710	0.923115	-50.9671
720	0.923115	-50.0138
730	0.923115	-50.8816
740	0.923115	-49.9883
750	0.923115	-49.9012
760	0.923115	-49.7556
770	0.923115	-50.402
780	0.923115	-50.0757
790	0.923115	-50.8217
800	0.923115	-50.1292
810	0.923115	-50.1743
820	0.923115	-49.7703
830	0.923115	-50.3313
840	0.923115	-49.7964
850	0.923115	-50.8014
860	0.923115	-49.9016
870	0.923115	-50.1322
880	0.923115	-49.8402
890	0.923115	-49.758
900	0.923115	-50.6638
910	0.923115	-50.0549
920	0.923115	-49.7583
930	0.923115	-49.7818
940	0.923115	-50.561
950	0.923115	-49.9668
960	0.923115	-50.1433
970	0.923115	-49.7432
980	0.923115	-49.8517
990	0.923115	-52.497
1000	0.923115	-50.0835
260	0.851033	-51.1731
270	0.851033	-50.4198
280	0.851033	-50.3507
290	0.851033	-49.8035
300	0.851033	-49.8872
310	0.851033	-50.1481
320	0.851033	-50.0248
330	0.851033	-50.2358
340	0.851033	-52.5872
350	0.851033	-49.7896
360	0.851033	-50.2414
370	0.851033	-50.0958
380	0.851033	-50.0729
390	0.851033	-49.7432
400	0.851033	-49.8756
410	0.851033	-50.5068
420	0.851033	-51.6091
430	0.851033	-52.7541
440	0.851033	-49.7451
450	0.851033	-50.1168
460	0.851033	-50.2472
470	0.851033	-49.7588
480	0.851033	-51.9006
490	0.851033	-51.4612
500	0.851033	-50.2916
510	0.851033	-50.4361
520	0.851033	-49.7777
530	0.851033	-50.5443
540	0.851033	-50.8173
550	0.851033	-49.9922
560	0.851033	-49.8223
570	0.851033	-49.9717
580	0.851033	-50.7162
590	0.851033	-50.2619
600	0.851033	-50.76
610	0.851033	-54.5011
620	0.851033	-49.7903
630	0.851033	-51.1428
640	0.851033	-49.8836
650	0.851033	-49.8109
660	0.851033	-49.8679
670	0.851033	-51.2217
680	0.851033	-49.7741
690	0.851033	-50.1371
700	0.851033	-49.758
710	0.851033	-49.9674
720	0.851033	-49.7665
730	0.851033	-49.8031
740	0.851033	-49.7485
750	0.851033	-49.8855
760	0.851033	-49.7432
770	0.851033	-50.8457
780	0.851033	-50.1845
790	0.851033	-49.8063
800	0.851033	-49.8818
810	0.851033	-49.9105
820	0.851033	-49.9862
830	0.851033	-50.4735
840	0.851033	-49.7791
850	0.851033	-49.8521
860	0.851033	-50.2826
870	0.851033	-49.9956
880	0.851033	-49.8649
890	0.851033	-49.7521
900	0.851033	-52.7751
910	0.851033	-50.5241
920	0.851033	-49.7793
930	0.851033	-50.0153
940	0.851033	-49.7602
950	0.851033	-49.7453
960	0.851033	-49.823
970	0.851033	-51.3823
980	0.851033	-49.7548
990	0.851033	-49.9434
1000	0.851033	-49.7549
260	0.783526	-51.5752
270	0.783526	-49.7446
280	0.783526	-49.8657
290	0.783526	-49.7477
300	0.783526	-50.6937
310	0.783526	-50.0834
320	0.783526	-51.7698
330	0.783526	-49.9512
340	0.783526	-51.0112
350	0.783526	-50.251
360	0.783526	-49.7432
370	0.783526	-49.7829
380	0.783526	-50.4057
390	0.783526	-49.8636
400	0.783526	-50.0934
410	0.783526	-50.5266
420	0.783526	-50.8902
430	0.783526	-50.7105
440	0.783526	-50.0653
450	0.783526	-49.7585
460	0.783526	-50.0019
470	0.783526	-50.6907
480	0.783526	-49.7454
490	0.783526	-50.6725
500	0.783526	-50.6099
510	0.783526	-49.746
520	0.783526	-50.358
530	0.783526	-49.7892
540	0.783526	-50.077
550	0.783526	-50.3814
560	0.783526	-51.0596
570	0.783526	-50.8376
580	0.783526	-49.9017
590	0.783526	-51.0135
600	0.783526	-50.2872
610	0.783526	-51.6104
620	0.783526	-51.5159
630	0.783526	-51.483
640	0.783526	-50.41
650	0.783526	-51.6221
660	0.783526	-49.9631
670	0.783526	-50.2578
680	0.783526	-49.7946
690	0.783526	-51.6747
700	0.783526	-49.8224
710	0.783526	-49.8252
720	0.783526	-52.2786
730	0.783526	-51.5273
740	0.783526	-49.8749
750	0.783526	-50.053
760	0.783526	-49.786
770	0.783526	-49.8406
780	0.783526	-50.0026
790	0.783526	-49.772
800	0.783526	-50.0146
810	0.783526	-49.7582
820	0.783526	-51.0898
830	0.783526	-49.8691
840	0.783526	-51.0458
850	0.783526	-49.7773
860	0.783526	-50.5137
870	0.783526	-51.116
880	0.783526	-50.9744
890	0.783526	-51.6076
900	0.783526	-53.8904
910	0.783526	-50.4358
920	0.783526	-49.8277
930	0.783526	-49.8519
940	0.783526	-50.4367
950	0.783526	-50.0458
960	0.783526	-51.0343
970	0.783526	-54.5018
980	0.783526	-49.7433
990	0.783526	-49.9553
1000	0.783526	-49.7557
260	0.720373	-50.232
270	0.720373	-49.7662
280	0.720373	-49.8196
290	0.720373	-53.9795
300	0.720373	-49.8536
310	0.720373	-49.7432
320	0.720373	-50.6555
330	0.720373	-49.8125
340	0.720373	-50.0273
350	0.720373	-51.0101
360	0.720373	-50.7666
370	0.720373	-50.7847
380	0.720373	-50.0149
390	0.720373	-49.7922
400	0.720373	-50.6276
410	0.720373	-49.819
420	0.720373	-49.7529
430	0.720373	-50.1779
440	0.720373	-49.8993
450	0.720373	-52.2744
460	0.720373	-50.7323
470	0.720373	-50.5122
480	0.720373	-50.4969
490	0.720373	-50.9541
500	0.720373	-51.5146
510	0.720373	-50.4997
520	0.720373	-50.2198
530	0.720373	-50.2846
540	0.720373	-50.7868
550	0.720373	-49.8013
560	0.720373	-50.1074
570	0.720373	-49.787
580	0.720373	-50.0015
590	0.720373	-49.7443
600	0.720373	-49.791
610	0.720373	-50.9981
620	0.720373	-50.0875
630	0.720373	-49.7533
640	0.720373	-50.2106
650	0.720373	-50.378
660	0.720373	-50.4428
670	0.720373	-49.7953
680	0.720373	-49.7474
690	0.720373	-49.7574
700	0.720373	-50.5352
710	0.720373	-49.78
720	0.720373	-49.7432
730	0.720373	-51.4648
740	0.720373	-50.2514
750	0.720373	-49.75
760	0.720373	-49.9046
770	0.720373	-49.7617
780	0.720373	-53.0869
790	0.720373	-52.5957
800	0.720373	-49.8666
810	0.720373	-49.7502
820	0.720373	-49.7595
830	0.720373	-49.8026
840	0.720373	-50.2712
850	0.720373	-50.2274
860	0.720373	-50.2832
870	0.720373	-49.7769
880	0.720373	-49.8694
890	0.720373	-50.7527
900	0.720373	-50.0653
910	0.720373	-50.7004
920	0.720373	-49.8345
930	0.720373	-49.9205
940	0.720373	-49.7551
950	0.720373	-49.7592
960	0.720373	-50.682
970	0.720373	-50.3157
980	0.720373	-50.219
990	0.720373	-49.9698
1000	0.720373	-50.0246
260	0.661359	-49.852
270	0.661359	-50.9683
280	0.661359	-50.328
290	0.661359	-50.4024
300	0.661359	-50.8012
310	0.661359	-50.0871
320	0.661359	-51.6578
330	0.661359	-49.7642
340	0.661359	-50.082
350	0.661359	-50.3685
360	0.661359	-50.5801
370	0.661359	-50.4963
380	0.661359	-49.9891
390	0.661359	-50.6061
400	0.661359	-50.1981
410	0.661359	-49.8673
420	0.661359	-49.7523
430	0.661359	-51.5148
440	0.661359	-49.8166
450	0.661359	-50.0781
460	0.661359	-50.2305
470	0.661359	-50.7002
480	0.661359	-50.3005
490	0.661359	-54.0061
500	0.661359	-50.2888
510	0.661359	-49.8053
520	0.661359	-49.8166
530	0.661359	-49.9199
540	0.661359	-50.4477
550	0.661359	-50.0894
560	0.661359	-52.6508
570	0.661359	-50.4668
580	0.661359	-49.833
590	0.661359	-49.7556
600	0.661359	-50.5617
610	0.661359	-50.1038
620	0.661359	-49.7507
630	0.661359	-50.603
640	0.661359	-50.1011
650	0.661359	-50.4675
660	0.661359	-49.8184
670	0.661359	-49.7745
680	0.661359	-49.786
