state	power	likelihood
260	0.060927	-61.1994
270	0.060927	-53.2617
280	0.060927	-50.5502
290	0.060927	-51.1038
300	0.060927	-53.5668
310	0.060927	-53.3769
320	0.060927	-53.5694
330	0.060927	-60.1554
340	0.060927	-58.2508
350	0.060927	-57.298
360	0.060927	-56.6327
370	0.060927	-49.7697
380	0.060927	-58.7902
390	0.060927	-62.3936
400	0.060927	-50.1117
410	0.060927	-51.6234
420	0.060927	-52.404
430	0.060927	-50.1545
440	0.060927	-62.0569
450	0.060927	-61.3917
460	0.060927	-52.0721
470	0.060927	-58.2894
480	0.060927	-49.9538
490	0.060927	-49.8002
500	0.060927	-49.7487
510	0.060927	-50.4794
520	0.060927	-49.9563
530	0.060927	-52.6388
540	0.060927	-54.237
550	0.060927	-50.2005
560	0.060927	-59.2275
570	0.060927	-49.7452
580	0.060927	-50.0602
590	0.060927	-51.6594
600	0.060927	-50.096
610	0.060927	-51.6149
620	0.060927	-56.0948
630	0.060927	-63.6466
640	0.060927	-53.8807
650	0.060927	-52.0547
660	0.060927	-53.7799
670	0.060927	-49.8047
680	0.060927	-50.6101
690	0.060927	-50.2248
700	0.060927	-49.8611
710	0.060927	-49.8176
720	0.060927	-51.759
730	0.060927	-49.9842
740	0.060927	-49.9877
750	0.060927	-49.8284
760	0.060927	-50.7416
770	0.060927	-55.574
780	0.060927	-50.8813
790	0.060927	-50.8546
800	0.060927	-50.9015
810	0.060927	-53.842
820	0.060927	-50.0912
830	0.060927	-71.2212
840	0.060927	-58.4094
850	0.060927	-56.0828
860	0.060927	-55.8011
870	0.060927	-53.4631
880	0.060927	-49.7868
890	0.060927	-49.7453
900	0.060927	-54.1785
910	0.060927	-50.1382
920	0.060927	-50.1742
930	0.060927	-52.5032
940	0.060927	-50.8744
950	0.060927	-49.7636
960	0.060927	-55.3129
970	0.060927	-50.3289
980	0.060927	-50.019
990	0.060927	-54.2232
1000	0.060927	-53.9064
