state	power	likelihood
260	1	-47.1211
270	1	-49.4192
280	1	-48.141
290	1	-46.0911
300	1	-45.9475
310	1	-46.6704
320	1	-45.1633
330	1	-47.6588
340	1	-45.8882
350	1	-45.6216
360	1	-49.1642
370	1	-47.1918
380	1	-47.3292
390	1	-47.3912
400	1	-46.5854
410	1	-48.2877
420	1	-47.9913
430	1	-48.3539
440	1	-50.9984
450	1	-46.6883
460	1	-45.2067
470	1	-48.5339
480	1	-51.2066
490	1	-50.1463
500	1	-49.0878
510	1	-47.514
520	1	-48.693
530	1	-48.3082
540	1	-45.8679
550	1	-47.7577
560	1	-45.4711
570	1	-47.4822
580	1	-47.4765
590	1	-46.1015
600	1	-47.6722
610	1	-48.16
620	1	-45.5059
630	1	-47.4676
640	1	-52.9719
650	1	-51.4585
660	1	-47.3684
670	1	-48.6959
680	1	-46.5777
690	1	-45.0071
700	1	-46.8464
710	1	-46.4492
720	1	-46.985
730	1	-46.5807
740	1	-49.5527
750	1	-48.8806
760	1	-47.1172
770	1	-46.8638
780	1	-46.9865
790	1	-47.052
800	1	-46.2891
810	1	-48.7911
820	1	-49.344
830	1	-46.7667
840	1	-45.9938
850	1	-49.2372
860	1	-46.7509
870	1	-47.0866
880	1	-47.5442
890	1	-47.8644
900	1	-47.1269
910	1	-47.9636
920	1	-45.4207
930	1	-45.3144
940	1	-47.2478
950	1	-47.9002
960	1	-45.7439
970	1	-45.8761
980	1	-48.4671
990	1	-46.9086
1000	1	-46.4587
260	0.923115	-46.7174
270	0.923115	-46.4919
280	0.923115	-46.2985
290	0.923115	-46.3578
300	0.923115	-53.0382
310	0.923115	-48.1978
320	0.923115	-47.1945
330	0.923115	-47.3966
340	0.923115	-46.1027
350	0.923115	-47.9673
360	0.923115	-46.0524
370	0.923115	-46.8107
380	0.923115	-45.6348
390	0.923115	-46.1649
400	0.923115	-46.837
410	0.923115	-48.5383
420	0.923115	-45.8057
430	0.923115	-45.3937
440	0.923115	-47.7842
450	0.923115	-48.2227
460	0.923115	-46.1321
470	0.923115	-46.6145
480	0.923115	-46.2462
490	0.923115	-46.4063
500	0.923115	-46.3224
510	0.923115	-47.0445
520	0.923115	-45.4888
530	0.923115	-48.2005
540	0.923115	-48.579
550	0.923115	-44.7045
560	0.923115	-46.6237
570	0.923115	-48.8724
580	0.923115	-47.0711
590	0.923115	-47.0908
600	0.923115	-52.4769
610	0.923115	-46.0815
620	0.923115	-47.8257
630	0.923115	-46.7355
640	0.923115	-51.9564
650	0.923115	-45.9579
660	0.923115	-46.14
670	0.923115	-46.7881
680	0.923115	-46.399
690	0.923115	-48.8391
700	0.923115	-47.483
710	0.923115	-47.9304
720	0.923115	-49.9857
730	0.923115	-45.4204
740	0.923115	-48.7857
750	0.923115	-45.3687
760	0.923115	-48.6555
770	0.923115	-48.0056
780	0.923115	-50.079
790	0.923115	-45.6663
800	0.923115	-46.7332
810	0.923115	-46.8817
820	0.923115	-48.3508
830	0.923115	-47.7795
840	0.923115	-46.6244
850	0.923115	-47.0775
860	0.923115	-52.284
870	0.923115	-46.0244
880	0.923115	-47.5365
890	0.923115	-47.6134
900	0.923115	-48.4412
910	0.923115	-48.0264
920	0.923115	-49.4222
930	0.923115	-47.6046
940	0.923115	-46.8262
950	0.923115	-46.2586
960	0.923115	-48.1539
970	0.923115	-49.4624
980	0.923115	-46.216
990	0.923115	-46.058
1000	0.923115	-45.6381
260	0.851033	-47.1901
270	0.851033	-48.2826
280	0.851033	-47.6472
290	0.851033	-46.4825
300	0.851033	-53.8117
310	0.851033	-45.5628
320	0.851033	-46.7736
330	0.851033	-47.5886
340	0.851033	-46.376
350	0.851033	-45.718
360	0.851033	-49.7238
370	0.851033	-46.2944
380	0.851033	-47.544
390	0.851033	-49.4625
400	0.851033	-46.1427
410	0.851033	-47.0582
420	0.851033	-47.2929
430	0.851033	-47.3058
440	0.851033	-48.6948
450	0.851033	-52.9402
460	0.851033	-44.5747
470	0.851033	-48.1123
480	0.851033	-51.5894
490	0.851033	-48.6644
500	0.851033	-45.4045
510	0.851033	-49.677
520	0.851033	-46.1484
530	0.851033	-48.0164
540	0.851033	-45.5803
550	0.851033	-48.3795
560	0.851033	-49.5595
570	0.851033	-47.2312
580	0.851033	-46.53
590	0.851033	-45.6375
600	0.851033	-46.4971
610	0.851033	-47.7193
620	0.851033	-45.4569
630	0.851033	-49.9948
640	0.851033	-47.2695
650	0.851033	-47.9562
660	0.851033	-46.7848
670	0.851033	-49.7284
680	0.851033	-46.233
690	0.851033	-46.9881
700	0.851033	-49.5296
710	0.851033	-48.0222
720	0.851033	-48.5011
730	0.851033	-50.4035
740	0.851033	-46.5968
750	0.851033	-49.4158
760	0.851033	-45.3246
770	0.851033	-49.0219
780	0.851033	-46.6062
790	0.851033	-46.1882
800	0.851033	-49.8047
810	0.851033	-47.1693
820	0.851033	-46.9154
830	0.851033	-46.2444
840	0.851033	-47.3121
850	0.851033	-45.99
860	0.851033	-46.0871
870	0.851033	-49.8536
880	0.851033	-50.6713
890	0.851033	-46.5205
900	0.851033	-47.5162
910	0.851033	-47.0067
920	0.851033	-48.8699
930	0.851033	-45.9888
940	0.851033	-48.1253
950	0.851033	-47.6282
960	0.851033	-48.8211
970	0.851033	-45.7865
980	0.851033	-47.3975
990	0.851033	-45.1613
1000	0.851033	-47.191
260	0.783526	-45.2753
270	0.783526	-50.9364
280	0.783526	-46.3186
290	0.783526	-49.2716
300	0.783526	-48.5251
310	0.783526	-46.8883
320	0.783526	-46.4642
330	0.783526	-46.6973
340	0.783526	-47.5124
350	0.783526	-49.1831
360	0.783526	-50.3918
370	0.783526	-49.4754
380	0.783526	-47.0877
390	0.783526	-47.8931
400	0.783526	-48.3781
410	0.783526	-47.9248
420	0.783526	-47.7208
430	0.783526	-48.3621
440	0.783526	-47.2343
450	0.783526	-49.4027
460	0.783526	-49.8761
470	0.783526	-47.472
480	0.783526	-45.5993
490	0.783526	-49.528
500	0.783526	-46.6516
510	0.783526	-47.7266
520	0.783526	-47.9531
530	0.783526	-46.0299
540	0.783526	-46.3812
550	0.783526	-45.2015
560	0.783526	-49.8565
570	0.783526	-49.5282
580	0.783526	-47.7726
590	0.783526	-46.5391
600	0.783526	-47.996
610	0.783526	-51.5082
620	0.783526	-49.1692
630	0.783526	-46.1485
640	0.783526	-46.8246
650	0.783526	-48.5604
660	0.783526	-45.4434
670	0.783526	-46.4331
680	0.783526	-46.7751
690	0.783526	-45.4643
700	0.783526	-47.453
710	0.783526	-46.1041
720	0.783526	-53.0053
730	0.783526	-46.0373
740	0.783526	-47.5427
750	0.783526	-49.5126
760	0.783526	-45.9832
770	0.783526	-48.0997
780	0.783526	-48.984
790	0.783526	-47.6527
800	0.783526	-49.7381
810	0.783526	-47.0405
820	0.783526	-48.256
830	0.783526	-48.4143
840	0.783526	-46.7662
850	0.783526	-45.8696
860	0.783526	-46.2443
870	0.783526	-45.5116
880	0.783526	-47.2335
890	0.783526	-47.3633
900	0.783526	-48.155
910	0.783526	-47.3472
920	0.783526	-46.6846
930	0.783526	-47.7138
940	0.783526	-51.2978
950	0.783526	-47.4892
960	0.783526	-45.6838
970	0.783526	-46.0961
980	0.783526	-46.1223
990	0.783526	-47.3923
1000	0.783526	-45.7559
260	0.720373	-46.6474
270	0.720373	-45.7715
280	0.720373	-48.2
290	0.720373	-45.762
300	0.720373	-46.4208
310	0.720373	-52.2056
320	0.720373	-47.5353
330	0.720373	-47.5662
340	0.720373	-49.44
350	0.720373	-46.1042
360	0.720373	-49.0899
370	0.720373	-47.0129
380	0.720373	-45.9511
390	0.720373	-46.3307
400	0.720373	-48.1258
410	0.720373	-48.396
420	0.720373	-51.2857
430	0.720373	-47.8579
440	0.720373	-48.1126
450	0.720373	-48.3939
460	0.720373	-47.3729
470	0.720373	-46.4841
480	0.720373	-47.4952
