Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
0	0	-46.84179	-49.76602	2.924233	0.01894796	0.018948	0.018948	0.018948	0.018948	0.018948	0.018948
1	1	-53.45223	-55.39366	1.94143	0.04418261	0.0441826	0.0441826	0.0441826	0.0441826	0.0441826	0.0441826
2	0	-46.84179	-49.76602	2.924233	0.01894796	0.018948	0.018948	0.018948	0.018948	0.018948	0.018948
3	1	-49.59908	-52.00463	2.405545	0.03226589	0.0322659	0.0322659	0.0322659	0.0322659	0.0322659	0.0322659
4	0	-46.84179	-49.76602	2.924233	0.01894796	0.018948	0.018948	0.018948	0.018948	0.018948	0.018948
5	1	-47.00808	-50.14869	3.140607	0.01339228	0.0133923	0.0133923	0.0133923	0.0133923	0.0133923	0.0133923
6	0	-47.04174	-49.89089	2.849156	0.02087564	0.0208756	0.0208756	0.0208756	0.0208756	0.0208756	0.0208756
7	1	-47.18523	-50.36084	3.17561	0.01249355	0.0124936	0.0124936	0.0124936	0.0124936	0.0124936	0.0124936
8	0	-46.76522	-49.80741	3.042195	0.01591915	0.0159191	0.0159191	0.0159191	0.0159191	0.0159191	0.0159191
9	1	-47.18523	-50.36084	3.17561	0.01249355	0.0124936	0.0124936	0.0124936	0.0124936	0.0124936	0.0124936
10	0	-47.04298	-50.19142	3.148438	0.01319121	0.0131912	0.0131912	0.0131912	0.0131912	0.0131912	0.0131912
11	1	-48.09926	-50.72617	2.626902	0.02658227	0.0265823	0.0265823	0.0265823	0.0265823	0.0265823	0.0265823
12	0	-46.75291	-49.75625	3.003339	0.0169168	0.0169168	0.0169168	0.0169168	0.0169168	0.0169168	0.0169168
13	1	-49.10519	-51.5786	2.473411	0.03052335	0.0305233	0.0305233	0.0305233	0.0305233	0.0305233	0.0305233
14	0	-47.5099	-50.24537	2.735468	0.02379472	0.0237947	0.0237947	0.0237947	0.0237947	0.0237947	0.0237947
15	1	-46.8672	-49.77929	2.912086	0.01925985	0.0192598	0.0192598	0.0192598	0.0192598	0.0192598	0.0192598
16	0	-47.05545	-50.20656	3.151102	0.01312283	0.0131228	0.0131228	0.0131228	0.0131228	0.0131228	0.0131228
17	1	-46.82187	-49.75677	2.934901	0.01867404	0.018674	0.018674	0.018674	0.018674	0.018674	0.018674
18	0	-46.75846	-49.79129	3.032833	0.01615952	0.0161595	0.0161595	0.0161595	0.0161595	0.0161595	0.0161595
19	1	-46.77164	-49.7432	2.971553	0.01773295	0.0177329	0.0177329	0.0177329	0.0177329	0.0177329	0.0177329
20	0	-47.13205	-49.95543	2.823381	0.02153745	0.0215374	0.0215374	0.0215374	0.0215374	0.0215374	0.0215374
21	1	-46.7762	-49.82922	3.053019	0.01564123	0.0156412	0.0156412	0.0156412	0.0156412	0.0156412	0.0156412
22	0	-47.13205	-49.95543	2.823381	0.02153745	0.0215374	0.0215374	0.0215374	0.0215374	0.0215374	0.0215374
23	1	-48.05141	-50.6864	2.634988	0.02637466	0.0263747	0.0263747	0.0263747	0.0263747	0.0263747	0.0263747
24	0	-46.80566	-49.87856	3.072898	0.01513078	0.0151308	0.0151308	0.0151308	0.0151308	0.0151308	0.0151308
25	1	-47.69984	-50.3978	2.697955	0.0247579	0.0247579	0.0247579	0.0247579	0.0247579	0.0247579	0.0247579
26	0	-46.82413	-49.75776	2.933624	0.01870684	0.0187068	0.0187068	0.0187068	0.0187068	0.0187068	0.0187068
27	1	-47.65814	-50.36408	2.705935	0.02455301	0.024553	0.024553	0.024553	0.024553	0.024553	0.024553
28	0	-46.75257	-49.75787	3.005299	0.01686649	0.0168665	0.0168665	0.0168665	0.0168665	0.0168665	0.0168665
29	1	-46.76535	-49.8077	3.042349	0.01591519	0.0159152	0.0159152	0.0159152	0.0159152	0.0159152	0.0159152
30	0	-47.02599	-50.17069	3.144698	0.01328723	0.0132872	0.0132872	0.0132872	0.0132872	0.0132872	0.0132872
31	1	-46.8852	-49.78941	2.904204	0.01946221	0.0194622	0.0194622	0.0194622	0.0194622	0.0194622	0.0194622
32	0	-47.06602	-49.90795	2.841933	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611
33	1	-47.4394	-50.18967	2.750263	0.02341483	0.0234148	0.0234148	0.0234148	0.0234148	0.0234148	0.0234148
34	0	-47.06602	-49.90795	2.841933	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611
35	1	-47.94195	-50.59582	2.653873	0.02588977	0.0258898	0.0258898	0.0258898	0.0258898	0.0258898	0.0258898
36	0	-47.67052	-50.37407	2.703554	0.02461416	0.0246142	0.0246142	0.0246142	0.0246142	0.0246142	0.0246142
37	1	-47.72584	-50.41889	2.693043	0.02488402	0.024884	0.024884	0.024884	0.024884	0.024884	0.024884
38	0	-46.75944	-49.74653	2.987092	0.01733396	0.017334	0.017334	0.017334	0.017334	0.017334	0.017334
39	1	-46.78216	-49.74395	2.96179	0.01798364	0.0179836	0.0179836	0.0179836	0.0179836	0.0179836	0.0179836
40	0	-46.77441	-49.74319	2.968782	0.0178041	0.0178041	0.0178041	0.0178041	0.0178041	0.0178041	0.0178041
41	1	-46.84967	-49.94316	3.093487	0.01460216	0.0146022	0.0146022	0.0146022	0.0146022	0.0146022	0.0146022
42	0	-46.75385	-49.77632	3.022467	0.01642568	0.0164257	0.0164257	0.0164257	0.0164257	0.0164257	0.0164257
43	1	-46.84967	-49.94316	3.093487	0.01460216	0.0146022	0.0146022	0.0146022	0.0146022	0.0146022	0.0146022
44	0	-46.75214	-49.7632	3.011063	0.01671848	0.0167185	0.0167185	0.0167185	0.0167185	0.0167185	0.0167185
45	1	-46.79686	-49.86462	3.06776	0.01526271	0.0152627	0.0152627	0.0152627	0.0152627	0.0152627	0.0152627
46	0	-46.75214	-49.7632	3.011063	0.01671848	0.0167185	0.0167185	0.0167185	0.0167185	0.0167185	0.0167185
47	1	-46.941	-49.82338	2.88238	0.02002257	0.0200226	0.0200226	0.0200226	0.0200226	0.0200226	0.0200226
48	0	-48.19463	-50.8057	2.61107	0.02698879	0.0269888	0.0269888	0.0269888	0.0269888	0.0269888	0.0269888
49	1	-47.87507	-50.54077	2.665707	0.02558592	0.0255859	0.0255859	0.0255859	0.0255859	0.0255859	0.0255859
50	0	-46.94702	-49.82723	2.880206	0.02007839	0.0200784	0.0200784	0.0200784	0.0200784	0.0200784	0.0200784
51	1	-47.70217	-50.39969	2.697513	0.02476926	0.0247693	0.0247693	0.0247693	0.0247693	0.0247693	0.0247693
52	0	-46.86558	-49.7784	2.912821	0.01924096	0.019241	0.019241	0.019241	0.019241	0.019241	0.019241
53	1	-46.80667	-49.88012	3.073455	0.01511648	0.0151165	0.0151165	0.0151165	0.0151165	0.0151165	0.0151165
54	0	-47.15816	-50.32907	3.170908	0.01261428	0.0126143	0.0126143	0.0126143	0.0126143	0.0126143	0.0126143
55	1	-46.9012	-49.79879	2.897592	0.01963198	0.019632	0.019632	0.019632	0.019632	0.019632	0.019632
56	0	-47.56102	-50.78859	3.227572	0.01115936	0.0111594	0.0111594	0.0111594	0.0111594	0.0111594	0.0111594
57	1	-46.90423	-49.8006	2.896376	0.01966322	0.0196632	0.0196632	0.0196632	0.0196632	0.0196632	0.0196632
58	0	-46.83699	-49.92518	3.088191	0.01473813	0.0147381	0.0147381	0.0147381	0.0147381	0.0147381	0.0147381
