Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
0	-46.84179	-49.76602	2.924233	0.01894796	0.018948	0.018948	0.018948	0.018948	0.018948	0.018948
1	-46.84179	-49.76602	2.924233	0.01894796	0.018948	0.018948	0.018948	0.018948	0.018948	0.018948
2	-46.84179	-49.76602	2.924233	0.01894796	0.018948	0.018948	0.018948	0.018948	0.018948	0.018948
3	-47.04174	-49.89089	2.849156	0.02087564	0.0208756	0.0208756	0.0208756	0.0208756	0.0208756	0.0208756
4	-46.76522	-49.80741	3.042195	0.01591915	0.0159191	0.0159191	0.0159191	0.0159191	0.0159191	0.0159191
5	-47.04298	-50.19142	3.148438	0.01319121	0.0131912	0.0131912	0.0131912	0.0131912	0.0131912	0.0131912
6	-46.75291	-49.75625	3.003339	0.0169168	0.0169168	0.0169168	0.0169168	0.0169168	0.0169168	0.0169168
7	-47.5099	-50.24537	2.735468	0.02379472	0.0237947	0.0237947	0.0237947	0.0237947	0.0237947	0.0237947
8	-47.05545	-50.20656	3.151102	0.01312283	0.0131228	0.0131228	0.0131228	0.0131228	0.0131228	0.0131228
9	-46.75846	-49.79129	3.032833	0.01615952	0.0161595	0.0161595	0.0161595	0.0161595	0.0161595	0.0161595
10	-47.13205	-49.95543	2.823381	0.02153745	0.0215374	0.0215374	0.0215374	0.0215374	0.0215374	0.0215374
11	-47.13205	-49.95543	2.823381	0.02153745	0.0215374	0.0215374	0.0215374	0.0215374	0.0215374	0.0215374
12	-46.80566	-49.87856	3.072898	0.01513078	0.0151308	0.0151308	0.0151308	0.0151308	0.0151308	0.0151308
13	-46.82413	-49.75776	2.933624	0.01870684	0.0187068	0.0187068	0.0187068	0.0187068	0.0187068	0.0187068
14	-46.75257	-49.75787	3.005299	0.01686649	0.0168665	0.0168665	0.0168665	0.0168665	0.0168665	0.0168665
15	-47.02599	-50.17069	3.144698	0.01328723	0.0132872	0.0132872	0.0132872	0.0132872	0.0132872	0.0132872
16	-47.06602	-49.90795	2.841933	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611
17	-47.06602	-49.90795	2.841933	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611	0.0210611
18	-47.67052	-50.37407	2.703554	0.02461416	0.0246142	0.0246142	0.0246142	0.0246142	0.0246142	0.0246142
19	-46.75944	-49.74653	2.987092	0.01733396	0.017334	0.017334	0.017334	0.017334	0.017334	0.017334
20	-46.77441	-49.74319	2.968782	0.0178041	0.0178041	0.0178041	0.0178041	0.0178041	0.0178041	0.0178041
21	-46.75385	-49.77632	3.022467	0.01642568	0.0164257	0.0164257	0.0164257	0.0164257	0.0164257	0.0164257
22	-46.75214	-49.7632	3.011063	0.01671848	0.0167185	0.0167185	0.0167185	0.0167185	0.0167185	0.0167185
23	-46.75214	-49.7632	3.011063	0.01671848	0.0167185	0.0167185	0.0167185	0.0167185	0.0167185	0.0167185
24	-48.19463	-50.8057	2.61107	0.02698879	0.0269888	0.0269888	0.0269888	0.0269888	0.0269888	0.0269888
25	-46.94702	-49.82723	2.880206	0.02007839	0.0200784	0.0200784	0.0200784	0.0200784	0.0200784	0.0200784
26	-46.86558	-49.7784	2.912821	0.01924096	0.019241	0.019241	0.019241	0.019241	0.019241	0.019241
27	-47.15816	-50.32907	3.170908	0.01261428	0.0126143	0.0126143	0.0126143	0.0126143	0.0126143	0.0126143
28	-47.56102	-50.78859	3.227572	0.01115936	0.0111594	0.0111594	0.0111594	0.0111594	0.0111594	0.0111594
29	-46.83699	-49.92518	3.088191	0.01473813	0.0147381	0.0147381	0.0147381	0.0147381	0.0147381	0.0147381
30	-47.09727	-50.25686	3.159588	0.01290494	0.0129049	0.0129049	0.0129049	0.0129049	0.0129049	0.0129049
31	-46.81036	-49.88581	3.075454	0.01506518	0.0150652	0.0150652	0.0150652	0.0150652	0.0150652	0.0150652
32	-47.02613	-49.88006	2.853936	0.02075292	0.0207529	0.0207529	0.0207529	0.0207529	0.0207529	0.0207529
33	-46.78764	-49.8494	3.06176	0.01541677	0.0154168	0.0154168	0.0154168	0.0154168	0.0154168	0.0154168
34	-46.76552	-49.80807	3.042549	0.01591005	0.01591	0.01591	0.01591	0.01591	0.01591	0.01591
