Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
0	0	-81.25862	-84.67181	3.413193	0.006393316	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332	0.00639332
1	1	-110.3139	-113.9359	3.622042	0.001030859	0.00103086	0.00103086	0.00103086	0.00103086	0.00103086	0.00103086	0.00103086	0.00103086	0.00103086	0.00103086	0.00103086	0.00103086
2	0	-79.73223	-83.11153	3.379301	0.007263534	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353	0.00726353
3	1	-103.629	-107.2326	3.603584	0.001504786	0.00150479	0.00150479	0.00150479	0.00150479	0.00150479	0.00150479	0.00150479	0.00150479	0.00150479	0.00150479	0.00150479	0.00150479
4	0	-77.24313	-80.54761	3.304477	0.009184738	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474	0.00918474
5	1	-96.65925	-100.2332	3.573959	0.002265447	0.00226545	0.00226545	0.00226545	0.00226545	0.00226545	0.00226545	0.00226545	0.00226545	0.00226545	0.00226545	0.00226545	0.00226545
6	0	-74.51915	-77.67677	3.15762	0.01295546	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555	0.0129555
7	1	-93.29232	-96.8461	3.553784	0.00278346	0.00278346	0.00278346	0.00278346	0.00278346	0.00278346	0.00278346	0.00278346	0.00278346	0.00278346	0.00278346	0.00278346	0.00278346
8	0	-73.42492	-76.44114	3.016216	0.01658618	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862	0.0165862
9	1	-88.36727	-91.8807	3.513431	0.003819579	0.00381958	0.00381958	0.00381958	0.00381958	0.00381958	0.00381958	0.00381958	0.00381958	0.00381958	0.00381958	0.00381958	0.00381958
10	0	-73.24031	-76.19494	2.954622	0.01816766	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677
11	1	-81.62525	-85.04565	3.420401	0.006208233	0.00620823	0.00620823	0.00620823	0.00620823	0.00620823	0.00620823	0.00620823	0.00620823	0.00620823	0.00620823	0.00620823	0.00620823
12	0	-73.24031	-76.19494	2.954622	0.01816766	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677	0.0181677
13	1	-74.74901	-77.92484	3.175838	0.01248769	0.0124877	0.0124877	0.0124877	0.0124877	0.0124877	0.0124877	0.0124877	0.0124877	0.0124877	0.0124877	0.0124877	0.0124877
14	0	-73.37434	-76.37771	3.003377	0.01691584	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158
15	1	-74.35284	-77.49592	3.143088	0.01332858	0.0133286	0.0133286	0.0133286	0.0133286	0.0133286	0.0133286	0.0133286	0.0133286	0.0133286	0.0133286	0.0133286	0.0133286
16	0	-73.37434	-76.37771	3.003377	0.01691584	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158	0.0169158
17	1	-73.22496	-76.17063	2.945672	0.01839748	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975
18	0	-73.30243	-76.10318	2.800755	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184	0.0221184
19	1	-73.22496	-76.17063	2.945672	0.01839748	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975	0.0183975
20	0	-73.22303	-76.16745	2.94442	0.01842962	0.0184296	0.0184296	0.0184296	0.0184296	0.0184296	0.0184296	0.0184296	0.0184296	0.0184296	0.0184296	0.0184296	0.0184296
21	1	-73.23287	-76.18335	2.95048	0.01827403	0.018274	0.018274	0.018274	0.018274	0.018274	0.018274	0.018274	0.018274	0.018274	0.018274	0.018274	0.018274
22	0	-74.48679	-77.64168	3.15489	0.01302555	0.0130255	0.0130255	0.0130255	0.0130255	0.0130255	0.0130255	0.0130255	0.0130255	0.0130255	0.0130255	0.0130255	0.0130255
23	1	-73.27261	-76.24238	2.969774	0.01777863	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786
24	0	-73.31514	-76.30073	2.985589	0.01737257	0.0173726	0.0173726	0.0173726	0.0173726	0.0173726	0.0173726	0.0173726	0.0173726	0.0173726	0.0173726	0.0173726	0.0173726
25	1	-73.27261	-76.24238	2.969774	0.01777863	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786	0.0177786
26	0	-73.2077	-76.14063	2.932928	0.01872469	0.0187247	0.0187247	0.0187247	0.0187247	0.0187247	0.0187247	0.0187247	0.0187247	0.0187247	0.0187247	0.0187247	0.0187247
27	1	-73.79468	-76.46088	2.6662	0.02557325	0.0255733	0.0255733	0.0255733	0.0255733	0.0255733	0.0255733	0.0255733	0.0255733	0.0255733	0.0255733	0.0255733	0.0255733
28	0	-74.1524	-76.75107	2.598667	0.02730725	0.0273073	0.0273073	0.0273073	0.0273073	0.0273073	0.0273073	0.0273073	0.0273073	0.0273073	0.0273073	0.0273073	0.0273073
29	1	-73.80523	-76.46925	2.664016	0.02562935	0.0256293	0.0256293	0.0256293	0.0256293	0.0256293	0.0256293	0.0256293	0.0256293	0.0256293	0.0256293	0.0256293	0.0256293
30	0	-73.18797	-76.07233	2.884354	0.01997189	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719
31	1	-74.39266	-76.95128	2.558625	0.02833536	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354	0.0283354
32	0	-73.18797	-76.07233	2.884354	0.01997189	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719
33	1	-75.48093	-77.88457	2.403646	0.03231464	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146	0.0323146
34	0	-73.18797	-76.07233	2.884354	0.01997189	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719	0.0199719
35	1	-73.18663	-76.08599	2.899354	0.01958674	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867	0.0195867
36	0	-73.52736	-76.25549	2.728137	0.02398296	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983	0.023983
37	1	-74.12716	-77.24819	3.121028	0.01389501	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895	0.013895
38	0	-73.39122	-76.15913	2.767913	0.02296165	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617	0.0229617
39	1	-73.35318	-76.35061	2.997433	0.01706846	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685	0.0170685
40	0	-73.33964	-76.33305	2.993407	0.01717182	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718	0.0171718
41	1	-73.94487	-76.58123	2.636364	0.02633933	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393	0.0263393
42	0	-73.3837	-76.38959	3.005889	0.01685133	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513	0.0168513
43	1	-73.22424	-76.16945	2.945207	0.01840942	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094	0.0184094
44	0	-73.62733	-76.68339	3.056057	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632	0.0155632
45	1	-73.28839	-76.26444	2.976051	0.01761746	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175	0.0176175
46	0	-73.6151	-76.6691	3.054	0.01561602	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616	0.015616
47	1	-73.84125	-76.92883	3.087581	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538	0.0147538
48	0	-73.57391	-76.2901	2.71619	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897	0.0242897
49	1	-73.4811	-76.50988	3.028778	0.01626364	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636
50	0	-73.38297	-76.38867	3.005695	0.01685631	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563	0.0168563
51	1	-73.4811	-76.50988	3.028778	0.01626364	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636	0.0162636
52	0	-73.19087	-76.06798	2.877107	0.02015796	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158	0.020158
53	1	-73.20944	-76.14386	2.934415	0.01868651	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865	0.0186865
54	0	-73.37336	-76.37648	3.003112	0.01692263	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226	0.0169226
55	1	-73.20985	-76.14461	2.934758	0.01867771	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777	0.0186777
56	0	-73.69287	-76.381	2.688127	0.02501027	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103	0.0250103
57	1	-73.33292	-76.32426	2.991336	0.01722499	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225	0.017225
58	0	-73.23265	-76.06912	2.83647	0.02120137	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014	0.0212014
59	1	-73.86409	-76.95465	3.090553	0.01467748	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775
60	0	-74.13563	-76.73722	2.601591	0.02723218	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322	0.0272322
61	1	-73.86409	-76.95465	3.090553	0.01467748	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775	0.0146775
62	0	-73.68232	-76.37282	2.690497	0.02494939	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494
63	1	-73.80695	-76.88995	3.082997	0.01487148	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715	0.0148715
64	0	-73.68232	-76.37282	2.690497	0.02494939	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494	0.0249494
65	1	-73.20621	-76.13782	2.931606	0.01875864	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586	0.0187586
66	0	-73.792	-76.87295	3.080951	0.01492403	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924	0.014924
