Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
0	-198.7296	-202.8941	4.164528	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945
1	-194.0382	-198.1276	4.089395	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081
2	-188.08	-192.045	3.965023	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673
3	-182.9128	-186.7267	3.813925	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052
4	-174.3127	-177.6004	3.287607	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576
5	-174.9836	-178.3483	3.364774	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278
6	-173.165	-176.2482	3.083158	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073
7	-173.165	-176.2482	3.083158	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073
8	-172.8475	-175.5268	2.679353	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097
9	-172.7498	-175.5086	2.758799	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576
10	-172.73	-175.5208	2.790753	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395
