Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
0	0	-152.4218	-199.7651	47.34334	0.005282556	5.641764e-06	0.002368962	0.009436478	0.007044069	0.003622243	0.01061341	0.001097974	0.012936	0.01970813	0.0009058021	0.02460239	0.314881	0.238302	0.243241	0.203576
1	1	-137.6329	-184.6644	47.0315	0.000943598	0.01187272	0.0152476	0.001864732	0.005579925	0.001355457	0.008297687	0.009758116	0.01169583	0.007981034	0.02169018	0.004379702	0.0368839	0.404169	0.0439841	0.514963
2	0	-148.5481	-194.6441	46.09602	0.005029317	6.021653e-06	0.002725794	0.00728663	0.007044069	0.009365701	0.01061341	0.002563199	0.02096275	0.01871774	0.001163492	0.02431667	0.210855	0.465467	0.187356	0.136321
3	1	-132.1836	-178.8881	46.70448	0.000943598	0.010595	0.009587107	0.001864732	0.01300678	0.001339647	0.01228772	0.005642756	0.01318936	0.005555419	0.02169018	0.008155278	0.14274	0.274426	0.0458638	0.53697
4	0	-144.0372	-184.1287	40.09155	0.006738082	1.472108e-05	0.002912795	0.005890815	0.02284084	0.01286031	0.0200157	0.002563199	0.01353217	0.02552079	0.002363684	0.053132	0.598257	0.141566	0.056982	0.203195
5	1	-130.8417	-175.1377	44.29598	0.0008479307	0.010595	0.007421456	0.001353471	0.01170304	0.001388857	0.01194717	0.005642756	0.02107264	0.01295202	0.03284988	0.009584972	0.118071	0.431482	0.0721121	0.378335
6	0	-139.5089	-181.387	41.87816	0.008986205	2.386888e-05	0.003960595	0.004232965	0.0167574	0.01073432	0.0200157	0.001920612	0.008907967	0.01812141	0.004158752	0.053132	0.537505	0.1789	0.101033	0.182561
7	1	-131.3053	-174.872	43.56673	0.0007178425	0.01452211	0.009560283	0.005772754	0.009921237	0.001391916	0.01194717	0.007172539	0.0192986	0.01364029	0.03094534	0.009584972	0.173389	0.404418	0.0675889	0.354604
8	0	-141.0676	-182.9678	41.90015	0.01253672	3.501674e-05	0.006214059	0.007854462	0.0167574	0.01222644	0.0159837	0.002406484	0.008907967	0.0110888	0.003594159	0.053132	0.389353	0.231143	0.103223	0.276281
9	1	-132.1027	-174.4322	42.32948	0.003572054	0.01213786	0.01231856	0.003139386	0.008661655	0.001602725	0.01944079	0.01298495	0.01624999	0.0121686	0.03667149	0.007599789	0.181465	0.245142	0.202272	0.371121
