Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
0	-40.51017	-77.73998	37.2298	0.0454457	0.00648663	0.0166899	0.0127083	0.00698284	0.0477982	0.0157806	0.0131122	0.0183347	0.000876373	0.00224759	0.0319963	0.182748	0.447288	0.327695	0.0422689
1	-40.11571	-78.07444	37.95873	0.0373036	0.00475547	0.0197078	0.0152443	0.00807252	0.0410908	0.0124003	0.00812529	0.0189025	0.00224591	0.00369306	0.0282018	0.185668	0.57856	0.181098	0.0546742
2	-36.61579	-74.39239	37.7766	0.0487183	0.00661721	0.0187925	0.0123528	0.010498	0.028692	0.0112506	0.00642316	0.0133993	0.00356786	0.00346569	0.0406424	0.539811	0.370874	0.0542679	0.0350478
3	-36.90083	-73.26748	36.36665	0.0694257	0.00889791	0.0106861	0.0130404	0.00675344	0.0586016	0.0138751	0.00267882	0.00956239	0.00356786	0.00747866	0.036054	0.528899	0.119756	0.317005	0.0343393
4	-35.04308	-72.31016	37.26708	0.0508433	0.0115929	0.0125919	0.0145106	0.0101977	0.0364301	0.0124537	0.002469	0.0124116	0.00567344	0.00674069	0.0415873	0.487693	0.110426	0.292308	0.109573
5	-34.32702	-71.23013	36.90311	0.0549845	0.0136786	0.0234742	0.0107389	0.0101977	0.0546003	0.00912159	0.00249677	0.0119412	0.00567344	0.0191362	0.0108042	0.451456	0.102221	0.344892	0.101432
6	-34.63005	-70.6721	36.04205	0.0549845	0.0185302	0.0190641	0.0180482	0.0146845	0.0659885	0.00594916	0.00233012	0.0119412	0.00567344	0.0191362	0.0126262	0.179461	0.643118	0.1371	0.0403207
7	-34.93151	-71.49177	36.56026	0.0435669	0.0185302	0.0190641	0.0180482	0.0195483	0.0456505	0.00445494	0.00283226	0.0291801	0.00927476	0.0154382	0.0100623	0.508194	0.385465	0.0821737	0.024167
8	-34.83997	-72.38202	37.54205	0.027769	0.0248568	0.0106209	0.0180482	0.0104607	0.0456505	0.00353617	0.00508888	0.0291801	0.00927476	0.0190045	0.00695162	0.46067	0.44687	0.0644441	0.0280168
9	-35.31412	-72.8629	37.54878	0.0222642	0.0248568	0.00785224	0.0200053	0.0204789	0.0471391	0.00467082	0.00742945	0.0219473	0.00951793	0.0190045	0.00510278	0.423532	0.491461	0.0592488	0.0257582
10	-37.86841	-74.63645	36.76804	0.0175041	0.0182897	0.00439364	0.0217635	0.0327673	0.0295573	0.00318996	0.00729563	0.0219473	0.0168721	0.048399	0.0083363	0.72234	0.13268	0.10105	0.043931
11	-35.79644	-72.00566	36.20922	0.0446416	0.0182897	0.00439364	0.0120219	0.0421882	0.0240526	0.00314638	0.00729563	0.0156364	0.0273423	0.0354774	0.0101785	0.568771	0.157843	0.190547	0.0828394
12	-36.62166	-73.01475	36.39309	0.0446416	0.0134237	0.00534397	0.0120219	0.0421882	0.0356426	0.006089	0.00708237	0.0212714	0.0293519	0.0157168	0.00716968	0.552898	0.181346	0.185229	0.0805275
13	-37.7753	-73.35525	35.57994	0.062684	0.0182369	0.00534397	0.0139133	0.026603	0.0321742	0.006089	0.0077116	0.027836	0.0446177	0.0102172	0.00539475	0.578385	0.118491	0.193767	0.109357
14	-34.62006	-71.16447	36.54441	0.062684	0.0303315	0.00485141	0.0139133	0.00613904	0.0448491	0.00305285	0.0101148	0.0130847	0.0274157	0.0142268	0.00539475	0.370169	0.153156	0.124012	0.352664
15	-35.78533	-71.82968	36.04435	0.062684	0.0574469	0.00636047	0.0133841	0.00270644	0.0297768	0.00305285	0.00981914	0.00943898	0.034032	0.0146413	0.00555442	0.321158	0.132878	0.107593	0.438371
16	-36.72275	-72.18026	35.45751	0.0731194	0.0568138	0.0104378	0.0140355	0.00723627	0.0260725	0.00323186	0.0115794	0.00651218	0.034032	0.0168108	0.00408355	0.187704	0.13999	0.21047	0.461835
17	-36.6191	-72.52044	35.90135	0.0731194	0.0419491	0.00852396	0.03112	0.00615335	0.0231704	0.00295848	0.0137763	0.0130248	0.0228466	0.0121164	0.0038104	0.187704	0.13999	0.21047	0.461835
18	-38.12694	-73.09274	34.9658	0.0487898	0.057936	0.0137442	0.0332034	0.00378566	0.0231704	0.00373869	0.0198416	0.0205859	0.0354273	0.0107761	0.00559139	0.29211	0.217856	0.327539	0.162496
19	-37.85465	-73.06327	35.20862	0.04467	0.0269127	0.0186437	0.0441322	0.00251223	0.0346931	0.00512314	0.0171056	0.0256094	0.0354273	0.0109365	0.00458994	0.3551	0.264834	0.18253	0.197536
20	-37.53826	-72.5264	34.98814	0.0452634	0.0269127	0.0170694	0.0464963	0.0032664	0.0404925	0.00536954	0.00888987	0.026916	0.0354699	0.00863318	0.0112374	0.285721	0.40847	0.146867	0.158942
21	-35.59008	-70.14678	34.5567	0.0525437	0.0269127	0.0249746	0.0662855	0.00397923	0.0247366	0.00251747	0.00666825	0.00939238	0.05355	0.00604157	0.00949259	0.277857	0.397227	0.170349	0.154567
22	-36.17787	-70.30139	34.12352	0.056986	0.0458038	0.0149563	0.0662855	0.00327755	0.0296789	0.00297096	0.0117097	0.00969214	0.041488	0.00604157	0.00932637	0.379579	0.176553	0.232714	0.211153
23	-36.70058	-70.79008	34.0895	0.0455685	0.0442368	0.0149563	0.0654272	0.00295187	0.0351996	0.00429924	0.0117097	0.00969214	0.0429221	0.00951364	0.0126135	0.228484	0.21955	0.289388	0.262577
24	-36.92695	-71.08306	34.1561	0.0455685	0.0343036	0.0346231	0.0654272	0.00290059	0.039483	0.00643776	0.00768394	0.0114968	0.0283665	0.00951364	0.0115757	0.250845	0.143171	0.31771	0.288274
25	-34.91868	-70.86762	35.94894	0.0404503	0.0343512	0.0483959	0.0422018	0.0033746	0.0188363	0.00590855	0.00768394	0.00458908	0.0295669	0.00862276	0.00736575	0.308054	0.175823	0.401737	0.114385
26	-38.66203	-71.13541	32.47338	0.0763282	0.0339656	0.0483959	0.075712	0.00243684	0.025391	0.00484169	0.00768394	0.00275814	0.0450958	0.00541691	0.0125603	0.284605	0.154467	0.422988	0.137941
27	-36.54698	-69.84469	33.29771	0.035772	0.0339656	0.026647	0.116268	0.00435808	0.025391	0.00380449	0.00781151	0.00258181	0.0480671	0.00664157	0.00811226	0.284605	0.154467	0.422988	0.137941
28	-37.76467	-70.12315	32.35847	0.0341696	0.0339656	0.026647	0.0610388	0.00451062	0.0462032	0.00380449	0.0100202	0.0040579	0.0944104	0.00664157	0.0180671	0.356707	0.1936	0.164137	0.285557
29	-39.22817	-70.72457	31.4964	0.0341696	0.0458854	0.0345629	0.0723593	0.00451062	0.0462032	0.00231711	0.00760188	0.0115454	0.082689	0.00575995	0.0180671	0.447762	0.302875	0.206035	0.0433282
30	-36.56505	-70.0886	33.52355	0.0453539	0.0436014	0.0269921	0.03629	0.00632462	0.0463363	0.00389512	0.00735244	0.0115454	0.0470368	0.0073476	0.0315463	0.447762	0.302875	0.206035	0.0433282
31	-35.96229	-70.43904	34.47675	0.0396858	0.0308756	0.0211017	0.0331669	0.0059466	0.019469	0.004418	0.00735244	0.0132821	0.05416	0.0103375	0.0493516	0.468635	0.316994	0.169023	0.045348
32	-37.75636	-71.85193	34.09557	0.0486004	0.0223703	0.0306049	0.0227284	0.00668181	0.0214143	0.00206469	0.00808882	0.0204678	0.05416	0.0124015	0.0493516	0.222144	0.340028	0.345211	0.0926183
33	-37.78896	-72.09029	34.30133	0.0289348	0.0228135	0.0306049	0.0302864	0.00604967	0.0158375	0.0023296	0.00543322	0.0229543	0.05416	0.0290965	0.0451509	0.207533	0.367934	0.373543	0.0509897
34	-37.95532	-71.89521	33.93989	0.0307349	0.0231968	0.0423501	0.0317585	0.00701102	0.0219957	0.00169944	0.00424563	0.0229543	0.05416	0.0221985	0.040627	0.287003	0.508826	0.133656	0.070515
35	-38.48917	-71.44587	32.9567	0.069953	0.0364753	0.0453721	0.0296855	0.0059581	0.0285523	0.00169944	0.00554686	0.0156618	0.0340099	0.0311384	0.0241239	0.291833	0.517389	0.135906	0.0548729
36	-41.04231	-73.29781	32.2555	0.069953	0.0359322	0.0646007	0.0476463	0.0064059	0.0170704	0.00134002	0.00534623	0.0186917	0.0220139	0.0330564	0.0241239	0.224604	0.3982	0.228875	0.148321
37	-36.86869	-71.11943	34.25074	0.061472	0.0336177	0.0545289	0.0332383	0.00689382	0.0111032	0.00189178	0.00534623	0.0186917	0.0122689	0.0299182	0.0259798	0.648418	0.180553	0.103777	0.067252
38	-34.68993	-70.27443	35.58449	0.0427817	0.0525211	0.0347284	0.0251944	0.00841227	0.0111032	0.00125205	0.00469228	0.0175455	0.011755	0.0252985	0.0254203	0.384724	0.182083	0.262853	0.17034
39	-35.10197	-70.40891	35.30694	0.0427817	0.0386463	0.0347284	0.0312499	0.00595683	0.0135927	0.00198023	0.00689674	0.0175455	0.017897	0.0199924	0.0365636	0.333422	0.233231	0.128254	0.305093
40	-38.39312	-71.75797	33.36485	0.0366007	0.0299823	0.0458048	0.0234978	0.00539093	0.0104622	0.00305502	0.0060467	0.0175455	0.017897	0.0199924	0.101421	0.20548	0.513072	0.0790398	0.202408
41	-39.00725	-72.95459	33.94734	0.0303086	0.0153032	0.0458048	0.0218013	0.00407538	0.0104622	0.0030053	0.00916226	0.0208154	0.017897	0.0226838	0.101421	0.232502	0.449038	0.089434	0.229026
42	-38.86452	-73.6277	34.76319	0.0333155	0.0144681	0.0525913	0.0218013	0.00483613	0.00957919	0.00185559	0.00911287	0.0201384	0.0298435	0.0099364	0.0743146	0.232502	0.449038	0.089434	0.229026
43	-36.7767	-72.71594	35.93924	0.0434844	0.013834	0.0414656	0.0207936	0.00684584	0.0100933	0.00188359	0.00911287	0.0166069	0.0298435	0.010783	0.0468496	0.232502	0.449038	0.089434	0.229026
44	-36.11949	-70.66878	34.54929	0.0440738	0.0332916	0.046099	0.0169014	0.012635	0.00817466	0.00341899	0.00821705	0.00950078	0.0298435	0.0155353	0.0595938	0.279461	0.337761	0.107497	0.275282
45	-35.12636	-70.18625	35.05989	0.0471089	0.0382424	0.0395502	0.0169196	0.00927725	0.0178099	0.00195389	0.00821705	0.00710325	0.0189245	0.00947389	0.0595938	0.335412	0.405385	0.129019	0.130184
46	-33.68222	-69.65705	35.97483	0.0471089	0.0343556	0.024758	0.0182268	0.00573703	0.0400618	0.00180108	0.00714999	0.00852633	0.0124287	0.00947389	0.0410541	0.261796	0.316412	0.320181	0.101611
