Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-31.46938	-49.90125	18.43188	0.0128627	0.0288296	0.0266402	0.00787172	0.016885	0.0156345	0.688713	0.16922	0.142067
1	-33.8141	-50.15805	16.34395	0.0128627	0.0288296	0.0266402	0.00787172	0.016885	0.0692445	0.391656	0.340203	0.268141
2	-37.0421	-56.12205	19.07995	0.0168743	0.00197828	0.0266402	0.00279342	0.0350753	0.00872224	0.117401	0.526907	0.355692
3	-36.69878	-55.28737	18.58858	0.0168743	0.0095418	0.0657007	0.00279342	0.00106759	0.00872224	0.037062	0.422148	0.54079
4	-49.29011	-65.09704	15.80693	0.0168743	0.130025	0.0117212	0.00771242	0.00106759	0.00872224	0.0609323	0.0499743	0.889093
5	-43.27946	-63.68426	20.40479	0.00999917	0.000659584	0.0258121	0.00771242	0.00516115	0.00872224	0.0611876	0.045994	0.892818
6	-33.51539	-52.29028	18.77489	0.00999917	0.0551197	0.0132017	0.00771242	0.00516115	0.00872224	0.592438	0.0624136	0.345148
7	-35.02071	-53.30755	18.28684	0.00999917	0.0551197	0.00971897	0.00771242	0.0211753	0.00872224	0.0993633	0.235675	0.664962
8	-39.50588	-54.82942	15.32354	0.0818518	0.0236126	0.0350334	0.0181386	0.0211753	0.00872224	0.107305	0.705387	0.187308
9	-33.03143	-49.60739	16.57596	0.0111191	0.034167	0.0245183	0.00816794	0.0351087	0.0432954	0.911263	0.0701182	0.0186191
10	-36.01057	-53.13721	17.12664	0.0111191	0.0550978	0.0234716	0.00816794	0.0351087	0.00927216	0.276282	0.718072	0.00564505
11	-41.61727	-56.755	15.13773	0.0184973	0.0550978	0.0577741	0.0212399	0.0351087	0.00558699	0.0643923	0.625099	0.310509
12	-42.49007	-58.53339	16.04331	0.00765433	0.077849	0.0577741	0.012685	0.00850354	0.00558699	0.278813	0.659762	0.0614252
13	-48.19194	-59.69152	11.49958	0.0560491	0.0811796	0.0716015	0.012685	0.00850354	0.0567	0.328097	0.614676	0.0572275
14	-33.77984	-52.68305	18.90321	0.0560491	0.00541961	0.000552306	0.012685	0.00521186	0.0167038	0.0464208	0.272558	0.681021
15	-30.19961	-46.77034	16.57073	0.0283711	0.0485405	0.000552306	0.012685	0.0501806	0.0161813	0.916185	0.0311881	0.0526269
16	-25.11677	-44.66577	19.549	0.0283711	0.0202359	0.000570597	0.00706906	0.0199521	0.00384147	0.906425	0.0308558	0.0627192
17	-26.58584	-46.80935	20.22352	0.0283711	0.00799656	0.00458605	0.00706906	0.0108569	0.00384147	0.844227	0.0287385	0.127034
18	-51.15847	-68.06501	16.90654	0.00606409	0.00158763	0.0537698	0.0676928	0.0108569	0.00791734	0.558874	0.0190248	0.422101
19	-50.67848	-63.21247	12.53399	0.00606409	0.0501905	0.0537698	0.0676928	0.0668002	0.0156415	0.672556	0.0228946	0.30455
20	-39.7431	-52.99167	13.24856	0.0561166	0.0198621	0.0577542	0.0205714	0.0668002	0.020707	0.422744	0.0403612	0.536895
21	-33.33432	-50.62221	17.28789	0.00731146	0.0198621	0.00284473	0.0205714	0.0668002	0.020707	0.89081	0.017401	0.0917892
22	-33.96495	-50.98559	17.02064	0.00731146	0.0198621	0.00164812	0.0205714	0.0464902	0.0490757	0.360965	0.0552347	0.5838
23	-43.53389	-58.06755	14.53366	0.00731146	0.0802345	0.000521035	0.0477842	0.0464902	0.0264737	0.341329	0.140203	0.518468
24	-38.80539	-51.74139	12.936	0.0123307	0.0474539	0.00487093	0.0477842	0.0464902	0.0909069	0.649518	0.266794	0.0836882
25	-45.53159	-60.49398	14.96239	0.00327785	0.0619996	0.00487093	0.0580745	0.0464902	0.0230939	0.464507	0.378663	0.15683
26	-40.06574	-56.15592	16.09018	0.0084547	0.0370733	0.00487093	0.0580745	0.0464902	0.0138859	0.337401	0.499562	0.163037
27	-34.36449	-50.65267	16.28818	0.0307266	0.0043675	0.00487093	0.0237121	0.0464902	0.0535984	0.643021	0.269142	0.0878369
28	-45.39403	-58.67309	13.27906	0.0671035	0.0924505	0.00487093	0.0237121	0.0464902	0.00640135	0.166192	0.639606	0.194201
29	-47.7007	-60.00754	12.30684	0.059085	0.0924505	0.00703821	0.0465513	0.0464902	0.0143762	0.293905	0.500208	0.205887
30	-52.42636	-65.38239	12.95603	0.0607326	0.0924505	0.0347467	0.0465513	0.000465286	0.0143762	0.119193	0.561054	0.319753
31	-52.62345	-64.56326	11.93981	0.0585599	0.0924505	0.0347467	0.0465513	0.00565938	0.0374476	0.113433	0.533942	0.352625
32	-38.67452	-55.76821	17.0937	0.0585599	0.00214082	0.0145061	0.0325424	0.0138156	0.0215183	0.0980673	0.569672	0.332261
33	-42.17346	-59.54481	17.37136	0.019013	0.000747421	0.00443175	0.0764278	0.0138156	0.0215183	0.228109	0.011283	0.760608
34	-38.12173	-56.57878	18.45705	0.027867	0.000747421	0.00180504	0.0339148	0.0138156	0.0299275	0.0707505	0.0135831	0.915666
35	-54.1358	-70.97859	16.84279	0.00493336	0.000747421	0.00772518	0.0969161	0.00927604	0.0299275	0.198328	0.0380762	0.763596
36	-46.32278	-65.98004	19.65726	0.00493336	0.000747421	0.00772518	0.0461693	0.00927604	0.00840922	0.305045	0.0584061	0.636549
