count0,count1,count2,count_sum,count0_prop,count1_prop,count2_prop,qc,qd,qi,node
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
200,0,0,200,1,0,0,1,NA,1,114
184,0,13,197,0.934010152,0,0.065989848,0.649222882,0,0.985,115
133,31,25,189,0.703703704,0.164021164,0.132275132,0.26146246,0.892857143,0.945,116
200,0,0,200,1,0,0,1,NA,1,117
94,39,56,189,0.497354497,0.206349206,0.296296296,0.059314102,0.821052632,0.945,118
69,5,117,191,0.361256545,0.02617801,0.612565445,-0.305123679,0.081967213,0.955,119
110,7,80,197,0.558375635,0.035532995,0.406091371,0.262776493,0.16091954,0.985,120
131,58,6,195,0.671794872,0.297435897,0.030769231,0.330961037,0.1875,0.975,121
124,66,5,195,0.635897436,0.338461538,0.025641026,0.318694821,0.14084507,0.975,122
157,14,20,191,0.821989529,0.073298429,0.104712042,0.463901572,0.823529412,0.955,123
76,44,65,185,0.410810811,0.237837838,0.351351351,0.021908209,0.80733945,0.925,124
134,23,19,176,0.761363636,0.130681818,0.107954545,0.350244645,0.904761905,0.88,125
181,9,2,192,0.942708333,0.046875,0.010416667,0.775522523,0.363636364,0.96,126
200,0,0,200,1,0,0,1,NA,1,127
155,16,19,190,0.815789474,0.084210526,0.1,0.449554767,0.914285714,0.95,128
200,0,0,200,1,0,0,1,NA,1,129
160,28,0,188,0.85106383,0.14893617,0,0.392828345,0,0.94,130
109,0,0,109,1,0,0,1,NA,1,131
200,0,0,200,1,0,0,1,NA,1,132
199,0,0,199,1,0,0,1,NA,0.995,133
157,19,15,191,0.821989529,0.09947644,0.078534031,0.462489251,0.882352941,0.955,134
95,4,6,105,0.904761905,0.038095238,0.057142857,0.655393851,0.8,0.963302752,135
200,0,0,200,1,0,0,1,NA,1,136
200,0,0,200,1,0,0,1,NA,1,137
109,0,0,109,1,0,0,1,NA,1,138
200,0,0,200,1,0,0,1,NA,1,139
108,0,1,109,0.990825688,0,0.009174312,0.924731732,0,1,140
200,0,0,200,1,0,0,1,NA,1,141
85,48,57,190,0.447368421,0.252631579,0.3,0.027300895,0.914285714,0.95,142
200,0,0,200,1,0,0,1,NA,1,143
103,83,8,194,0.530927835,0.427835052,0.041237113,0.243712751,0.175824176,0.97,144
110,79,5,194,0.567010309,0.407216495,0.025773196,0.288333342,0.119047619,0.97,145
108,62,24,194,0.556701031,0.319587629,0.12371134,0.13602961,0.558139535,0.97,146
199,1,0,200,0.995,0.005,0,0.954585308,0,1,147
109,0,0,109,1,0,0,1,NA,1,148
200,0,0,200,1,0,0,1,NA,1,149
200,0,0,200,1,0,0,1,NA,1,150
98,62,36,196,0.5,0.316326531,0.183673469,0.069816101,0.734693878,0.98,151
192,7,0,199,0.964824121,0.035175879,0,0.780281332,0,0.995,152
109,0,0,109,1,0,0,1,NA,1,153
199,0,1,200,0.995,0,0.005,0.954585308,0,1,154
197,2,0,199,0.989949749,0.010050251,0,0.918873914,0,0.995,155
198,2,0,200,0.99,0.01,0,0.919206864,0,1,156
200,0,0,200,1,0,0,1,NA,1,157
183,0,14,197,0.92893401,0,0.07106599,0.630110817,0,0.985,158
81,17,3,101,0.801980198,0.168316832,0.02970297,0.470832633,0.3,0.926605505,159
82,15,99,196,0.418367347,0.076530612,0.505102041,-0.175110205,0.263157895,0.98,160
106,48,42,196,0.540816327,0.244897959,0.214285714,0.083323354,0.933333333,0.98,161
68,67,56,191,0.356020942,0.35078534,0.293193717,0.003390029,0.910569106,0.955,162
84,61,52,197,0.426395939,0.30964467,0.263959391,0.018722634,0.920353982,0.985,163
134,44,18,196,0.683673469,0.224489796,0.091836735,0.258485203,0.580645161,0.98,164
87,82,30,199,0.43718593,0.412060302,0.150753769,0.078569158,0.535714286,0.995,165
82,23,92,197,0.416243655,0.116751269,0.467005076,-0.116008745,0.4,0.985,166
96,44,58,198,0.484848485,0.222222222,0.292929293,0.048894677,0.862745098,0.99,167
74,80,42,196,0.37755102,0.408163265,0.214285714,-0.03187048,0.68852459,0.98,168
74,62,57,193,0.383419689,0.321243523,0.295336788,0.005518202,0.957983193,0.965,169
40,51,103,194,0.206185567,0.262886598,0.530927835,-0.077988135,0.662337662,0.97,170
90,77,29,196,0.459183673,0.392857143,0.147959184,0.083245103,0.547169811,0.98,171
77,53,64,194,0.396907216,0.273195876,0.329896907,0.010478577,0.905982906,0.97,172
