node_label	count0	count1	count2	topo0	topo1	topo2
QS1	200	0	0	((BAL_stormiae_Vasquez1081,HOF_phoenicopoda_Wendt3392),(Pal_deflexa_Meave1172,Psy_grandis_Taylor11745));	((BAL_stormiae_Vasquez1081,Pal_deflexa_Meave1172),(HOF_phoenicopoda_Wendt3392,Psy_grandis_Taylor11745));	((BAL_stormiae_Vasquez1081,Psy_grandis_Taylor11745),(Pal_deflexa_Meave1172,HOF_phoenicopoda_Wendt3392));
QS2	184	0	13	((Psy_marginata_Stevens32781,BAL_stormiae_Vasquez1081),(Psy_rosea_LiesnerSN,Car_guianensis_Gonzalez2158));	((Psy_marginata_Stevens32781,Psy_rosea_LiesnerSN),(BAL_stormiae_Vasquez1081,Car_guianensis_Gonzalez2158));	((Psy_marginata_Stevens32781,Car_guianensis_Gonzalez2158),(Psy_rosea_LiesnerSN,BAL_stormiae_Vasquez1081));
QS3	133	31	25	((Car_guianensis_Gonzalez2158,Psy_horizontalis_Stevens32733),(Pal_petiolaris_Ortega3101,Not_epiphytica_Neill15737));	((Car_guianensis_Gonzalez2158,Pal_petiolaris_Ortega3101),(Psy_horizontalis_Stevens32733,Not_epiphytica_Neill15737));	((Car_guianensis_Gonzalez2158,Not_epiphytica_Neill15737),(Pal_petiolaris_Ortega3101,Psy_horizontalis_Stevens32733));
QS4	200	0	0	((Not_epiphytica_Neill15737,HAM_patens_LB54),(Pal_glabra_Schunke7495,Pal_topoensis_Zak3747));	((Not_epiphytica_Neill15737,Pal_glabra_Schunke7495),(HAM_patens_LB54,Pal_topoensis_Zak3747));	((Not_epiphytica_Neill15737,Pal_topoensis_Zak3747),(Pal_glabra_Schunke7495,HAM_patens_LB54));
QS5	94	39	56	((Pal_topoensis_Zak3747,Not_epiphytica_Neill15737),(Pal_elata_Stevens36104,Pal_brachiata_Davidse36906));	((Pal_topoensis_Zak3747,Pal_elata_Stevens36104),(Not_epiphytica_Neill15737,Pal_brachiata_Davidse36906));	((Pal_topoensis_Zak3747,Pal_brachiata_Davidse36906),(Pal_elata_Stevens36104,Not_epiphytica_Neill15737));
QS6	69	5	117	((Pal_acanthacea_Monsalve352,Carapichea_ipecacuanha_Croat15117),(Pal_woronovii_vanDerWerff20100,Pal_tetragona_Beach1469));	((Pal_acanthacea_Monsalve352,Pal_woronovii_vanDerWerff20100),(Carapichea_ipecacuanha_Croat15117,Pal_tetragona_Beach1469));	((Pal_acanthacea_Monsalve352,Pal_tetragona_Beach1469),(Pal_woronovii_vanDerWerff20100,Carapichea_ipecacuanha_Croat15117));
QS7	110	7	80	((Pal_elata_Stevens36104,HOF_phoenicopoda_Wendt3392),(Pal_nitidella_Liesner6369,Pal_reticulata_Zambrana5775));	((Pal_elata_Stevens36104,Pal_nitidella_Liesner6369),(HOF_phoenicopoda_Wendt3392,Pal_reticulata_Zambrana5775));	((Pal_elata_Stevens36104,Pal_reticulata_Zambrana5775),(Pal_nitidella_Liesner6369,HOF_phoenicopoda_Wendt3392));
QS8	131	58	6	((Pal_bangii_Fuentes12864,Pal_divaricata_Carvalho6490),(Pal_crocea_Merello1713,Pal_egensis_Liesner7059));	((Pal_bangii_Fuentes12864,Pal_crocea_Merello1713),(Pal_divaricata_Carvalho6490,Pal_egensis_Liesner7059));	((Pal_bangii_Fuentes12864,Pal_egensis_Liesner7059),(Pal_crocea_Merello1713,Pal_divaricata_Carvalho6490));
QS9	124	66	5	((Pal_deflexa_Taylor11717,HIL_parasitica_Jiminez2189),(Pal_dichotoma_Maceda1475,Pal_condensata_Graham199));	((Pal_deflexa_Taylor11717,Pal_dichotoma_Maceda1475),(HIL_parasitica_Jiminez2189,Pal_condensata_Graham199));	((Pal_deflexa_Taylor11717,Pal_condensata_Graham199),(Pal_dichotoma_Maceda1475,HIL_parasitica_Jiminez2189));
QS10	157	14	20	((Pal_grandifolia_Liesner6534,Pal_elata_Ibarra-Manriquez5301),(Pal_winkleri_Stevens37485,Pal_rhodothamna_Rimachi7296));	((Pal_grandifolia_Liesner6534,Pal_winkleri_Stevens37485),(Pal_elata_Ibarra-Manriquez5301,Pal_rhodothamna_Rimachi7296));	((Pal_grandifolia_Liesner6534,Pal_rhodothamna_Rimachi7296),(Pal_winkleri_Stevens37485,Pal_elata_Ibarra-Manriquez5301));
QS11	76	44	65	((Pal_andina_Dzieziech149,Pal_amethystina_Jaramillo1989),(Pal_obliquinervia_Clarke1268,Pal_glabra_Schunke7495));	((Pal_andina_Dzieziech149,Pal_obliquinervia_Clarke1268),(Pal_amethystina_Jaramillo1989,Pal_glabra_Schunke7495));	((Pal_andina_Dzieziech149,Pal_glabra_Schunke7495),(Pal_obliquinervia_Clarke1268,Pal_amethystina_Jaramillo1989));
QS12	134	23	19	((Pal_glabra_Schunke7495,Pal_reticulata_Zambrana5775),(Pal_corymbifera_Grimes3319,Pal_callithrix_Granville13399));	((Pal_glabra_Schunke7495,Pal_corymbifera_Grimes3319),(Pal_reticulata_Zambrana5775,Pal_callithrix_Granville13399));	((Pal_glabra_Schunke7495,Pal_callithrix_Granville13399),(Pal_corymbifera_Grimes3319,Pal_reticulata_Zambrana5775));
QS13	181	9	2	((Pal_callithrix_Granville13399,Pal_andina_Dzieziech149),(Pal_justiciifolia_Gutierrez534,Pal_prunifolia_Nee41304));	((Pal_callithrix_Granville13399,Pal_justiciifolia_Gutierrez534),(Pal_andina_Dzieziech149,Pal_prunifolia_Nee41304));	((Pal_callithrix_Granville13399,Pal_prunifolia_Nee41304),(Pal_justiciifolia_Gutierrez534,Pal_andina_Dzieziech149));
QS14	200	0	0	((Pal_prunifolia_Nee41304,Pal_triphylla_Killeen6548),(Pal_corymbifera_Grimes3319,Pal_gracilenta_Croat102206));	((Pal_prunifolia_Nee41304,Pal_corymbifera_Grimes3319),(Pal_triphylla_Killeen6548,Pal_gracilenta_Croat102206));	((Pal_prunifolia_Nee41304,Pal_gracilenta_Croat102206),(Pal_corymbifera_Grimes3319,Pal_triphylla_Killeen6548));
QS15	155	16	19	((Pal_winkleri_Stevens37485,Pal_sulphurea_Palacios9594),(Pal_justiciifolia_Gutierrez534,Pal_quadrifolia_Ricard76));	((Pal_winkleri_Stevens37485,Pal_justiciifolia_Gutierrez534),(Pal_sulphurea_Palacios9594,Pal_quadrifolia_Ricard76));	((Pal_winkleri_Stevens37485,Pal_quadrifolia_Ricard76),(Pal_justiciifolia_Gutierrez534,Pal_sulphurea_Palacios9594));
QS16	200	0	0	((Pal_quadrifolia_Ricard76,Pal_andina_Dzieziech149),(Pal_suerrensis_Stevens36741,Pal_ostreophora_Schunke8366));	((Pal_quadrifolia_Ricard76,Pal_suerrensis_Stevens36741),(Pal_andina_Dzieziech149,Pal_ostreophora_Schunke8366));	((Pal_quadrifolia_Ricard76,Pal_ostreophora_Schunke8366),(Pal_suerrensis_Stevens36741,Pal_andina_Dzieziech149));
QS17	160	28	0	((Pal_ostreophora_Schunke8366,Pal_loxensis_Neill16912),(Pal_suerrensis_McPherson15864,Pal_justiciifolia_Gutierrez534));	((Pal_ostreophora_Schunke8366,Pal_suerrensis_McPherson15864),(Pal_loxensis_Neill16912,Pal_justiciifolia_Gutierrez534));	((Pal_ostreophora_Schunke8366,Pal_justiciifolia_Gutierrez534),(Pal_suerrensis_McPherson15864,Pal_loxensis_Neill16912));
QS18	109	0	0	((Pal_justiciifolia_Gutierrez534,Pal_acanthacea_Monsalve352),(Pal_suerrensis_Stevens36741,Pal_suerrensis_McPherson15864));	((Pal_justiciifolia_Gutierrez534,Pal_suerrensis_Stevens36741),(Pal_acanthacea_Monsalve352,Pal_suerrensis_McPherson15864));	((Pal_justiciifolia_Gutierrez534,Pal_suerrensis_McPherson15864),(Pal_suerrensis_Stevens36741,Pal_acanthacea_Monsalve352));
QS19	200	0	0	((Pal_suerrensis_McPherson15864,Pal_acuminata_Lachenaud966),(Pal_quadrifolia_Ricard76,Pal_corymbifera_Grimes3319));	((Pal_suerrensis_McPherson15864,Pal_quadrifolia_Ricard76),(Pal_acuminata_Lachenaud966,Pal_corymbifera_Grimes3319));	((Pal_suerrensis_McPherson15864,Pal_corymbifera_Grimes3319),(Pal_quadrifolia_Ricard76,Pal_acuminata_Lachenaud966));
QS20	199	0	0	((Pal_corymbifera_Grimes3319,Pal_cyanococca_Stevens30807),(Pal_dichotoma_Maceda1475,Pal_obliquinervia_Clarke1268));	((Pal_corymbifera_Grimes3319,Pal_dichotoma_Maceda1475),(Pal_cyanococca_Stevens30807,Pal_obliquinervia_Clarke1268));	((Pal_corymbifera_Grimes3319,Pal_obliquinervia_Clarke1268),(Pal_dichotoma_Maceda1475,Pal_cyanococca_Stevens30807));
QS21	157	19	15	((Pal_obliquinervia_Clarke1268,Pal_subfusca_Parada996),(Pal_winkleri_Stevens37485,Pal_gracilenta_Croat102206));	((Pal_obliquinervia_Clarke1268,Pal_winkleri_Stevens37485),(Pal_subfusca_Parada996,Pal_gracilenta_Croat102206));	((Pal_obliquinervia_Clarke1268,Pal_gracilenta_Croat102206),(Pal_winkleri_Stevens37485,Pal_subfusca_Parada996));
QS22	95	4	6	((Pal_gracilenta_Croat102206,Pal_berteroana_Taylor11646),(Pal_winkleri_Stevens37485,Pal_dichotoma_Maceda1475));	((Pal_gracilenta_Croat102206,Pal_winkleri_Stevens37485),(Pal_berteroana_Taylor11646,Pal_dichotoma_Maceda1475));	((Pal_gracilenta_Croat102206,Pal_dichotoma_Maceda1475),(Pal_winkleri_Stevens37485,Pal_berteroana_Taylor11646));
QS23	200	0	0	((Pal_ostreophora_Schunke8366,Pal_tetragona_Davidse36909),(Pal_acuminata_Suazo4616,Pal_didymocarpos_Nee35839));	((Pal_ostreophora_Schunke8366,Pal_acuminata_Suazo4616),(Pal_tetragona_Davidse36909,Pal_didymocarpos_Nee35839));	((Pal_ostreophora_Schunke8366,Pal_didymocarpos_Nee35839),(Pal_acuminata_Suazo4616,Pal_tetragona_Davidse36909));
QS24	200	0	0	((Pal_rhodothamna_Rimachi7296,Pal_bangii_Fuentes12864),(Pal_acuminata_Fonnegra6968,Pal_andina_Dzieziech149));	((Pal_rhodothamna_Rimachi7296,Pal_acuminata_Fonnegra6968),(Pal_bangii_Fuentes12864,Pal_andina_Dzieziech149));	((Pal_rhodothamna_Rimachi7296,Pal_andina_Dzieziech149),(Pal_acuminata_Fonnegra6968,Pal_bangii_Fuentes12864));
QS25	109	0	0	((Pal_andina_Dzieziech149,Pal_demissa_Zak3081),(Pal_acuminata_Fonnegra6968,Pal_acuminata_Suazo4616));	((Pal_andina_Dzieziech149,Pal_acuminata_Fonnegra6968),(Pal_demissa_Zak3081,Pal_acuminata_Suazo4616));	((Pal_andina_Dzieziech149,Pal_acuminata_Suazo4616),(Pal_acuminata_Fonnegra6968,Pal_demissa_Zak3081));
QS26	200	0	0	((Pal_andina_Dzieziech149,Psy_jinotegensis_Stevens33549),(Pal_didymocarpos_Nee35839,Pal_rhodothamna_Rimachi7296));	((Pal_andina_Dzieziech149,Pal_didymocarpos_Nee35839),(Psy_jinotegensis_Stevens33549,Pal_rhodothamna_Rimachi7296));	((Pal_andina_Dzieziech149,Pal_rhodothamna_Rimachi7296),(Pal_didymocarpos_Nee35839,Psy_jinotegensis_Stevens33549));
QS27	108	0	1	((Pal_rhodothamna_Rimachi7296,Pal_pyramidalis_Hartado1015),(Pal_acuminata_Lachenaud966,Pal_didymocarpos_Nee35839));	((Pal_rhodothamna_Rimachi7296,Pal_acuminata_Lachenaud966),(Pal_pyramidalis_Hartado1015,Pal_didymocarpos_Nee35839));	((Pal_rhodothamna_Rimachi7296,Pal_didymocarpos_Nee35839),(Pal_acuminata_Lachenaud966,Pal_pyramidalis_Hartado1015));
QS28	200	0	0	((Pal_acuminata_Fonnegra6968,Pal_amethystina_Jaramillo1989),(Pal_marcgravii_VasconcelosSN,Pal_rigida_Subieta322));	((Pal_acuminata_Fonnegra6968,Pal_marcgravii_VasconcelosSN),(Pal_amethystina_Jaramillo1989,Pal_rigida_Subieta322));	((Pal_acuminata_Fonnegra6968,Pal_rigida_Subieta322),(Pal_marcgravii_VasconcelosSN,Pal_amethystina_Jaramillo1989));
QS29	85	48	57	((Pal_guianensis_Redden2302,Pal_jelskii_Fuentes12894),(Pal_triphylla_Stevens36461,Pal_grandifolia_Liesner6534));	((Pal_guianensis_Redden2302,Pal_triphylla_Stevens36461),(Pal_jelskii_Fuentes12894,Pal_grandifolia_Liesner6534));	((Pal_guianensis_Redden2302,Pal_grandifolia_Liesner6534),(Pal_triphylla_Stevens36461,Pal_jelskii_Fuentes12894));
QS30	200	0	0	((Pal_grandifolia_Liesner6534,Pal_apicata_Stergios2543),(Pal_crocea_Merello1713,Pal_guianensis_deLaQuintana257));	((Pal_grandifolia_Liesner6534,Pal_crocea_Merello1713),(Pal_apicata_Stergios2543,Pal_guianensis_deLaQuintana257));	((Pal_grandifolia_Liesner6534,Pal_guianensis_deLaQuintana257),(Pal_crocea_Merello1713,Pal_apicata_Stergios2543));
QS31	103	83	8	((Pal_macrobotrys_Gatti17549,Pal_obliquinervia_Clarke1268),(Pal_triphylla_Killeen6548,Pal_nitidella_Liesner6369));	((Pal_macrobotrys_Gatti17549,Pal_triphylla_Killeen6548),(Pal_obliquinervia_Clarke1268,Pal_nitidella_Liesner6369));	((Pal_macrobotrys_Gatti17549,Pal_nitidella_Liesner6369),(Pal_triphylla_Killeen6548,Pal_obliquinervia_Clarke1268));
QS32	110	79	5	((Pal_nitidella_Liesner6369,Pal_reticulata_Zambrana5775),(Pal_triphylla_Stevens36461,Pal_condensata_Graham199));	((Pal_nitidella_Liesner6369,Pal_triphylla_Stevens36461),(Pal_reticulata_Zambrana5775,Pal_condensata_Graham199));	((Pal_nitidella_Liesner6369,Pal_condensata_Graham199),(Pal_triphylla_Stevens36461,Pal_reticulata_Zambrana5775));
QS33	108	62	24	((Pal_condensata_Graham199,Pal_tomentosa_Araujo1546),(Pal_triphylla_Killeen6548,Pal_crocea_Merello1713));	((Pal_condensata_Graham199,Pal_triphylla_Killeen6548),(Pal_tomentosa_Araujo1546,Pal_crocea_Merello1713));	((Pal_condensata_Graham199,Pal_crocea_Merello1713),(Pal_triphylla_Killeen6548,Pal_tomentosa_Araujo1546));
QS34	199	1	0	((Pal_crocea_Merello1713,Psy_carthagenensis_Araujo2124),(Pal_triphylla_Nee46793,Pal_triphylla_Killeen6548));	((Pal_crocea_Merello1713,Pal_triphylla_Nee46793),(Psy_carthagenensis_Araujo2124,Pal_triphylla_Killeen6548));	((Pal_crocea_Merello1713,Pal_triphylla_Killeen6548),(Pal_triphylla_Nee46793,Psy_carthagenensis_Araujo2124));
QS35	109	0	0	((Pal_triphylla_Killeen6548,Pal_standleyana_Gentry63598),(Pal_triphylla_Nee46793,Pal_triphylla_Stevens36461));	((Pal_triphylla_Killeen6548,Pal_triphylla_Nee46793),(Pal_standleyana_Gentry63598,Pal_triphylla_Stevens36461));	((Pal_triphylla_Killeen6548,Pal_triphylla_Stevens36461),(Pal_triphylla_Nee46793,Pal_standleyana_Gentry63598));
QS36	200	0	0	((Pal_triphylla_Stevens36461,Pal_prunifolia_Nee41304),(Pal_croceoides_Taylor11640,Pal_crocea_Merello1713));	((Pal_triphylla_Stevens36461,Pal_croceoides_Taylor11640),(Pal_prunifolia_Nee41304,Pal_crocea_Merello1713));	((Pal_triphylla_Stevens36461,Pal_crocea_Merello1713),(Pal_croceoides_Taylor11640,Pal_prunifolia_Nee41304));
QS37	200	0	0	((Pal_triphylla_Killeen6548,Pal_prunifolia_Nee41304),(Pal_macrobotrys_Gatti17549,Pal_guianensis_deLaQuintana257));	((Pal_triphylla_Killeen6548,Pal_macrobotrys_Gatti17549),(Pal_prunifolia_Nee41304,Pal_guianensis_deLaQuintana257));	((Pal_triphylla_Killeen6548,Pal_guianensis_deLaQuintana257),(Pal_macrobotrys_Gatti17549,Pal_prunifolia_Nee41304));
QS38	98	62	36	((Pal_crocea_Merello1713,Pal_sulphurea_Palacios9594),(Pal_marcgravii_VasconcelosSN,Pal_grandifolia_Liesner6534));	((Pal_crocea_Merello1713,Pal_marcgravii_VasconcelosSN),(Pal_sulphurea_Palacios9594,Pal_grandifolia_Liesner6534));	((Pal_crocea_Merello1713,Pal_grandifolia_Liesner6534),(Pal_marcgravii_VasconcelosSN,Pal_sulphurea_Palacios9594));
QS39	192	7	0	((Pal_croceoides_Taylor11640,Pal_lehmannii_Silverstone8396),(Pal_rigida_Gillepsie1715,Pal_guianensis_Redden2302));	((Pal_croceoides_Taylor11640,Pal_rigida_Gillepsie1715),(Pal_lehmannii_Silverstone8396,Pal_guianensis_Redden2302));	((Pal_croceoides_Taylor11640,Pal_guianensis_Redden2302),(Pal_rigida_Gillepsie1715,Pal_lehmannii_Silverstone8396));
QS40	109	0	0	((Pal_guianensis_Redden2302,Psy_jinotegensis_Stevens33549),(Pal_rigida_Subieta322,Pal_rigida_Gillepsie1715));	((Pal_guianensis_Redden2302,Pal_rigida_Subieta322),(Psy_jinotegensis_Stevens33549,Pal_rigida_Gillepsie1715));	((Pal_guianensis_Redden2302,Pal_rigida_Gillepsie1715),(Pal_rigida_Subieta322,Psy_jinotegensis_Stevens33549));
QS41	199	0	1	((Pal_guianensis_Redden2302,HOF_phoenicopoda_Wendt3392),(Pal_polycephala_Ehringhaus56,Pal_woronovii_vanDerWerff20100));	((Pal_guianensis_Redden2302,Pal_polycephala_Ehringhaus56),(HOF_phoenicopoda_Wendt3392,Pal_woronovii_vanDerWerff20100));	((Pal_guianensis_Redden2302,Pal_woronovii_vanDerWerff20100),(Pal_polycephala_Ehringhaus56,HOF_phoenicopoda_Wendt3392));
