node_label,freq0,qc,qd,qi,qf,qdsig,diff,num_replicates,notes
QS1,1.0,1,NA,1.0,NA,NA,5763.04245399998,200,
QS2,0.934010152284264,0.649222882321921,0.0,0.985,NA,NA,5.470948999980465,200,
QS3,0.7037037037037037,0.2614624599872599,0.8928571428571429,0.945,NA,NA,88.82310299994424,200,
QS4,1.0,1,NA,1.0,NA,NA,1172.3983090000693,200,
QS5,0.4973544973544973,0.05931410234067114,0.8210526315789474,0.945,NA,NA,56.428751999977976,200,
QS6,0.3612565445026178,-0.305123679365211,0.08196721311475408,0.955,NA,NA,60.05400499998359,200,
QS7,0.5583756345177665,0.26277649271012904,0.16091954022988508,0.985,NA,NA,54.124706999980845,200,
QS8,0.6717948717948717,0.3309610369283329,0.1875,0.975,NA,NA,123.56009700003779,200,
QS9,0.6358974358974359,0.3186948207088197,0.14084507042253525,0.975,NA,NA,51.987879000022076,200,
QS10,0.8219895287958116,0.463901572320893,0.8235294117647058,0.955,NA,NA,41.381557999993674,200,
QS11,0.41081081081081083,0.021908208753601,0.8073394495412844,0.925,NA,NA,37.681148000003304,200,
QS12,0.7613636363636364,0.35024464469114136,0.9047619047619048,0.88,NA,NA,3.509416999993846,200,
QS13,0.9427083333333334,0.7755225231001148,0.36363636363636365,0.96,NA,NA,84.29462300002342,200,
QS14,1.0,1,NA,1.0,NA,NA,213.9941220000037,200,
QS15,0.8157894736842105,0.4495547672030318,0.9142857142857143,0.95,NA,NA,54.203896999999415,200,
QS16,1.0,1,NA,1.0,NA,NA,801.4183550000307,200,
QS17,0.851063829787234,0.39282834512869713,0.0,0.94,NA,NA,58.35411299997941,200,
QS18,1.0,1,NA,1.0,NA,NA,212.2524459999986,109,
QS19,1.0,1,NA,1.0,NA,NA,1304.0600119999726,200,
QS20,1.0,1,NA,0.995,NA,NA,196.12230300001102,200,
QS21,0.8219895287958116,0.46248925054588197,0.8823529411764706,0.955,NA,NA,1.9517209999612533,200,
QS22,0.9047619047619048,0.6553938505645471,0.8,0.963302752293578,NA,NA,17.218261000001803,109,
QS23,1.0,1,NA,1.0,NA,NA,265.5279159999918,200,
QS24,1.0,1,NA,1.0,NA,NA,924.279843999946,200,
QS25,1.0,1,NA,1.0,NA,NA,376.142966000014,109,
QS26,1.0,1,NA,1.0,NA,NA,143.84244700003183,200,
QS27,0.9908256880733946,0.9247317324125655,0.0,1.0,NA,NA,217.70570799999405,109,
QS28,1.0,1,NA,1.0,NA,NA,946.6795839999686,200,
QS29,0.4473684210526316,0.027300894846372437,0.9142857142857143,0.95,NA,NA,12.323838999960572,200,
QS30,1.0,1,NA,1.0,NA,NA,618.9466720000491,200,
QS31,0.5309278350515464,0.24371275109250878,0.17582417582417587,0.97,NA,NA,115.10987299995031,200,
QS32,0.5670103092783505,0.2883333422500499,0.11904761904761907,0.97,NA,NA,25.58076099999016,200,
QS33,0.5567010309278351,0.13602961022125415,0.5581395348837209,0.97,NA,NA,5.264512999972794,200,
QS34,0.995,0.9545853076662059,0.0,1.0,NA,NA,147.16162600001553,200,
QS35,1.0,1,NA,1.0,NA,NA,482.7799540000269,109,
QS36,1.0,1,NA,1.0,NA,NA,369.5932699999539,200,
QS37,1.0,1,NA,1.0,NA,NA,760.8915379999671,200,
QS38,0.5,0.06981610072889277,0.7346938775510203,0.98,NA,NA,129.44331799994688,200,
QS39,0.964824120603015,0.780281332184317,0.0,0.995,NA,NA,584.865129999991,200,
QS40,1.0,1,NA,1.0,NA,NA,331.5037890000385,109,
QS41,0.995,0.9545853076662059,0.0,1.0,NA,NA,37.14301899995189,200,
QS42,0.9899497487437185,0.9188739142950754,0.0,0.995,NA,NA,75.7808569999761,200,
QS43,0.99,0.9192068641040888,0.0,1.0,NA,NA,260.9743230000022,200,
QS44,1.0,1,NA,1.0,NA,NA,925.1332360000233,200,
QS45,0.9289340101522843,0.6301108166592898,0.0,0.985,NA,NA,145.00085599999875,200,
QS46,0.801980198019802,0.4708326332653523,0.30000000000000004,0.926605504587156,NA,NA,38.976574999978766,109,
QS47,0.41836734693877553,-0.17511020546808975,0.26315789473684215,0.98,NA,NA,57.147817000048235,200,
QS48,0.5408163265306123,0.08332335377796052,0.9333333333333333,0.98,NA,NA,234.2873289999552,200,
