node,QS_label,support,qc,qd,qi,qf,count0,count1,count2,sum,prop0,prop1,prop2
1,NA,NA,NA,NA,NA,0.648679679,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,0.760522496,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,0.757697456,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,0.653107345,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,0.754216867,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,0.728144989,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,0.733590734,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,0.716853933,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,0.781289507,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,0.732338308,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,0.756648936,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,0.728476821,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,0.606102635,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,0.524611399,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,0.467675378,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,0.668742217,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,0.552393273,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,0.548476454,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,0.650121065,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,0.494708995,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,0.50229709,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,0.365824308,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,0.603726708,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,0.566433566,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,0.404915912,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,0.404678363,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,0.553140097,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,0.557598039,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,0.398816568,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,0.403874814,NA,NA,NA,NA,NA,NA,NA
