Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
0	0	-204.4226	-208.6602	4.237651	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426
1	1	-198.7296	-202.8941	4.164528	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945	0.004538945
2	0	-189.5151	-193.5139	3.99878	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277
3	1	-194.0382	-198.1276	4.089395	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081	0.005272081
4	0	-185.0223	-188.9046	3.88225	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355
5	1	-188.08	-192.045	3.965023	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673	0.006485673
6	0	-180.0031	-183.7005	3.697473	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366
7	1	-182.9128	-186.7267	3.813925	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052	0.007960052
8	0	-173.3409	-176.4674	3.126511	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677
9	1	-174.3127	-177.6004	3.287607	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576	0.01309576
10	0	-173.6697	-176.8613	3.191562	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294
11	1	-174.9836	-178.3483	3.364774	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278	0.01234278
12	0	-173.1989	-176.2911	3.092186	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264
13	1	-173.165	-176.2482	3.083158	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073
14	0	-173.1191	-175.6767	2.557544	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957
15	1	-173.165	-176.2482	3.083158	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073	0.01509073
16	0	-173.1191	-175.6767	2.557544	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957
17	1	-172.8475	-175.5268	2.679353	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097	0.01903097
18	0	-173.1191	-175.6767	2.557544	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957
19	1	-172.7498	-175.5086	2.758799	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576	0.01825576
20	0	-172.7568	-175.6593	2.902484	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537
21	1	-172.73	-175.5208	2.790753	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395	0.01794395
22	0	-173.7763	-176.986	3.20972	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577
23	1	-172.8882	-175.876	2.987756	0.01602165	0.01602165	0.01602165	0.01602165	0.01602165	0.01602165	0.01602165	0.01602165	0.01602165	0.01602165	0.01602165	0.01602165	0.01602165
24	0	-174.668	-177.9986	3.330571	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652
25	1	-173.0188	-176.0578	3.03901	0.01552152	0.01552152	0.01552152	0.01552152	0.01552152	0.01552152	0.01552152	0.01552152	0.01552152	0.01552152	0.01552152	0.01552152	0.01552152
26	0	-172.7976	-175.5109	2.713302	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997
27	1	-175.0344	-177.1584	2.124002	0.02444997	0.02444997	0.02444997	0.02444997	0.02444997	0.02444997	0.02444997	0.02444997	0.02444997	0.02444997	0.02444997	0.02444997	0.02444997
28	0	-172.8324	-175.5212	2.688823	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857
29	1	-172.8467	-175.5265	2.679812	0.01902649	0.01902649	0.01902649	0.01902649	0.01902649	0.01902649	0.01902649	0.01902649	0.01902649	0.01902649	0.01902649	0.01902649	0.01902649
30	0	-172.8324	-175.5212	2.688823	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857
31	1	-172.9791	-175.5917	2.612606	0.01968228	0.01968228	0.01968228	0.01968228	0.01968228	0.01968228	0.01968228	0.01968228	0.01968228	0.01968228	0.01968228	0.01968228	0.01968228
32	0	-173.1386	-175.6892	2.550647	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686
33	1	-174.2157	-176.4921	2.27648	0.02296213	0.02296213	0.02296213	0.02296213	0.02296213	0.02296213	0.02296213	0.02296213	0.02296213	0.02296213	0.02296213	0.02296213	0.02296213
34	0	-173.0535	-175.6355	2.582004	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088
35	1	-173.6289	-176.8132	3.184291	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039
36	0	-173.0535	-175.6355	2.582004	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088
37	1	-172.724	-175.533	2.809006	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585
38	0	-172.8842	-175.5425	2.658356	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586
39	1	-172.724	-175.533	2.809006	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585	0.01776585
40	0	-172.9643	-175.5834	2.619153	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184
41	1	-172.8398	-175.5239	2.684096	0.01898469	0.01898469	0.01898469	0.01898469	0.01898469	0.01898469	0.01898469	0.01898469	0.01898469	0.01898469	0.01898469	0.01898469	0.01898469
42	0	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
43	1	-175.8014	-179.2425	3.44106	0.0115984	0.0115984	0.0115984	0.0115984	0.0115984	0.0115984	0.0115984	0.0115984	0.0115984	0.0115984	0.0115984	0.0115984	0.0115984
44	0	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
45	1	-173.6721	-176.8641	3.191981	0.01402885	0.01402885	0.01402885	0.01402885	0.01402885	0.01402885	0.01402885	0.01402885	0.01402885	0.01402885	0.01402885	0.01402885	0.01402885
46	0	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
47	1	-173.9303	-177.1645	3.234147	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741
48	0	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
49	1	-173.9303	-177.1645	3.234147	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741	0.01361741
50	0	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
51	1	-173.8547	-177.0771	3.222397	0.01373207	0.01373207	0.01373207	0.01373207	0.01373207	0.01373207	0.01373207	0.01373207	0.01373207	0.01373207	0.01373207	0.01373207	0.01373207
52	0	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
53	1	-172.8593	-175.5316	2.672291	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988	0.01909988
54	0	-173.6802	-176.8736	3.193403	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498
55	1	-173.2723	-176.3829	3.110561	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334
56	0	-172.7253	-175.5769	2.851573	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049
57	1	-173.2723	-176.3829	3.110561	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334	0.01482334
58	0	-172.7253	-175.5769	2.851573	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049
59	1	-172.911	-175.9089	2.997945	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222	0.01592222
60	0	-172.7253	-175.5769	2.851573	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049
61	1	-173.4606	-175.9125	2.45198	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964	0.02124964
62	0	-173.2445	-176.3483	3.103778	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952
63	1	-173.7472	-176.9521	3.204878	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301	0.01390301
