Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
0	-204.4226	-208.6602	4.237651	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426	0.003825426
1	-189.5151	-193.5139	3.99878	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277	0.006156277
2	-185.0223	-188.9046	3.88225	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355	0.007293355
3	-180.0031	-183.7005	3.697473	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366	0.009096366
4	-173.3409	-176.4674	3.126511	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677	0.0146677
5	-173.6697	-176.8613	3.191562	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294	0.01403294
6	-173.1989	-176.2911	3.092186	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264	0.01500264
7	-173.1191	-175.6767	2.557544	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957
8	-173.1191	-175.6767	2.557544	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957
9	-173.1191	-175.6767	2.557544	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957	0.02021957
10	-172.7568	-175.6593	2.902484	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537	0.0168537
11	-173.7763	-176.986	3.20972	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577	0.01385577
12	-174.668	-177.9986	3.330571	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652	0.01267652
13	-172.7976	-175.5109	2.713302	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997	0.0186997
14	-172.8324	-175.5212	2.688823	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857
15	-172.8324	-175.5212	2.688823	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857	0.01893857
16	-173.1386	-175.6892	2.550647	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686	0.02028686
17	-173.0535	-175.6355	2.582004	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088
18	-173.0535	-175.6355	2.582004	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088	0.01998088
19	-172.8842	-175.5425	2.658356	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586	0.01923586
20	-172.9643	-175.5834	2.619153	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184	0.0196184
21	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
22	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
23	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
24	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
25	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
26	-172.759	-175.5072	2.748194	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924	0.01835924
27	-173.6802	-176.8736	3.193403	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498	0.01401498
28	-172.7253	-175.5769	2.851573	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049
29	-172.7253	-175.5769	2.851573	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049
30	-172.7253	-175.5769	2.851573	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049	0.01735049
31	-173.2445	-176.3483	3.103778	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952	0.01488952
32	-172.7241	-175.5325	2.808474	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104	0.01777104
33	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
34	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
35	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
36	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
37	-173.6219	-176.8049	3.183025	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625	0.01411625
