Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
0	0	-147.3569	-191.3198	43.96286	0.0007978766	0.02284961	0.004979831	0.002178141	0.02255101	0.01844775	0.00310024	0.02316539	0.01294032	0.004362026	0.01022824	0.005009241	0.124901	0.0301218	0.256226	0.588751
1	1	-142.8965	-182.3503	39.45378	0.008556701	0.01148923	0.02107523	0.005567668	0.02935954	0.001490938	0.04191415	0.02472781	0.01383441	0.007693624	0.001697605	0.007201489	0.0953266	0.28511	0.380764	0.238799
2	0	-147.9306	-190.2146	42.28395	0.001794878	0.01886613	0.004462004	0.002537214	0.0209129	0.03709308	0.003484422	0.02600651	0.01157822	0.00412209	0.01022824	0.005906467	0.316161	0.0235385	0.200226	0.460075
3	1	-138.1479	-178.9076	40.75962	0.005867256	0.0117662	0.02107523	0.005567668	0.02935954	0.001187645	0.02913305	0.02062654	0.01570438	0.006702503	0.00206262	0.0128136	0.144556	0.0769661	0.63939	0.139088
4	0	-145.1225	-186.5543	41.43177	0.003319697	0.01448631	0.006367806	0.004878948	0.0209129	0.04406257	0.003416309	0.02027208	0.0178646	0.004143578	0.01022824	0.005354487	0.184095	0.013706	0.534306	0.267893
5	1	-139.2883	-179.618	40.32967	0.004509154	0.0235057	0.02107523	0.004336198	0.01693765	0.001892474	0.03986154	0.01724345	0.01570438	0.006591199	0.001591062	0.0128136	0.629554	0.0333298	0.276885	0.0602315
6	0	-145.2009	-185.7487	40.54786	0.00756628	0.0103391	0.006375412	0.003317696	0.0209129	0.05114713	0.003890179	0.01777009	0.02268868	0.003233236	0.01133736	0.005354487	0.188877	0.0140621	0.548187	0.248874
7	1	-138.185	-175.9135	37.72854	0.004597967	0.0235057	0.009556411	0.003568633	0.02024218	0.001612966	0.05202005	0.01591737	0.03927056	0.00715947	0.001178023	0.0128136	0.629554	0.0333298	0.276885	0.0602315
8	0	-140.9731	-179.5964	38.62326	0.006615378	0.007354928	0.004793718	0.002899201	0.02935528	0.05114713	0.007713046	0.01777009	0.02969667	0.004774758	0.0130395	0.007552699	0.188877	0.0140621	0.548187	0.248874
9	1	-133.2174	-172.7132	39.49584	0.003096379	0.02144724	0.006365702	0.003993514	0.02024218	0.001433288	0.03512793	0.01591737	0.03927056	0.007348695	0.001227852	0.01872729	0.351275	0.0664692	0.552188	0.0300675
10	0	-141.2443	-177.7122	36.46787	0.006137188	0.009813987	0.004793718	0.007374025	0.01953939	0.04707962	0.007713046	0.02030308	0.05551464	0.004120134	0.01208341	0.009272068	0.188877	0.0140621	0.548187	0.248874
11	1	-129.959	-171.5484	41.58944	0.004002732	0.01371428	0.006111353	0.002942331	0.008959829	0.001505401	0.03512793	0.01591737	0.03927056	0.005684251	0.001805743	0.01872729	0.183174	0.0346606	0.766487	0.0156788
12	0	-137.7744	-176.1236	38.34927	0.01139706	0.009813987	0.00887619	0.004196581	0.01052866	0.02421492	0.009941366	0.02030308	0.05551464	0.005701801	0.01101359	0.01388409	0.204668	0.0160759	0.626691	0.152565
13	1	-131.7991	-173.279	41.47991	0.002851523	0.007915419	0.004605077	0.002942331	0.01713642	0.001294148	0.03512793	0.02408925	0.03816052	0.008480368	0.001428456	0.01080635	0.145965	0.039832	0.797882	0.016321
14	0	-135.2443	-175.3633	40.11906	0.004460405	0.01271029	0.01292307	0.003523759	0.0155107	0.01424793	0.009941366	0.02779463	0.03615229	0.00984443	0.007123784	0.01388409	0.128807	0.0351276	0.609175	0.226891
15	1	-131.0188	-173.4187	42.39987	0.003450378	0.007915419	0.003017575	0.00438326	0.01713642	0.001353666	0.03112588	0.01870238	0.03628756	0.008480368	0.003201765	0.01080635	0.148674	0.0220082	0.812694	0.016624
16	0	-134.9077	-174.2217	39.31406	0.004691142	0.01481981	0.01811643	0.003075162	0.01263873	0.01067083	0.01484443	0.02779463	0.03615229	0.006683176	0.008903491	0.01758157	0.290191	0.0698754	0.202686	0.437247
17	1	-131.6705	-172.8521	41.18158	0.003433751	0.007915419	0.003017575	0.002671207	0.01295906	0.001393549	0.04523717	0.01502384	0.03418715	0.004437657	0.003702844	0.0237696	0.140152	0.0207466	0.766107	0.0729952
18	0	-136.1805	-176.0378	39.85731	0.004691142	0.01371949	0.01508469	0.003356431	0.01066382	0.009906384	0.0116385	0.03487661	0.03615229	0.00707771	0.009840083	0.01366368	0.396436	0.24021	0.314931	0.0484224
19	1	-131.1727	-171.4449	40.2722	0.002080201	0.01086976	0.004194395	0.001679471	0.008489458	0.001493115	0.04523717	0.0149844	0.03418715	0.005062924	0.00542945	0.03291492	0.365671	0.090611	0.353266	0.190452
20	0	-134.3523	-172.9048	38.55243	0.002325268	0.00903254	0.01107698	0.002112471	0.01066382	0.01081234	0.0147062	0.03487661	0.03395652	0.004124248	0.00901321	0.04070334	0.430794	0.214304	0.342226	0.012676
21	1	-128.4051	-170.9195	42.51444	0.002080201	0.009321513	0.004194395	0.001613001	0.00528002	0.002009445	0.03846021	0.01150377	0.03278537	0.005915989	0.008116023	0.02346314	0.311348	0.0671578	0.480337	0.141157
