Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
0	-137.6329	-184.6644	47.0315	0.000943598	0.01187272	0.0152476	0.001864732	0.005579925	0.001355457	0.008297687	0.009758116	0.01169583	0.007981034	0.02169018	0.004379702	0.0368839	0.404169	0.0439841	0.514963
1	-132.1836	-178.8881	46.70448	0.000943598	0.010595	0.009587107	0.001864732	0.01300678	0.001339647	0.01228772	0.005642756	0.01318936	0.005555419	0.02169018	0.008155278	0.14274	0.274426	0.0458638	0.53697
2	-130.8417	-175.1377	44.29598	0.0008479307	0.010595	0.007421456	0.001353471	0.01170304	0.001388857	0.01194717	0.005642756	0.02107264	0.01295202	0.03284988	0.009584972	0.118071	0.431482	0.0721121	0.378335
3	-131.3053	-174.872	43.56673	0.0007178425	0.01452211	0.009560283	0.005772754	0.009921237	0.001391916	0.01194717	0.007172539	0.0192986	0.01364029	0.03094534	0.009584972	0.173389	0.404418	0.0675889	0.354604
4	-132.1027	-174.4322	42.32948	0.003572054	0.01213786	0.01231856	0.003139386	0.008661655	0.001602725	0.01944079	0.01298495	0.01624999	0.0121686	0.03667149	0.007599789	0.181465	0.245142	0.202272	0.371121
5	-132.2845	-175.5659	43.28147	0.004334851	0.008203618	0.00942266	0.004514939	0.008072466	0.0009431293	0.01686446	0.01265302	0.01808518	0.0121686	0.03300066	0.008994992	0.310889	0.250226	0.060066	0.378819
6	-133.5895	-177.7019	44.11241	0.007037712	0.008941049	0.009877678	0.001793386	0.007401124	0.001360328	0.02273489	0.008743493	0.01808518	0.0121686	0.02671853	0.004288422	0.310235	0.21586	0.0958818	0.378023
7	-131.5088	-173.7914	42.28254	0.00596435	0.007773637	0.009316014	0.002297128	0.01187865	0.001447843	0.01519762	0.00758565	0.0437766	0.010051	0.02807309	0.003644326	0.310235	0.21586	0.0958818	0.378023
8	-132.5286	-174.9654	42.43678	0.00596435	0.01243488	0.0108487	0.00280548	0.008086104	0.002352794	0.01095432	0.01587212	0.04298458	0.0113574	0.01718661	0.004653553	0.191348	0.516355	0.0591384	0.233159
9	-131.8576	-175.6018	43.74424	0.00596435	0.008840719	0.01201133	0.003644067	0.008086104	0.003350341	0.01245903	0.01252695	0.0335901	0.009489878	0.01736184	0.005418288	0.221917	0.598844	0.0685858	0.110654
10	-131.3694	-174.8431	43.4737	0.006018833	0.006715479	0.008951686	0.003644067	0.01377066	0.002274066	0.01245903	0.01321789	0.0335901	0.009449338	0.01821102	0.007080656	0.38932	0.32829	0.156599	0.125791
11	-133.4491	-174.4191	40.97001	0.006018833	0.007977887	0.006465378	0.003048045	0.02194201	0.001991864	0.01245903	0.02032839	0.05026668	0.007281904	0.01586213	0.006171182	0.334141	0.281761	0.134404	0.249694
