range,color
"C","#7570b3"
"L","#e7298a"
"A","#66a61e"
"E","#e6ab02"
"F","orchid"
"CL","firebrick3"
"CA","green"
"LA","cyan"
"CE","cadetblue3"
"LE","tomato"
"AE","aquamarine2"
"CF","#d95f02"
"LF","royalblue"
"AF","#666666"
"EF","darkviolet"
"CLA","#1b9e77"
"CLE","#fdae61
"CAE","#a6cee3"
"LAE","#b2df8a"
"CLF","#fb9a99"
"CAF","#cab2d6"
"LAF","#ff7f00"
"CEF","#984ea3"
"LEF","#ffff33"
"AEF","#e31a1c"
"CLAE","#f781bf"
"CLAF","#a65628"
"CLEF","#1f78b4"
"CAEF","#b15928"
"LAEF","#33a02c"
"CLAEF","#6a3d9a"
