Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
0	0	-186.9017	-190.7553	3.853617	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748
1	1	-177.4574	-180.8402	3.382773	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715
2	0	-180.8953	-184.5109	3.615559	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673
3	1	-177.4574	-180.8402	3.382773	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715	0.01216715
4	0	-175.7248	-178.903	3.178221	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313
5	1	-174.5973	-177.3918	2.794462	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776	0.01790776
6	0	-175.202	-177.6338	2.431796	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659
7	1	-176.4713	-179.7522	3.280943	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079	0.01316079
8	0	-174.6185	-177.457	2.838462	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842
9	1	-175.2332	-178.3183	3.085189	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091
10	0	-177.9443	-179.8349	1.890619	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728
11	1	-175.2332	-178.3183	3.085189	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091
12	0	-177.9443	-179.8349	1.890619	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728
13	1	-175.2332	-178.3183	3.085189	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091	0.01507091
14	0	-176.4078	-178.559	2.151218	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441
15	1	-174.6638	-177.3294	2.665657	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462	0.01916462
16	0	-174.6324	-177.4871	2.854658	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038
17	1	-174.5965	-177.3589	2.762322	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138	0.01822138
18	0	-174.6024	-177.3438	2.741426	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528
19	1	-174.6307	-177.4835	2.852844	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809
20	0	-177.9482	-179.8383	1.890014	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318
21	1	-174.6307	-177.4835	2.852844	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809	0.01733809
22	0	-174.7971	-177.7524	2.955254	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879
23	1	-174.8391	-177.4023	2.563179	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457	0.02016457
24	0	-174.8403	-177.813	2.972709	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847
25	1	-175.0998	-178.1529	3.053072	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431	0.01538431
26	0	-174.8403	-177.813	2.972709	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847
27	1	-175.5901	-178.7457	3.155601	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384	0.01438384
28	0	-176.5096	-178.6415	2.131845	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345
29	1	-174.643	-177.3273	2.684288	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282	0.01898282
30	0	-176.2225	-179.4725	3.250059	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214
31	1	-174.8492	-177.8253	2.976097	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541
32	0	-175.9126	-179.1198	3.207222	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014	0.01388014
33	1	-174.8492	-177.8253	2.976097	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541	0.01613541
34	0	-174.6975	-177.6025	2.905033	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884	0.01682884
