Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
0	-186.9017	-190.7553	3.853617	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748	0.007572748
1	-180.8953	-184.5109	3.615559	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673	0.009895673
2	-175.7248	-178.903	3.178221	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313	0.01416313
3	-175.202	-177.6338	2.431796	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659	0.02144659
4	-174.6185	-177.457	2.838462	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842	0.01747842
5	-177.9443	-179.8349	1.890619	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728
6	-177.9443	-179.8349	1.890619	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728	0.02672728
7	-176.4078	-178.559	2.151218	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441	0.02418441
8	-174.6324	-177.4871	2.854658	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038	0.01732038
9	-174.6024	-177.3438	2.741426	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528	0.01842528
10	-177.9482	-179.8383	1.890014	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318	0.02673318
11	-174.7971	-177.7524	2.955254	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879	0.01633879
12	-174.8403	-177.813	2.972709	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847
13	-174.8403	-177.813	2.972709	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847	0.01616847
14	-176.5096	-178.6415	2.131845	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345	0.02437345
15	-176.2225	-179.4725	3.250059	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214	0.01346214
