Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
0	-147.3569	-191.3198	43.96286	0.0007978766	0.02284961	0.004979831	0.002178141	0.02255101	0.01844775	0.00310024	0.02316539	0.01294032	0.004362026	0.01022824	0.005009241	0.124901	0.0301218	0.256226	0.588751
1	-147.9306	-190.2146	42.28395	0.001794878	0.01886613	0.004462004	0.002537214	0.0209129	0.03709308	0.003484422	0.02600651	0.01157822	0.00412209	0.01022824	0.005906467	0.316161	0.0235385	0.200226	0.460075
2	-145.1225	-186.5543	41.43177	0.003319697	0.01448631	0.006367806	0.004878948	0.0209129	0.04406257	0.003416309	0.02027208	0.0178646	0.004143578	0.01022824	0.005354487	0.184095	0.013706	0.534306	0.267893
3	-145.2009	-185.7487	40.54786	0.00756628	0.0103391	0.006375412	0.003317696	0.0209129	0.05114713	0.003890179	0.01777009	0.02268868	0.003233236	0.01133736	0.005354487	0.188877	0.0140621	0.548187	0.248874
4	-140.9731	-179.5964	38.62326	0.006615378	0.007354928	0.004793718	0.002899201	0.02935528	0.05114713	0.007713046	0.01777009	0.02969667	0.004774758	0.0130395	0.007552699	0.188877	0.0140621	0.548187	0.248874
5	-141.2443	-177.7122	36.46787	0.006137188	0.009813987	0.004793718	0.007374025	0.01953939	0.04707962	0.007713046	0.02030308	0.05551464	0.004120134	0.01208341	0.009272068	0.188877	0.0140621	0.548187	0.248874
6	-137.7744	-176.1236	38.34927	0.01139706	0.009813987	0.00887619	0.004196581	0.01052866	0.02421492	0.009941366	0.02030308	0.05551464	0.005701801	0.01101359	0.01388409	0.204668	0.0160759	0.626691	0.152565
7	-135.2443	-175.3633	40.11906	0.004460405	0.01271029	0.01292307	0.003523759	0.0155107	0.01424793	0.009941366	0.02779463	0.03615229	0.00984443	0.007123784	0.01388409	0.128807	0.0351276	0.609175	0.226891
8	-134.9077	-174.2217	39.31406	0.004691142	0.01481981	0.01811643	0.003075162	0.01263873	0.01067083	0.01484443	0.02779463	0.03615229	0.006683176	0.008903491	0.01758157	0.290191	0.0698754	0.202686	0.437247
9	-136.1805	-176.0378	39.85731	0.004691142	0.01371949	0.01508469	0.003356431	0.01066382	0.009906384	0.0116385	0.03487661	0.03615229	0.00707771	0.009840083	0.01366368	0.396436	0.24021	0.314931	0.0484224
10	-134.3523	-172.9048	38.55243	0.002325268	0.00903254	0.01107698	0.002112471	0.01066382	0.01081234	0.0147062	0.03487661	0.03395652	0.004124248	0.00901321	0.04070334	0.430794	0.214304	0.342226	0.012676
11	-130.5386	-171.5097	40.97116	0.002073524	0.009328735	0.009719309	0.00128373	0.01066382	0.006887268	0.01906055	0.02927966	0.02715707	0.004577372	0.006741511	0.03302956	0.0855468	0.344289	0.5498	0.0203646
12	-130.5253	-173.2009	42.67565	0.002607784	0.01679325	0.01031645	0.001147609	0.01079825	0.01044202	0.01980313	0.01850348	0.01880082	0.006057332	0.003715318	0.02418459	0.0578832	0.232955	0.695383	0.0137792
13	-131.4364	-172.0605	40.62412	0.004102832	0.01149917	0.01142181	0.001203254	0.01481668	0.01044202	0.02979205	0.01850348	0.0235449	0.01227965	0.00354827	0.02203432	0.0578832	0.232955	0.695383	0.0137792
14	-133.4579	-171.8144	38.35654	0.003131627	0.007442336	0.02131461	0.0009515189	0.01481668	0.01044202	0.03432925	0.01666467	0.02428086	0.01081179	0.006096576	0.0350331	0.137342	0.552743	0.276352	0.0335637
15	-130.9582	-169.5755	38.61735	0.002991002	0.009142455	0.01317138	0.0007675159	0.01480535	0.00403917	0.03432925	0.02384081	0.01798207	0.007782299	0.008508626	0.04541014	0.144008	0.579569	0.24123	0.0351927
16	-129.4783	-169.1001	39.62183	0.00340853	0.01286548	0.01196782	0.001635004	0.01160402	0.00403917	0.03045287	0.02384081	0.01555059	0.003685537	0.008508626	0.04541014	0.317476	0.0731301	0.531809	0.0775848
17	-125.5364	-165.5032	39.96676	0.002840881	0.01110784	0.008851857	0.0009961056	0.01236264	0.003558137	0.03708767	0.01167816	0.01325652	0.004144273	0.01380785	0.04991091	0.346366	0.078957	0.474788	0.0998898
18	-124.8199	-166.9427	42.12283	0.00231016	0.01091561	0.008313529	0.0009961056	0.008573762	0.004270583	0.02872307	0.01513352	0.01016375	0.008171311	0.01168069	0.03931222	0.164815	0.0198785	0.772592	0.0427145
19	-123.4743	-166.5921	43.11772	0.001416659	0.01091561	0.006661428	0.001174351	0.004948647	0.003212952	0.02713341	0.008462186	0.008243901	0.0109365	0.01168069	0.04407009	0.164815	0.0198785	0.772592	0.0427145
20	-125.6139	-166.3721	40.75817	0.0009163048	0.01771241	0.009137642	0.001174351	0.001962926	0.003477344	0.02713341	0.008531034	0.007789863	0.0109365	0.01003308	0.06307557	0.164815	0.0198785	0.772592	0.0427145
21	-122.9192	-165.4304	42.51125	0.0008103659	0.0174624	0.009137642	0.001091512	0.001483661	0.002373124	0.02357953	0.008531034	0.01027946	0.01526506	0.02414736	0.03061309	0.164815	0.0198785	0.772592	0.0427145
22	-124.1772	-164.1869	40.0097	0.0007016478	0.01400201	0.009627253	0.0009397164	0.001483661	0.002084492	0.03384363	0.01078036	0.01027946	0.01908252	0.01850826	0.04785078	0.119049	0.0143586	0.558055	0.308538
23	-124.9316	-164.9018	39.9702	0.0007016478	0.01400201	0.01257448	0.001458564	0.001418753	0.003245614	0.03592577	0.01191503	0.01014155	0.01624487	0.01974966	0.0421913	0.145197	0.038984	0.312908	0.502912
24	-129.8641	-166.1474	36.28325	0.001456739	0.007665025	0.009572199	0.001458564	0.001370243	0.002805143	0.04038256	0.01704058	0.01014155	0.03152369	0.01745156	0.06467788	0.14716	0.0259893	0.317139	0.509712
25	-125.003	-163.3028	38.29987	0.0009957912	0.007881269	0.01267742	0.001024436	0.001171843	0.002805143	0.03815793	0.007211652	0.01252915	0.01885816	0.02822577	0.05432946	0.14716	0.0259893	0.317139	0.509712
26	-122.4166	-163.795	41.37842	0.0009903028	0.007503134	0.01044177	0.0007630828	0.0008105522	0.00194772	0.02485939	0.007211652	0.009712513	0.009937078	0.02732146	0.05432946	0.343261	0.0196924	0.2403	0.396746
27	-122.6581	-164.8191	42.16099	0.0009903028	0.01109253	0.01044177	0.001174319	0.0008105522	0.002176956	0.03471948	0.0129689	0.008062524	0.003231266	0.01818825	0.0443351	0.370346	0.0212462	0.55963	0.0487775
28	-126.5574	-164.7365	38.17915	0.0009172657	0.01109253	0.02113664	0.00158412	0.0004832911	0.01009319	0.0344865	0.01286681	0.005659763	0.005351995	0.021959	0.0614148	0.370346	0.0212462	0.55963	0.0487775
29	-125.1177	-166.4495	41.33177	0.0006315995	0.0077076	0.01486918	0.00165328	0.0003441209	0.008319805	0.0221595	0.01286681	0.007472912	0.005283646	0.02830324	0.04667165	0.728563	0.0417966	0.133682	0.0959576
30	-129.0992	-167.824	38.72476	0.001031935	0.008794431	0.02392532	0.002945909	0.0003441209	0.01062845	0.0221595	0.02032816	0.01347071	0.003118543	0.02830324	0.04667165	0.285756	0.0787334	0.251821	0.383689
31	-126.5347	-165.8902	39.35545	0.0006285965	0.01217637	0.01707636	0.002237134	0.0003772015	0.01062845	0.01963661	0.01309601	0.01347071	0.005882434	0.03936365	0.04099432	0.159591	0.0926411	0.296303	0.451465
32	-126.0756	-164.5904	38.51489	0.0007671842	0.01124842	0.01097915	0.002237134	0.0003772015	0.01062845	0.03244793	0.01680853	0.007890875	0.00349092	0.03936365	0.0475304	0.131654	0.129289	0.36662	0.372436
33	-125.2925	-164.5683	39.2758	0.0008035392	0.007101237	0.01511863	0.002237134	0.0003570201	0.006525687	0.02978407	0.01680853	0.0126679	0.005888979	0.0249937	0.05405866	0.274398	0.269469	0.220073	0.236059
34	-125.391	-166.9742	41.58322	0.00136058	0.009732065	0.01248958	0.002063087	0.0004834511	0.009474621	0.02978407	0.01424236	0.0126679	0.005888979	0.02196166	0.03368137	0.251756	0.28803	0.147609	0.312605
35	-124.9587	-168.452	43.49328	0.002007974	0.007782425	0.009933306	0.002458288	0.0005510526	0.009537698	0.02464449	0.01424236	0.01004735	0.005888979	0.01441648	0.03368137	0.26817	0.078032	0.320811	0.332987
36	-126.7048	-170.063	43.35818	0.003039662	0.00632153	0.009660902	0.001652147	0.0006823006	0.01065937	0.02464449	0.01424236	0.01494447	0.005778518	0.01441648	0.03046777	0.247231	0.347984	0.150821	0.253965
37	-124.3629	-166.0789	41.71599	0.001758937	0.006396962	0.008264722	0.001976452	0.0006823006	0.009246878	0.02464449	0.01424236	0.01494447	0.005778518	0.02056086	0.04403724	0.153917	0.061131	0.241242	0.543709
38	-125.1257	-167.588	42.46223	0.002106228	0.006396962	0.005848951	0.002943891	0.0008189419	0.006794399	0.02464449	0.01424236	0.01562999	0.005904371	0.01588468	0.04403724	0.559187	0.0269312	0.174352	0.23953
39	-125.0788	-166.5715	41.4927	0.002096027	0.01092539	0.003910869	0.004048774	0.0006889797	0.006613577	0.02464449	0.01169826	0.01276513	0.005021188	0.01667987	0.05562048	0.667715	0.032158	0.20819	0.0919373
40	-127.3202	-171.0891	43.76896	0.001562978	0.008153854	0.003824909	0.004373286	0.0007992306	0.0102005	0.01934674	0.01409253	0.01276513	0.005021188	0.01145197	0.0409094	0.811668	0.0182265	0.117998	0.0521082
